experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index
ablation_zero,0,10,[59805],5.125,5.1875,0.0625,0.0625,0.012195121927424153,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F59805,-1
ablation_zero,0,10,[25281],5.125,5.03125,-0.09375,0.09375,0.01829268289113623,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F25281,-1
ablation_zero,0,10,[68612],5.125,5.125,0.0,0.0,0.0,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F68612,-1
ablation_zero,0,10,[101190],5.125,5.0,-0.125,0.125,0.024390243854848306,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F101190,-1
ablation_zero,0,10,[104215],5.125,5.0625,-0.0625,0.0625,0.012195121927424153,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F104215,-1
ablation_zero,0,11,[22932],5.125,4.75,-0.375,0.375,0.07317073156454491,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L11_F22932,-1
ablation_zero,0,11,[123551],5.125,4.5625,-0.5625,0.5625,0.10975609734681738,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L11_F123551,-1
ablation_zero,0,11,[59878],5.125,4.59375,-0.53125,0.53125,0.10365853638310529,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L11_F59878,-1
ablation_zero,0,12,[4447],5.125,3.5625,-1.5625,1.5625,0.3048780481856038,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L12_F4447,-1
ablation_zero,0,12,[83869],5.125,3.4375,-1.6875,1.6875,0.3292682920404521,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L12_F83869,-1
ablation_zero,0,12,[71563],5.125,3.5625,-1.5625,1.5625,0.3048780481856038,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L12_F71563,-1
ablation_zero,0,13,[136136],5.125,4.625,-0.5,0.5,0.09756097541939322,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L13_F136136,-1
ablation_zero,0,13,[50574],5.125,4.96875,-0.15625,0.15625,0.03048780481856038,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L13_F50574,-1
ablation_zero,0,13,[70603],5.125,4.65625,-0.46875,0.46875,0.09146341445568114,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L13_F70603,-1
ablation_zero,0,13,[72758],5.125,4.625,-0.5,0.5,0.09756097541939322,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L13_F72758,-1
ablation_zero,0,14,[28821],5.125,4.375,-0.75,0.75,0.14634146312908983,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L14_F28821,-1
ablation_zero,0,14,[141271],5.125,4.25,-0.875,0.875,0.17073170698393814,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L14_F141271,-1
ablation_zero,0,14,[34023],5.125,4.40625,-0.71875,0.71875,0.14024390216537774,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L14_F34023,-1
ablation_zero,0,14,[41052],5.125,4.28125,-0.84375,0.84375,0.16463414602022605,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L14_F41052,-1
ablation_zero,0,14,[111183],5.125,4.21875,-0.90625,0.90625,0.17682926794765022,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L14_F111183,-1
ablation_zero,0,15,[127839],5.125,5.71875,0.59375,0.59375,0.11585365831052945,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L15_F127839,-1
ablation_zero,0,15,[41361],5.125,5.96875,0.84375,0.84375,0.16463414602022605,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L15_F41361,-1
ablation_zero,0,15,[106898],5.125,5.875,0.75,0.75,0.14634146312908983,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L15_F106898,-1
ablation_zero,0,15,[24958],5.125,5.8125,0.6875,0.6875,0.1341463412016657,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L15_F24958,-1
ablation_zero,0,15,[140048],5.125,5.75,0.625,0.625,0.12195121927424152,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L15_F140048,-1
ablation_zero,0,16,[88149],5.125,5.8125,0.6875,0.6875,0.1341463412016657,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L16_F88149,-1
ablation_zero,0,16,[43079],5.125,5.65625,0.53125,0.53125,0.10365853638310529,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L16_F43079,-1
ablation_zero,0,16,[80755],5.125,5.71875,0.59375,0.59375,0.11585365831052945,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L16_F80755,-1
ablation_zero,0,17,[19808],5.125,5.75,0.625,0.625,0.12195121927424152,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L17_F19808,-1
ablation_zero,0,17,[765],5.125,5.6875,0.5625,0.5625,0.10975609734681738,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L17_F765,-1
ablation_zero,0,18,[152973],5.125,5.90625,0.78125,0.78125,0.1524390240928019,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L18_F152973,-1
ablation_zero,0,18,[162386],5.125,5.9375,0.8125,0.8125,0.158536585056514,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L18_F162386,-1
ablation_zero,0,18,[36517],5.125,5.84375,0.71875,0.71875,0.14024390216537774,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L18_F36517,-1
ablation_zero,0,18,[149556],5.125,5.875,0.75,0.75,0.14634146312908983,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L18_F149556,-1
ablation_zero,0,18,[7651],5.125,5.875,0.75,0.75,0.14634146312908983,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L18_F7651,-1
ablation_zero,0,19,[135640],5.125,4.84375,-0.28125,0.28125,0.05487804867340869,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L19_F135640,-1
ablation_zero,0,19,[161546],5.125,5.0,-0.125,0.125,0.024390243854848306,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L19_F161546,-1
ablation_zero,0,19,[107296],5.125,4.90625,-0.21875,0.21875,0.042682926745984534,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L19_F107296,-1
ablation_zero,0,19,[132248],5.125,4.90625,-0.21875,0.21875,0.042682926745984534,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L19_F132248,-1
ablation_zero,0,20,[89742],5.125,4.53125,-0.59375,0.59375,0.11585365831052945,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L20_F89742,-1
ablation_zero,0,20,[145235],5.125,4.75,-0.375,0.375,0.07317073156454491,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L20_F145235,-1
ablation_zero,0,20,[41532],5.125,4.65625,-0.46875,0.46875,0.09146341445568114,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L20_F41532,-1
ablation_zero,0,20,[37161],5.125,4.8125,-0.3125,0.3125,0.06097560963712076,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L20_F37161,-1
ablation_zero,0,20,[132848],5.125,4.75,-0.375,0.375,0.07317073156454491,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L20_F132848,-1
ablation_zero,0,21,[27974],5.125,5.1875,0.0625,0.0625,0.012195121927424153,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L21_F27974,-1
ablation_zero,0,21,[45934],5.125,5.40625,0.28125,0.28125,0.05487804867340869,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L21_F45934,-1
ablation_zero,0,21,[105016],5.125,5.21875,0.09375,0.09375,0.01829268289113623,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L21_F105016,-1
ablation_zero,0,21,[90229],5.125,5.34375,0.21875,0.21875,0.042682926745984534,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L21_F90229,-1
ablation_zero,0,22,[41906],5.125,4.65625,-0.46875,0.46875,0.09146341445568114,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L22_F41906,-1
ablation_zero,0,22,[78043],5.125,4.34375,-0.78125,0.78125,0.1524390240928019,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L22_F78043,-1
ablation_zero,0,22,[99330],5.125,4.46875,-0.65625,0.65625,0.1280487802379536,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L22_F99330,-1
ablation_zero,0,22,[121334],5.125,4.5625,-0.5625,0.5625,0.10975609734681738,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L22_F121334,-1
ablation_zero,0,23,[6889],5.125,4.6875,-0.4375,0.4375,0.08536585349196907,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L23_F6889,-1
ablation_zero,0,23,[5853],5.125,5.375,0.25,0.25,0.04878048770969661,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L23_F5853,-1
ablation_zero,0,23,[40170],5.125,5.0625,-0.0625,0.0625,0.012195121927424153,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L23_F40170,-1
ablation_zero,0,23,[70485],5.125,5.1875,0.0625,0.0625,0.012195121927424153,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L23_F70485,-1
ablation_zero,0,23,[53700],5.125,4.96875,-0.15625,0.15625,0.03048780481856038,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L23_F53700,-1
ablation_zero,0,23,[83865],5.125,5.0625,-0.0625,0.0625,0.012195121927424153,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L23_F83865,-1
ablation_zero,0,24,[30233],5.125,4.0,-1.125,1.125,0.21951219469363475,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L24_F30233,-1
ablation_zero,0,24,[35447],5.125,4.6875,-0.4375,0.4375,0.08536585349196907,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L24_F35447,-1
ablation_zero,0,24,[60321],5.125,4.625,-0.5,0.5,0.09756097541939322,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L24_F60321,-1
ablation_zero,0,24,[119196],5.125,4.375,-0.75,0.75,0.14634146312908983,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L24_F119196,-1
ablation_zero,0,24,[5768],5.125,4.78125,-0.34375,0.34375,0.06707317060083284,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L24_F5768,-1
ablation_zero,0,25,[43384],5.125,4.25,-0.875,0.875,0.17073170698393814,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L25_F43384,-1
ablation_zero,0,25,[41381],5.125,4.78125,-0.34375,0.34375,0.06707317060083284,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L25_F41381,-1
ablation_zero,0,25,[125339],5.125,4.46875,-0.65625,0.65625,0.1280487802379536,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L25_F125339,-1
ablation_zero,0,25,[19816],5.125,4.3125,-0.8125,0.8125,0.158536585056514,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L25_F19816,-1
ablation_zero,0,25,[90133],5.125,4.21875,-0.90625,0.90625,0.17682926794765022,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L25_F90133,-1
ablation_zero,1,10,[68612],6.65625,6.25,-0.40625,0.40625,0.061032863758072695,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F68612,-1
ablation_zero,1,10,[25281],6.65625,6.125,-0.53125,0.53125,0.0798122064528643,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F25281,-1
ablation_zero,1,10,[59805],6.65625,6.125,-0.53125,0.53125,0.0798122064528643,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F59805,-1
ablation_zero,1,10,[101190],6.65625,6.21875,-0.4375,0.4375,0.06572769943177059,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F101190,-1
ablation_zero,1,10,[104215],6.65625,6.25,-0.40625,0.40625,0.061032863758072695,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F104215,-1
ablation_zero,1,11,[22932],6.65625,6.4375,-0.21875,0.21875,0.032863849715885296,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L11_F22932,-1
ablation_zero,1,11,[123551],6.65625,6.5,-0.15625,0.15625,0.023474178368489498,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L11_F123551,-1
ablation_zero,1,11,[59878],6.65625,6.59375,-0.0625,0.0625,0.009389671347395798,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L11_F59878,-1
ablation_zero,1,12,[83869],6.65625,5.5625,-1.09375,1.09375,0.16431924857942648,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L12_F83869,-1
ablation_zero,1,12,[4447],6.65625,5.59375,-1.0625,1.0625,0.1596244129057286,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L12_F4447,-1
ablation_zero,1,12,[71563],6.65625,5.625,-1.03125,1.03125,0.15492957723203069,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L12_F71563,-1
ablation_zero,1,13,[136136],6.65625,6.21875,-0.4375,0.4375,0.06572769943177059,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L13_F136136,-1
ablation_zero,1,13,[50574],6.65625,6.21875,-0.4375,0.4375,0.06572769943177059,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L13_F50574,-1
ablation_zero,1,13,[70603],6.65625,6.1875,-0.46875,0.46875,0.07042253510546849,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L13_F70603,-1
ablation_zero,1,13,[72758],6.65625,6.21875,-0.4375,0.4375,0.06572769943177059,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L13_F72758,-1
ablation_zero,1,14,[34023],6.65625,6.5625,-0.09375,0.09375,0.0140845070210937,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L14_F34023,-1
ablation_zero,1,14,[141271],6.65625,6.46875,-0.1875,0.1875,0.0281690140421874,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L14_F141271,-1
ablation_zero,1,14,[28821],6.65625,6.53125,-0.125,0.125,0.018779342694791597,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L14_F28821,-1
ablation_zero,1,14,[41052],6.65625,6.5,-0.15625,0.15625,0.023474178368489498,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L14_F41052,-1
ablation_zero,1,14,[111183],6.65625,6.46875,-0.1875,0.1875,0.0281690140421874,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L14_F111183,-1
ablation_zero,1,15,[127839],6.65625,6.75,0.09375,0.09375,0.0140845070210937,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L15_F127839,-1
ablation_zero,1,15,[106898],6.65625,6.75,0.09375,0.09375,0.0140845070210937,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L15_F106898,-1
ablation_zero,1,15,[41361],6.65625,6.84375,0.1875,0.1875,0.0281690140421874,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L15_F41361,-1
ablation_zero,1,15,[24958],6.65625,6.875,0.21875,0.21875,0.032863849715885296,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L15_F24958,-1
ablation_zero,1,15,[140048],6.65625,6.78125,0.125,0.125,0.018779342694791597,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L15_F140048,-1
ablation_zero,1,16,[43079],6.65625,6.34375,-0.3125,0.3125,0.046948356736978995,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L16_F43079,-1
ablation_zero,1,16,[88149],6.65625,6.34375,-0.3125,0.3125,0.046948356736978995,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L16_F88149,-1
ablation_zero,1,16,[80755],6.65625,6.25,-0.40625,0.40625,0.061032863758072695,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L16_F80755,-1
ablation_zero,1,17,[19808],6.65625,7.8125,1.15625,1.15625,0.17370891992682228,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L17_F19808,-1
ablation_zero,1,17,[765],6.65625,7.6875,1.03125,1.03125,0.15492957723203069,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L17_F765,-1
ablation_zero,1,18,[152973],6.65625,6.5,-0.15625,0.15625,0.023474178368489498,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L18_F152973,-1
ablation_zero,1,18,[149556],6.65625,6.4375,-0.21875,0.21875,0.032863849715885296,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L18_F149556,-1
