experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,feature_source,skipped_reason,layer_has_graph_features,meta.prompt,meta.correct_token,meta.incorrect_token,meta.mode,meta.source_prompt,meta.target_prompt,meta.source_correct,meta.target_correct,meta.target_incorrect,meta.selected_by_diff,meta.candidate_pool_size,meta.source_margin,meta.target_margin,meta.source_number,meta.target_number,meta.source_orig_idx,meta.target_orig_idx,behaviour,split,model_size,graph_n_prompts,run_id,prep_timestamp,in_common_prompt_set,in_common_layer_set
ablation_zero,0,10,"[59805, 102028, 68612, 40520, 101190, 148569, 104215]",5.125,5.03125,-0.09375,0.09375,0.0182926828911362,False,graph,,True,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,0,11,"[22932, 77813, 33438, 59878, 107358]",5.125,4.8125,-0.3125,0.3125,0.0609756096371207,False,graph,,True,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,0,12,"[146578, 4447, 83869, 115685, 71563]",5.125,3.25,-1.875,1.875,0.3658536578227245,False,graph,,True,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,0,13,"[136136, 108154, 70603, 72758]",5.125,4.4375,-0.6875,0.6875,0.1341463412016657,False,graph,,True,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,0,14,[41052],5.125,4.28125,-0.84375,0.84375,0.164634146020226,False,graph,,True,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,0,15,"[125632, 39942, 27553]",5.125,5.96875,0.84375,0.84375,0.164634146020226,False,graph,,True,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,0,16,[45664],5.125,5.5625,0.4375,0.4375,0.085365853491969,False,graph,,True,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,0,17,[151157],5.125,5.75,0.625,0.625,0.1219512192742415,False,graph,,True,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,0,18,[152973],5.125,5.90625,0.78125,0.78125,0.1524390240928019,False,graph,,True,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,0,19,[135640],5.125,4.84375,-0.28125,0.28125,0.0548780486734086,False,graph,,True,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,0,20,"[145235, 89162, 115627]",5.125,4.65625,-0.46875,0.46875,0.0914634144556811,False,graph,,True,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,0,21,"[45934, 23114]",5.125,5.40625,0.28125,0.28125,0.0548780486734086,False,graph,,True,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,0,22,"[41906, 78043, 156288, 99330]",5.125,4.65625,-0.46875,0.46875,0.0914634144556811,False,graph,,True,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,0,23,"[5853, 61192, 90775, 40170, 70485, 23708, 92411, 83865]",5.125,5.5,0.375,0.375,0.0731707315645449,False,graph,,True,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,0,24,"[60321, 119196, 118673]",5.125,4.28125,-0.84375,0.84375,0.164634146020226,False,graph,,True,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,0,25,"[43384, 9878, 19816, 90133]",5.125,4.1875,-0.9375,0.9375,0.1829268289113622,False,graph,,True,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,1,10,"[68612, 59805, 148569, 101190, 104215, 40520, 102028]",6.65625,6.1875,-0.46875,0.46875,0.0704225351054684,False,graph,,True,"The antonym of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,1,11,"[22932, 33438, 77813, 59878, 107358]",6.65625,6.46875,-0.1875,0.1875,0.0281690140421874,False,graph,,True,"The antonym of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,1,12,"[146578, 83869, 4447, 115685, 71563]",6.65625,5.71875,-0.9375,0.9375,0.1408450702109369,False,graph,,True,"The antonym of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,1,13,"[136136, 70603, 72758, 108154]",6.65625,6.09375,-0.5625,0.5625,0.0845070421265622,False,graph,,True,"The antonym of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,1,14,[41052],6.65625,6.5,-0.15625,0.15625,0.0234741783684894,False,graph,,True,"The antonym of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,1,15,"[27553, 39942, 125632]",6.65625,6.78125,0.125,0.125,0.0187793426947915,False,graph,,True,"The antonym of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,1,16,[45664],6.65625,6.3125,-0.34375,0.34375,0.0516431924106768,False,graph,,True,"The antonym of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,1,17,[151157],6.65625,7.84375,1.1875,1.1875,0.1784037556005202,False,graph,,True,"The antonym of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,1,18,[152973],6.65625,6.5,-0.15625,0.15625,0.0234741783684894,False,graph,,True,"The antonym of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,1,19,[135640],6.65625,7.0,0.34375,0.34375,0.0516431924106768,False,graph,,True,"The antonym of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,1,20,"[145235, 89162, 115627]",6.65625,6.9375,0.28125,0.28125,0.0422535210632811,False,graph,,True,"The antonym of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,1,21,"[45934, 23114]",6.65625,7.0,0.34375,0.34375,0.0516431924106768,False,graph,,True,"The antonym of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,1,22,"[41906, 78043, 99330, 156288]",6.65625,4.65625,-2.0,2.0,0.3004694831166655,False,graph,,True,"The antonym of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,1,23,"[5853, 40170, 90775, 70485, 61192, 23708, 83865, 92411]",6.65625,5.5,-1.15625,1.15625,0.1737089199268222,False,graph,,True,"The antonym of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,1,24,"[119196, 60321, 118673]",6.65625,4.71875,-1.9375,1.9375,0.2910798117692698,False,graph,,True,"The antonym of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,1,25,"[43384, 19816, 9878, 90133]",6.65625,4.625,-2.03125,2.03125,0.3051643187903635,False,graph,,True,"The antonym of ""small"" is", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,2,10,"[68612, 101190, 102028, 59805, 40520, 104215, 148569]",4.875,5.9375,1.0625,1.0625,0.2179487175016436,False,graph,,True,"""small"" is the antonym of", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,2,11,"[22932, 107358, 59878, 77813, 33438]",4.875,4.90625,0.03125,0.03125,0.0064102563971071,False,graph,,True,"""small"" is the antonym of", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,2,12,"[83869, 146578, 115685, 4447, 71563]",4.875,5.28125,0.40625,0.40625,0.0833333331623931,False,graph,,True,"""small"" is the antonym of", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,2,13,"[136136, 70603, 72758, 108154]",4.875,4.6875,-0.1875,0.1875,0.038461538382643,False,graph,,True,"""small"" is the antonym of", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,2,14,[41052],4.875,5.625,0.75,0.75,0.153846153530572,False,graph,,True,"""small"" is the antonym of", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,2,15,"[125632, 39942, 27553]",4.875,5.21875,0.34375,0.34375,0.0705128203681788,False,graph,,True,"""small"" is the antonym of", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,2,16,[45664],4.875,5.3125,0.4375,0.4375,0.0897435895595003,False,graph,,True,"""small"" is the antonym of", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,2,17,[151157],4.875,5.3125,0.4375,0.4375,0.0897435895595003,False,graph,,True,"""small"" is the antonym of", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
ablation_zero,2,18,[152973],4.875,5.40625,0.53125,0.53125,0.1089743587508218,False,graph,,True,"""small"" is the antonym of", large, small,zero,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260305-094855_multilingual_circuits_train_n48,2026-03-05T09:48:55.945765,True,True
