experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,meta.prompt,meta.correct_token,meta.incorrect_token,meta.mode,meta.source_prompt,meta.target_prompt,meta.source_correct,meta.target_correct,meta.target_incorrect,meta.selected_by_diff,meta.candidate_pool_size,meta.source_margin,meta.target_margin,meta.source_number,meta.target_number,meta.source_orig_idx,meta.target_orig_idx,meta.behaviour,meta.coefficient,meta.n_features,behaviour,split,model_size,graph_n_prompts,run_id,prep_timestamp,in_common_prompt_set,in_common_layer_set
ablation_zero,0,10,"[126287, 159221, 154631]",3.0,3.375,0.375,0.375,0.1249999995833333,False,The dogs, sleep, sleeps,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,0,11,[1564],3.0,2.4375,-0.5625,0.5625,0.187499999375,False,The dogs, sleep, sleeps,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,0,12,"[146578, 43835, 1302]",3.0,3.125,0.125,0.125,0.0416666665277777,False,The dogs, sleep, sleeps,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,0,13,"[50574, 3203, 12706]",3.0,2.9375,-0.0625,0.0625,0.0208333332638888,False,The dogs, sleep, sleeps,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,0,14,[57525],3.0,2.9375,-0.0625,0.0625,0.0208333332638888,False,The dogs, sleep, sleeps,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,0,15,"[127839, 135551, 32893]",3.0,2.75,-0.25,0.25,0.0833333330555555,False,The dogs, sleep, sleeps,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,0,16,[33604],3.0,3.0,0.0,0.0,0.0,False,The dogs, sleep, sleeps,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,0,17,[65581],3.0,2.75,-0.25,0.25,0.0833333330555555,False,The dogs, sleep, sleeps,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,0,18,"[152973, 109919]",3.0,3.0,0.0,0.0,0.0,False,The dogs, sleep, sleeps,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,0,19,"[68247, 103010, 135661]",3.0,2.6875,-0.3125,0.3125,0.1041666663194444,False,The dogs, sleep, sleeps,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,0,20,"[58760, 146302, 26284, 99485]",3.0,2.75,-0.25,0.25,0.0833333330555555,False,The dogs, sleep, sleeps,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,0,21,[98305],3.0,2.9375,-0.0625,0.0625,0.0208333332638888,False,The dogs, sleep, sleeps,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,0,22,"[66669, 57015, 34051, 74868]",3.0,3.6875,0.6875,0.6875,0.2291666659027778,False,The dogs, sleep, sleeps,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,0,23,[91721],3.0,2.875,-0.125,0.125,0.0416666665277777,False,The dogs, sleep, sleeps,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,0,24,"[30233, 161672, 122537]",3.0,1.5625,-1.4375,1.4375,0.4791666650694444,False,The dogs, sleep, sleeps,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,0,25,[37637],3.0,3.4375,0.4375,0.4375,0.1458333328472222,False,The dogs, sleep, sleeps,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,1,10,"[159221, 126287, 154631]",2.75,3.0,0.25,0.25,0.0909090905785124,False,The flowers, think, thinks,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,1,11,[1564],2.75,3.5625,0.8125,0.8125,0.2954545443801653,False,The flowers, think, thinks,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,1,12,"[146578, 1302, 43835]",2.75,4.625,1.875,1.875,0.681818179338843,False,The flowers, think, thinks,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,1,13,"[50574, 3203, 12706]",2.75,2.75,0.0,0.0,0.0,False,The flowers, think, thinks,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,1,14,[57525],2.75,2.6875,-0.0625,0.0625,0.0227272726446281,False,The flowers, think, thinks,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,1,15,"[127839, 32893, 135551]",2.75,2.8125,0.0625,0.0625,0.0227272726446281,False,The flowers, think, thinks,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,1,16,[33604],2.75,2.8125,0.0625,0.0625,0.0227272726446281,False,The flowers, think, thinks,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,1,17,[65581],2.75,2.375,-0.375,0.375,0.1363636358677686,False,The flowers, think, thinks,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,1,18,"[152973, 109919]",2.75,2.25,-0.5,0.5,0.1818181811570248,False,The flowers, think, thinks,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,1,19,"[68247, 103010, 135661]",2.75,2.75,0.0,0.0,0.0,False,The flowers, think, thinks,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,1,20,"[58760, 146302, 26284, 99485]",2.75,2.625,-0.125,0.125,0.0454545452892562,False,The flowers, think, thinks,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,1,21,[98305],2.75,3.25,0.5,0.5,0.1818181811570248,False,The flowers, think, thinks,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,1,22,"[66669, 57015, 34051, 74868]",2.75,2.75,0.0,0.0,0.0,False,The flowers, think, thinks,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,1,23,[91721],2.75,3.25,0.5,0.5,0.1818181811570248,False,The flowers, think, thinks,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,1,24,"[30233, 161672, 122537]",2.75,-3.375,-6.125,6.125,2.2272727191735537,True,The flowers, think, thinks,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,1,25,[37637],2.75,1.6875,-1.0625,1.0625,0.3863636349586777,False,The flowers, think, thinks,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
ablation_zero,2,10,"[159221, 126287, 154631]",4.9375,3.875,-1.0625,1.0625,0.2151898729818939,False,The flowers, stand, stands,zero,,,,,,,,,,,,,,,,,grammar_agreement,train,4b,80,20260223-193226_grammar_agreement_train_n80,2026-02-23T19:32:26.437702,True,True
