experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index
ablation_zero,0,15,"[127839, 38259]",12.125,12.3125,0.1875,0.1875,0.015463917513019449,False,"{'prompt': 'The options are proton, neutron, and electron. Which particle has negative electric charge? Answer:', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,0,16,[75293],12.125,12.125,0.0,0.0,0.0,False,"{'prompt': 'The options are proton, neutron, and electron. Which particle has negative electric charge? Answer:', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,0,17,[108105],12.125,12.0,-0.125,0.125,0.010309278342012966,False,"{'prompt': 'The options are proton, neutron, and electron. Which particle has negative electric charge? Answer:', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,0,18,"[20958, 132539]",12.125,11.6875,-0.4375,0.4375,0.036082474197045376,False,"{'prompt': 'The options are proton, neutron, and electron. Which particle has negative electric charge? Answer:', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,0,19,[54110],12.125,11.625,-0.5,0.5,0.041237113368051866,False,"{'prompt': 'The options are proton, neutron, and electron. Which particle has negative electric charge? Answer:', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,0,20,"[112825, 107702]",12.125,12.375,0.25,0.25,0.020618556684025933,False,"{'prompt': 'The options are proton, neutron, and electron. Which particle has negative electric charge? Answer:', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,1,15,"[38259, 127839]",8.6875,8.9375,0.25,0.25,0.028776978384141606,False,"{'prompt': 'Consider these particles: the electron, the proton, the neutron. Among them, which one has negative ', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,1,16,[75293],8.6875,7.4375,-1.25,1.25,0.14388489192070802,False,"{'prompt': 'Consider these particles: the electron, the proton, the neutron. Among them, which one has negative ', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,1,17,[108105],8.6875,8.625,-0.0625,0.0625,0.007194244596035401,False,"{'prompt': 'Consider these particles: the electron, the proton, the neutron. Among them, which one has negative ', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,1,18,"[20958, 132539]",8.6875,7.59375,-1.09375,1.09375,0.12589928043061951,False,"{'prompt': 'Consider these particles: the electron, the proton, the neutron. Among them, which one has negative ', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,1,19,[54110],8.6875,6.5,-2.1875,2.1875,0.25179856086123903,False,"{'prompt': 'Consider these particles: the electron, the proton, the neutron. Among them, which one has negative ', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,1,20,"[112825, 107702]",8.6875,5.25,-3.4375,3.4375,0.39568345278194705,False,"{'prompt': 'Consider these particles: the electron, the proton, the neutron. Among them, which one has negative ', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,2,15,"[127839, 38259]",9.0625,9.0,-0.0625,0.0625,0.006896551716527942,False,"{'prompt': 'Which particle has negative electric charge — the proton, the electron, or the neutron? Answer:', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,2,16,[75293],9.0625,8.8125,-0.25,0.25,0.027586206866111768,False,"{'prompt': 'Which particle has negative electric charge — the proton, the electron, or the neutron? Answer:', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,2,17,[108105],9.0625,9.25,0.1875,0.1875,0.020689655149583826,False,"{'prompt': 'Which particle has negative electric charge — the proton, the electron, or the neutron? Answer:', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,2,18,"[20958, 132539]",9.0625,9.5625,0.5,0.5,0.055172413732223535,False,"{'prompt': 'Which particle has negative electric charge — the proton, the electron, or the neutron? Answer:', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,2,19,[54110],9.0625,8.1875,-0.875,0.875,0.09655172403139119,False,"{'prompt': 'Which particle has negative electric charge — the proton, the electron, or the neutron? Answer:', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,2,20,"[112825, 107702]",9.0625,7.25,-1.8125,1.8125,0.19999999977931032,False,"{'prompt': 'Which particle has negative electric charge — the proton, the electron, or the neutron? Answer:', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,3,15,"[127839, 38259]",4.875,5.25,0.375,0.375,0.076923076765286,False,"{'prompt': 'An atom consists of a nucleus containing protons and neutrons, with electrons orbiting outside. Amon', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,3,16,[75293],4.875,3.625,-1.25,1.25,0.2564102558842867,False,"{'prompt': 'An atom consists of a nucleus containing protons and neutrons, with electrons orbiting outside. Amon', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,3,17,[108105],4.875,6.375,1.5,1.5,0.307692307061144,False,"{'prompt': 'An atom consists of a nucleus containing protons and neutrons, with electrons orbiting outside. Amon', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,3,18,"[20958, 132539]",4.875,6.875,2.0,2.0,0.41025640941485864,False,"{'prompt': 'An atom consists of a nucleus containing protons and neutrons, with electrons orbiting outside. Amon', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,3,19,[54110],4.875,3.625,-1.25,1.25,0.2564102558842867,False,"{'prompt': 'An atom consists of a nucleus containing protons and neutrons, with electrons orbiting outside. Amon', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,3,20,"[107702, 112825]",4.875,3.515625,-1.359375,1.359375,0.27884615327416173,False,"{'prompt': 'An atom consists of a nucleus containing protons and neutrons, with electrons orbiting outside. Amon', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,4,15,"[127839, 38259]",6.25,6.875,0.625,0.625,0.09999999984,False,"{'prompt': 'Which particle has negative electric charge? Answer:', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,4,16,[75293],6.25,5.59375,-0.65625,0.65625,0.10499999983200001,False,"{'prompt': 'Which particle has negative electric charge? Answer:', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,4,17,[108105],6.25,6.75,0.5,0.5,0.079999999872,False,"{'prompt': 'Which particle has negative electric charge? Answer:', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,4,18,"[20958, 132539]",6.25,10.4375,4.1875,4.1875,0.669999998928,False,"{'prompt': 'Which particle has negative electric charge? Answer:', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,4,19,[54110],6.25,4.8125,-1.4375,1.4375,0.229999999632,False,"{'prompt': 'Which particle has negative electric charge? Answer:', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,4,20,"[112825, 107702]",6.25,3.375,-2.875,2.875,0.459999999264,False,"{'prompt': 'Which particle has negative electric charge? Answer:', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,5,15,"[127839, 38259]",9.125,10.625,1.5,1.5,0.16438356146368924,False,"{'prompt': 'The options are electron, neutron, and proton. Which particle has positive electric charge? Answer:', 'correct_token': ' proton', 'incorrect_token': ' neutron', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,5,16,[75293],9.125,7.96875,-1.15625,1.15625,0.12671232862826046,False,"{'prompt': 'The options are electron, neutron, and proton. Which particle has positive electric charge? Answer:', 'correct_token': ' proton', 'incorrect_token': ' neutron', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,5,17,[108105],9.125,9.875,0.75,0.75,0.08219178073184462,False,"{'prompt': 'The options are electron, neutron, and proton. Which particle has positive electric charge? Answer:', 'correct_token': ' proton', 'incorrect_token': ' neutron', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,5,18,"[20958, 132539]",9.125,10.875,1.75,1.75,0.19178082170763744,False,"{'prompt': 'The options are electron, neutron, and proton. Which particle has positive electric charge? Answer:', 'correct_token': ' proton', 'incorrect_token': ' neutron', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,5,19,[54110],9.125,9.1875,0.0625,0.0625,0.006849315060987051,False,"{'prompt': 'The options are electron, neutron, and proton. Which particle has positive electric charge? Answer:', 'correct_token': ' proton', 'incorrect_token': ' neutron', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,5,20,"[112825, 107702]",9.125,7.6875,-1.4375,1.4375,0.1575342464027022,False,"{'prompt': 'The options are electron, neutron, and proton. Which particle has positive electric charge? Answer:', 'correct_token': ' proton', 'incorrect_token': ' neutron', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,6,15,"[38259, 127839]",9.75,10.25,0.5,0.5,0.051282051229454305,False,"{'prompt': 'Consider these particles: the proton, the electron, the neutron. Among them, which one has positive ', 'correct_token': ' proton', 'incorrect_token': ' neutron', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,6,16,[75293],9.75,9.625,-0.125,0.125,0.012820512807363576,False,"{'prompt': 'Consider these particles: the proton, the electron, the neutron. Among them, which one has positive ', 'correct_token': ' proton', 'incorrect_token': ' neutron', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,6,17,[108105],9.75,9.9375,0.1875,0.1875,0.019230769211045363,False,"{'prompt': 'Consider these particles: the proton, the electron, the neutron. Among them, which one has positive ', 'correct_token': ' proton', 'incorrect_token': ' neutron', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,6,18,"[20958, 132539]",9.75,9.75,0.0,0.0,0.0,False,"{'prompt': 'Consider these particles: the proton, the electron, the neutron. Among them, which one has positive ', 'correct_token': ' proton', 'incorrect_token': ' neutron', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,6,19,[54110],9.75,8.75,-1.0,1.0,0.10256410245890861,False,"{'prompt': 'Consider these particles: the proton, the electron, the neutron. Among them, which one has positive ', 'correct_token': ' proton', 'incorrect_token': ' neutron', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,6,20,"[112825, 107702]",9.75,8.4375,-1.3125,1.3125,0.13461538447731755,False,"{'prompt': 'Consider these particles: the proton, the electron, the neutron. Among them, which one has positive ', 'correct_token': ' proton', 'incorrect_token': ' neutron', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,7,15,"[127839, 38259]",8.875,8.375,-0.5,0.5,0.056338028105534614,False,"{'prompt': 'Which particle has positive electric charge — the electron, the proton, or the neutron? Answer:', 'correct_token': ' proton', 'incorrect_token': ' neutron', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,7,16,[75293],8.875,9.0625,0.1875,0.1875,0.02112676053957548,False,"{'prompt': 'Which particle has positive electric charge — the electron, the proton, or the neutron? Answer:', 'correct_token': ' proton', 'incorrect_token': ' neutron', 'mode': 'zero'}",graph,,True,,-1
