experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index,meta.prompt,meta.correct_token,meta.incorrect_token,meta.mode,meta.source_prompt,meta.target_prompt,meta.source_correct,meta.target_correct,meta.target_incorrect,meta.selected_by_diff,meta.candidate_pool_size,meta.source_margin,meta.target_margin,meta.source_number,meta.target_number,meta.source_orig_idx,meta.target_orig_idx,meta.concept_index,meta.template_idx,behaviour,split,model_size,graph_n_prompts,run_id,prep_timestamp,in_common_prompt_set,in_common_layer_set
ablation_zero,0,10,[59805],5.125,5.1875,0.0625,0.0625,0.0121951219274241,False,graph,,True,L10_F59805,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260313-122222_multilingual_circuits_train_n48,2026-03-13T12:22:22.845895,True,True
ablation_zero,0,10,[102028],5.125,5.15625,0.03125,0.03125,0.006097560963712,False,graph,,True,L10_F102028,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260313-122222_multilingual_circuits_train_n48,2026-03-13T12:22:22.845895,True,True
ablation_zero,0,10,[68612],5.125,5.125,0.0,0.0,0.0,False,graph,,True,L10_F68612,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260313-122222_multilingual_circuits_train_n48,2026-03-13T12:22:22.845895,True,True
ablation_zero,0,10,[143891],5.125,5.125,0.0,0.0,0.0,False,graph,,True,L10_F143891,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260313-122222_multilingual_circuits_train_n48,2026-03-13T12:22:22.845895,True,True
ablation_zero,0,10,[40520],5.125,5.0,-0.125,0.125,0.0243902438548483,False,graph,,True,L10_F40520,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260313-122222_multilingual_circuits_train_n48,2026-03-13T12:22:22.845895,True,True
ablation_zero,0,10,[101190],5.125,5.0,-0.125,0.125,0.0243902438548483,False,graph,,True,L10_F101190,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260313-122222_multilingual_circuits_train_n48,2026-03-13T12:22:22.845895,True,True
ablation_zero,0,10,[148569],5.125,5.125,0.0,0.0,0.0,False,graph,,True,L10_F148569,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260313-122222_multilingual_circuits_train_n48,2026-03-13T12:22:22.845895,True,True
ablation_zero,0,10,[104215],5.125,5.0625,-0.0625,0.0625,0.0121951219274241,False,graph,,True,L10_F104215,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260313-122222_multilingual_circuits_train_n48,2026-03-13T12:22:22.845895,True,True
ablation_zero,0,10,[135728],5.125,5.125,0.0,0.0,0.0,False,graph,,True,L10_F135728,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260313-122222_multilingual_circuits_train_n48,2026-03-13T12:22:22.845895,True,True
ablation_zero,0,11,[22932],5.125,4.75,-0.375,0.375,0.0731707315645449,False,graph,,True,L11_F22932,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260313-122222_multilingual_circuits_train_n48,2026-03-13T12:22:22.845895,True,True
ablation_zero,0,11,[77813],5.125,4.5625,-0.5625,0.5625,0.1097560973468173,False,graph,,True,L11_F77813,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260313-122222_multilingual_circuits_train_n48,2026-03-13T12:22:22.845895,True,True
ablation_zero,0,11,[33438],5.125,4.65625,-0.46875,0.46875,0.0914634144556811,False,graph,,True,L11_F33438,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260313-122222_multilingual_circuits_train_n48,2026-03-13T12:22:22.845895,True,True
ablation_zero,0,11,[59878],5.125,4.59375,-0.53125,0.53125,0.1036585363831052,False,graph,,True,L11_F59878,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260313-122222_multilingual_circuits_train_n48,2026-03-13T12:22:22.845895,True,True
ablation_zero,0,11,[107358],5.125,4.65625,-0.46875,0.46875,0.0914634144556811,False,graph,,True,L11_F107358,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260313-122222_multilingual_circuits_train_n48,2026-03-13T12:22:22.845895,True,True
ablation_zero,0,12,[146578],5.125,2.9375,-2.1875,2.1875,0.4268292674598453,False,graph,,True,L12_F146578,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260313-122222_multilingual_circuits_train_n48,2026-03-13T12:22:22.845895,True,True
ablation_zero,0,12,[83869],5.125,3.4375,-1.6875,1.6875,0.3292682920404521,False,graph,,True,L12_F83869,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260313-122222_multilingual_circuits_train_n48,2026-03-13T12:22:22.845895,True,True
ablation_zero,0,12,[115685],5.125,3.5,-1.625,1.625,0.317073170113028,False,graph,,True,L12_F115685,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260313-122222_multilingual_circuits_train_n48,2026-03-13T12:22:22.845895,True,True
ablation_zero,0,12,[71563],5.125,3.5625,-1.5625,1.5625,0.3048780481856038,False,graph,,True,L12_F71563,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260313-122222_multilingual_circuits_train_n48,2026-03-13T12:22:22.845895,True,True
ablation_zero,0,13,[108154],5.125,4.53125,-0.59375,0.59375,0.1158536583105294,False,graph,,True,L13_F108154,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260313-122222_multilingual_circuits_train_n48,2026-03-13T12:22:22.845895,True,True
ablation_zero,0,13,[70603],5.125,4.65625,-0.46875,0.46875,0.0914634144556811,False,graph,,True,L13_F70603,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260313-122222_multilingual_circuits_train_n48,2026-03-13T12:22:22.845895,True,True
ablation_zero,0,13,[72758],5.125,4.625,-0.5,0.5,0.0975609754193932,False,graph,,True,L13_F72758,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260313-122222_multilingual_circuits_train_n48,2026-03-13T12:22:22.845895,True,True
ablation_zero,0,14,[57525],5.125,4.34375,-0.78125,0.78125,0.1524390240928019,False,graph,,True,L14_F57525,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260313-122222_multilingual_circuits_train_n48,2026-03-13T12:22:22.845895,True,True
ablation_zero,0,15,[125632],5.125,5.90625,0.78125,0.78125,0.1524390240928019,False,graph,,True,L15_F125632,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits,train,4b,48,20260313-122222_multilingual_circuits_train_n48,2026-03-13T12:22:22.845895,True,True
