experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index
ablation_zero,0,10,[53921],15.9375,16.625,0.6875,0.6875,0.04313725487489427,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L10_F53921,-1
ablation_zero,0,10,[19118],15.9375,16.625,0.6875,0.6875,0.04313725487489427,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L10_F19118,-1
ablation_zero,0,11,[112540],15.9375,16.125,0.1875,0.1875,0.011764705874971164,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L11_F112540,-1
ablation_zero,0,12,[73956],15.9375,16.125,0.1875,0.1875,0.011764705874971164,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L12_F73956,-1
ablation_zero,0,12,[39989],15.9375,18.0,2.0625,2.0625,0.12941176462468282,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L12_F39989,-1
ablation_zero,0,12,[102670],15.9375,19.125,3.1875,3.1875,0.19999999987450978,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L12_F102670,-1
ablation_zero,0,13,[140686],15.9375,16.25,0.3125,0.3125,0.01960784312495194,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L13_F140686,-1
ablation_zero,0,14,[96297],15.9375,0.9375,-15.0,15.0,0.9411764699976931,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L14_F96297,-1
ablation_zero,0,14,[77869],15.9375,2.25,-13.6875,13.6875,0.858823528872895,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L14_F77869,-1
ablation_zero,0,14,[32925],15.9375,2.4375,-13.5,13.5,0.8470588229979238,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L14_F32925,-1
ablation_zero,0,15,[24829],15.9375,-5.375,-21.3125,21.3125,1.3372549011217223,True,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L15_F24829,-1
ablation_zero,0,15,[90154],15.9375,16.0,0.0625,0.0625,0.003921568624990388,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L15_F90154,-1
ablation_zero,0,16,[93805],15.9375,16.125,0.1875,0.1875,0.011764705874971164,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L16_F93805,-1
ablation_zero,0,16,[51107],15.9375,16.125,0.1875,0.1875,0.011764705874971164,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L16_F51107,-1
ablation_zero,0,17,[13730],15.9375,16.25,0.3125,0.3125,0.01960784312495194,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L17_F13730,-1
ablation_zero,0,18,[15247],15.9375,16.125,0.1875,0.1875,0.011764705874971164,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L18_F15247,-1
ablation_zero,0,18,[148614],15.9375,14.8125,-1.125,1.125,0.07058823524982699,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L18_F148614,-1
ablation_zero,0,18,[96974],15.9375,16.125,0.1875,0.1875,0.011764705874971164,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L18_F96974,-1
ablation_zero,0,19,[137712],15.9375,15.75,-0.1875,0.1875,0.011764705874971164,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L19_F137712,-1
ablation_zero,0,19,[24697],15.9375,15.875,-0.0625,0.0625,0.003921568624990388,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L19_F24697,-1
ablation_zero,0,20,[24239],15.9375,16.0,0.0625,0.0625,0.003921568624990388,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L20_F24239,-1
ablation_zero,0,20,[27296],15.9375,16.0,0.0625,0.0625,0.003921568624990388,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L20_F27296,-1
ablation_zero,0,21,[11263],15.9375,15.875,-0.0625,0.0625,0.003921568624990388,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L21_F11263,-1
ablation_zero,0,21,[16038],15.9375,16.0,0.0625,0.0625,0.003921568624990388,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L21_F16038,-1
ablation_zero,0,22,[16944],15.9375,15.625,-0.3125,0.3125,0.01960784312495194,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L22_F16944,-1
ablation_zero,0,22,[96600],15.9375,15.75,-0.1875,0.1875,0.011764705874971164,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L22_F96600,-1
ablation_zero,0,22,[102533],15.9375,15.75,-0.1875,0.1875,0.011764705874971164,False,"{'prompt': 'A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch', 'correct_token': ' same', 'incorrect_token': ' different', 'mode': 'zero'}",graph,,True,L22_F102533,-1
