feature_id,layer,ranking_metric,rank,metric_value,community,role_label,prompt_idx,prompt_id,prompt_short,level,group_id,cue_label,latent_state_target,correct_answer,is_anchor,is_kw_variant,is_auxiliary,baseline_sign_diff,sign_correct
L10_F116205,10,abs_effect_size,1,6.8125,,,292,p0292,Unlike dark matter candidates (hypothetical massive particles that feel gravity ,AUX,?,,,photon,False,False,False,5.826063871383667,True
L10_F116205,10,abs_effect_size,2,5.84375,,,145,p0145,"Unlike the pion (massive, mediates residual nuclear force), which massless parti",AUX,?,,,photon,False,False,False,4.448410987854004,True
L10_F116205,10,abs_effect_size,3,5.625,,,288,p0288,"Unlike the phonon (a vibration quantum in a solid), which massless particle carr",AUX,?,,,photon,False,False,False,6.139462947845459,True
L10_F116205,10,abs_effect_size,4,5.625,,,418,p0418,"Unlike matter particles (which have rest mass), which massless particle always t",AUX,?,,,photon,False,False,False,3.9562950134277344,True
L10_F116205,10,abs_effect_size,5,5.1875,,,340,p0340,"Unlike massive charged particles like electrons and protons, which massless, unc",AUX,?,,,photon,False,False,False,4.579797744750977,True
L10_F116205,10,abs_effect_size,6,5.09375,,,75,p0075,"Unlike the electron (which has mass and charge), which massless particle mediate",AUX,?,,,photon,False,False,False,4.85789966583252,True
L10_F116205,10,abs_effect_size,7,5.0625,,,167,p0167,"Unlike the massive Z boson that mediates weak neutral currents, which massless b",AUX,?,,,photon,False,False,False,4.340040683746338,True
L10_F116205,10,abs_effect_size,8,4.59375,,,25,p0025,"Unlike the proton (a massive charged particle), which massless uncharged particl",AUX,?,,,photon,False,False,False,5.440845966339111,True
L10_F116205,10,abs_effect_size,9,4.5625,,,264,p0264,Which massless gauge boson is exchanged between charged particles to produce ele,AUX,?,,,photon,False,False,False,-1.0760321617126465,False
L10_F116205,10,abs_effect_size,10,4.40625,,,408,p0408,"Unlike the Higgs boson (which gives mass to particles), which massless boson car",AUX,?,,,photon,False,False,False,5.537413120269775,True
L10_F41460,10,abs_effect_size,1,6.875,,,292,p0292,Unlike dark matter candidates (hypothetical massive particles that feel gravity ,AUX,?,,,photon,False,False,False,5.826063871383667,True
L10_F41460,10,abs_effect_size,2,6.71875,,,145,p0145,"Unlike the pion (massive, mediates residual nuclear force), which massless parti",AUX,?,,,photon,False,False,False,4.448410987854004,True
L10_F41460,10,abs_effect_size,3,6.4375,,,288,p0288,"Unlike the phonon (a vibration quantum in a solid), which massless particle carr",AUX,?,,,photon,False,False,False,6.139462947845459,True
L10_F41460,10,abs_effect_size,4,5.75,,,418,p0418,"Unlike matter particles (which have rest mass), which massless particle always t",AUX,?,,,photon,False,False,False,3.9562950134277344,True
L10_F41460,10,abs_effect_size,5,5.15625,,,75,p0075,"Unlike the electron (which has mass and charge), which massless particle mediate",AUX,?,,,photon,False,False,False,4.85789966583252,True
L10_F41460,10,abs_effect_size,6,5.125,,,340,p0340,"Unlike massive charged particles like electrons and protons, which massless, unc",AUX,?,,,photon,False,False,False,4.579797744750977,True
L10_F41460,10,abs_effect_size,7,4.84375,,,25,p0025,"Unlike the proton (a massive charged particle), which massless uncharged particl",AUX,?,,,photon,False,False,False,5.440845966339111,True
L10_F41460,10,abs_effect_size,8,4.75,,,167,p0167,"Unlike the massive Z boson that mediates weak neutral currents, which massless b",AUX,?,,,photon,False,False,False,4.340040683746338,True
L10_F41460,10,abs_effect_size,9,4.5,,,346,p0346,"Unlike the muon (a charged, massive lepton), which massless, chargeless boson ac",AUX,?,,,photon,False,False,False,4.823732376098633,True
L10_F41460,10,abs_effect_size,10,4.28125,,,408,p0408,"Unlike the Higgs boson (which gives mass to particles), which massless boson car",AUX,?,,,photon,False,False,False,5.537413120269775,True
L10_F56424,10,abs_effect_size,1,6.625,,,292,p0292,Unlike dark matter candidates (hypothetical massive particles that feel gravity ,AUX,?,,,photon,False,False,False,5.826063871383667,True
L10_F56424,10,abs_effect_size,2,6.53125,,,145,p0145,"Unlike the pion (massive, mediates residual nuclear force), which massless parti",AUX,?,,,photon,False,False,False,4.448410987854004,True
L10_F56424,10,abs_effect_size,3,6.4375,,,288,p0288,"Unlike the phonon (a vibration quantum in a solid), which massless particle carr",AUX,?,,,photon,False,False,False,6.139462947845459,True
L10_F56424,10,abs_effect_size,4,5.5625,,,418,p0418,"Unlike matter particles (which have rest mass), which massless particle always t",AUX,?,,,photon,False,False,False,3.9562950134277344,True
L10_F56424,10,abs_effect_size,5,5.15625,,,75,p0075,"Unlike the electron (which has mass and charge), which massless particle mediate",AUX,?,,,photon,False,False,False,4.85789966583252,True
L10_F56424,10,abs_effect_size,6,5.125,,,340,p0340,"Unlike massive charged particles like electrons and protons, which massless, unc",AUX,?,,,photon,False,False,False,4.579797744750977,True
L10_F56424,10,abs_effect_size,7,4.75,,,167,p0167,"Unlike the massive Z boson that mediates weak neutral currents, which massless b",AUX,?,,,photon,False,False,False,4.340040683746338,True
L10_F56424,10,abs_effect_size,8,4.71875,,,25,p0025,"Unlike the proton (a massive charged particle), which massless uncharged particl",AUX,?,,,photon,False,False,False,5.440845966339111,True
L10_F56424,10,abs_effect_size,9,4.71875,,,346,p0346,"Unlike the muon (a charged, massive lepton), which massless, chargeless boson ac",AUX,?,,,photon,False,False,False,4.823732376098633,True
L10_F56424,10,abs_effect_size,10,4.34375,,,408,p0408,"Unlike the Higgs boson (which gives mass to particles), which massless boson car",AUX,?,,,photon,False,False,False,5.537413120269775,True
L10_F72085,10,abs_effect_size,1,7.0,,,292,p0292,Unlike dark matter candidates (hypothetical massive particles that feel gravity ,AUX,?,,,photon,False,False,False,5.826063871383667,True
