experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,feature_source,skipped_reason,layer_has_graph_features,meta.prompt,meta.correct_token,meta.incorrect_token,meta.mode,meta.source_prompt,meta.target_prompt,meta.source_correct,meta.target_correct,meta.target_incorrect,meta.selected_by_diff,meta.candidate_pool_size,meta.source_margin,meta.target_margin,meta.source_number,meta.target_number,meta.source_orig_idx,meta.target_orig_idx,meta.behaviour,meta.coefficient,meta.n_features,behaviour,split,model_size,graph_n_prompts,run_id,prep_timestamp,in_common_prompt_set,in_common_layer_set
ablation_zero,0,10,"[25281, 148569]",8.125,8.625,0.5,0.5,0.0615384614627218,False,graph,,True,"""open"" is the opposite of", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,0,11,"[59878, 46537, 107914]",8.125,7.25,-0.875,0.875,0.1076923075597633,False,graph,,True,"""open"" is the opposite of", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,0,12,"[4447, 39488, 40178, 71563]",8.125,7.46875,-0.65625,0.65625,0.0807692306698224,False,graph,,True,"""open"" is the opposite of", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,0,13,"[72758, 74172, 145452, 54591, 132137]",8.125,7.1875,-0.9375,0.9375,0.1153846152426035,False,graph,,True,"""open"" is the opposite of", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,0,14,"[57525, 111183, 59886, 106824]",8.125,7.8125,-0.3125,0.3125,0.0384615384142011,False,graph,,True,"""open"" is the opposite of", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,0,15,"[24958, 28063, 16555]",8.125,8.25,0.125,0.125,0.0153846153656804,False,graph,,True,"""open"" is the opposite of", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,0,16,[101500],8.125,7.59375,-0.53125,0.53125,0.065384615304142,False,graph,,True,"""open"" is the opposite of", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,0,17,"[108538, 124447]",8.125,8.0,-0.125,0.125,0.0153846153656804,False,graph,,True,"""open"" is the opposite of", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,0,18,"[149556, 106139]",8.125,8.1875,0.0625,0.0625,0.0076923076828402,False,graph,,True,"""open"" is the opposite of", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,0,19,"[107296, 135640, 135988, 34170, 124778]",8.125,7.90625,-0.21875,0.21875,0.0269230768899408,False,graph,,True,"""open"" is the opposite of", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,0,20,"[145235, 8575, 97102]",8.125,8.75,0.625,0.625,0.0769230768284023,False,graph,,True,"""open"" is the opposite of", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,0,21,"[45934, 75521]",8.125,7.34375,-0.78125,0.78125,0.0961538460355029,False,graph,,True,"""open"" is the opposite of", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,0,22,[41906],8.125,7.375,-0.75,0.75,0.0923076921940828,False,graph,,True,"""open"" is the opposite of", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,0,23,"[40170, 83865]",8.125,7.5625,-0.5625,0.5625,0.0692307691455621,False,graph,,True,"""open"" is the opposite of", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,0,24,"[34943, 49489]",8.125,8.0,-0.125,0.125,0.0153846153656804,False,graph,,True,"""open"" is the opposite of", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,0,25,"[27813, 121673]",8.125,8.5,0.375,0.375,0.0461538460970414,False,graph,,True,"""open"" is the opposite of", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,1,10,"[25281, 148569]",9.375,9.1875,-0.1875,0.1875,0.0199999999786666,False,graph,,True,"The antonym of ""open"" is", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,1,11,"[59878, 46537, 107914]",9.375,8.9375,-0.4375,0.4375,0.0466666666168888,False,graph,,True,"The antonym of ""open"" is", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,1,12,"[4447, 39488, 40178, 71563]",9.375,8.875,-0.5,0.5,0.0533333332764444,False,graph,,True,"The antonym of ""open"" is", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,1,13,"[54591, 74172, 72758, 132137, 145452]",9.375,8.625,-0.75,0.75,0.0799999999146666,False,graph,,True,"The antonym of ""open"" is", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,1,14,"[57525, 111183, 106824, 59886]",9.375,9.5,0.125,0.125,0.0133333333191111,False,graph,,True,"The antonym of ""open"" is", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,1,15,"[24958, 28063, 16555]",9.375,9.375,0.0,0.0,0.0,False,graph,,True,"The antonym of ""open"" is", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,1,16,[101500],9.375,8.75,-0.625,0.625,0.0666666665955555,False,graph,,True,"The antonym of ""open"" is", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,1,17,"[124447, 108538]",9.375,9.8125,0.4375,0.4375,0.0466666666168888,False,graph,,True,"The antonym of ""open"" is", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,1,18,"[149556, 106139]",9.375,9.375,0.0,0.0,0.0,False,graph,,True,"The antonym of ""open"" is", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,1,19,"[107296, 135640, 135988, 124778, 34170]",9.375,9.75,0.375,0.375,0.0399999999573333,False,graph,,True,"The antonym of ""open"" is", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
ablation_zero,1,20,"[145235, 97102, 8575]",9.375,9.0,-0.375,0.375,0.0399999999573333,False,graph,,True,"The antonym of ""open"" is", closed, open,zero,,,,,,,,,,,,,,,,,antonym_operation,train,4b,80,20260302-211821_antonym_operation_train_n80,2026-03-02T21:18:21.524004,True,True
