experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index
patching,0,15,"[150216, 127839, 38259]",8.6875,9.0,0.3125,0.3125,0.035971222980177006,False,"{'source_prompt': 'The options are proton, neutron, and electron. Which particle has negative electric charge? Answer:', 'target_prompt': 'Consider these particles: the electron, the proton, the neutron. Among them, which one has negative ', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 12.125, 'target_margin': 8.6875, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,0,16,"[147161, 64822, 75293]",8.6875,7.375,-1.3125,1.3125,0.15107913651674343,False,"{'source_prompt': 'The options are proton, neutron, and electron. Which particle has negative electric charge? Answer:', 'target_prompt': 'Consider these particles: the electron, the proton, the neutron. Among them, which one has negative ', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 12.125, 'target_margin': 8.6875, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,0,17,"[111317, 22769, 108105]",8.6875,8.625,-0.0625,0.0625,0.007194244596035401,False,"{'source_prompt': 'The options are proton, neutron, and electron. Which particle has negative electric charge? Answer:', 'target_prompt': 'Consider these particles: the electron, the proton, the neutron. Among them, which one has negative ', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 12.125, 'target_margin': 8.6875, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,0,18,"[149556, 160254, 18177, 20958, 48134]",8.6875,7.5625,-1.125,1.125,0.12949640272863722,False,"{'source_prompt': 'The options are proton, neutron, and electron. Which particle has negative electric charge? Answer:', 'target_prompt': 'Consider these particles: the electron, the proton, the neutron. Among them, which one has negative ', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 6, 'source_margin': 12.125, 'target_margin': 8.6875, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,0,19,"[39488, 74497, 74293, 54110]",8.6875,6.4375,-2.25,2.25,0.25899280545727443,False,"{'source_prompt': 'The options are proton, neutron, and electron. Which particle has negative electric charge? Answer:', 'target_prompt': 'Consider these particles: the electron, the proton, the neutron. Among them, which one has negative ', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 4, 'source_margin': 12.125, 'target_margin': 8.6875, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,0,20,"[71973, 112825, 120456, 107702, 56357]",8.6875,5.5,-3.1875,3.1875,0.36690647439780544,False,"{'source_prompt': 'The options are proton, neutron, and electron. Which particle has negative electric charge? Answer:', 'target_prompt': 'Consider these particles: the electron, the proton, the neutron. Among them, which one has negative ', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 5, 'source_margin': 12.125, 'target_margin': 8.6875, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,1,15,"[150216, 38259, 127839]",4.875,5.25,0.375,0.375,0.076923076765286,False,"{'source_prompt': 'Which particle has negative electric charge — the proton, the electron, or the neutron? Answer:', 'target_prompt': 'An atom consists of a nucleus containing protons and neutrons, with electrons orbiting outside. Amon', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 9.0625, 'target_margin': 4.875, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,1,16,"[75293, 64822, 147161]",4.875,3.75,-1.125,1.125,0.230769230295858,False,"{'source_prompt': 'Which particle has negative electric charge — the proton, the electron, or the neutron? Answer:', 'target_prompt': 'An atom consists of a nucleus containing protons and neutrons, with electrons orbiting outside. Amon', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 9.0625, 'target_margin': 4.875, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,1,17,"[111317, 22769, 108105]",4.875,6.375,1.5,1.5,0.307692307061144,False,"{'source_prompt': 'Which particle has negative electric charge — the proton, the electron, or the neutron? Answer:', 'target_prompt': 'An atom consists of a nucleus containing protons and neutrons, with electrons orbiting outside. Amon', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 9.0625, 'target_margin': 4.875, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,1,18,"[160254, 48134, 149556, 18177, 20958]",4.875,6.5,1.625,1.625,0.33333333264957266,False,"{'source_prompt': 'Which particle has negative electric charge — the proton, the electron, or the neutron? Answer:', 'target_prompt': 'An atom consists of a nucleus containing protons and neutrons, with electrons orbiting outside. Amon', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 6, 'source_margin': 9.0625, 'target_margin': 4.875, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,1,19,"[39488, 74293, 74497, 54110]",4.875,3.515625,-1.359375,1.359375,0.27884615327416173,False,"{'source_prompt': 'Which particle has negative electric charge — the proton, the electron, or the neutron? Answer:', 'target_prompt': 'An atom consists of a nucleus containing protons and neutrons, with electrons orbiting outside. Amon', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 4, 'source_margin': 9.0625, 'target_margin': 4.875, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,1,20,"[107702, 71973, 56357, 120456, 112825]",4.875,3.515625,-1.359375,1.359375,0.27884615327416173,False,"{'source_prompt': 'Which particle has negative electric charge — the proton, the electron, or the neutron? Answer:', 'target_prompt': 'An atom consists of a nucleus containing protons and neutrons, with electrons orbiting outside. Amon', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 5, 'source_margin': 9.0625, 'target_margin': 4.875, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,2,15,"[127839, 150216, 38259]",9.125,10.8125,1.6875,1.6875,0.1849315066466504,False,"{'source_prompt': 'Which particle has negative electric charge? Answer:', 'target_prompt': 'The options are electron, neutron, and proton. Which particle has positive electric charge? Answer:', 'source_correct': ' electron', 'target_correct': ' proton', 'target_incorrect': ' neutron', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 6.25, 'target_margin': 9.125, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,2,16,"[147161, 64822, 75293]",9.125,8.0,-1.125,1.125,0.12328767109776692,False,"{'source_prompt': 'Which particle has negative electric charge? Answer:', 'target_prompt': 'The options are electron, neutron, and proton. Which particle has positive electric charge? Answer:', 'source_correct': ' electron', 'target_correct': ' proton', 'target_incorrect': ' neutron', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 6.25, 'target_margin': 9.125, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,2,17,"[111317, 22769, 108105]",9.125,9.875,0.75,0.75,0.08219178073184462,False,"{'source_prompt': 'Which particle has negative electric charge? Answer:', 'target_prompt': 'The options are electron, neutron, and proton. Which particle has positive electric charge? Answer:', 'source_correct': ' electron', 'target_correct': ' proton', 'target_incorrect': ' neutron', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 6.25, 'target_margin': 9.125, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,2,18,"[48134, 160254, 149556, 18177, 20958]",9.125,10.875,1.75,1.75,0.19178082170763744,False,"{'source_prompt': 'Which particle has negative electric charge? Answer:', 'target_prompt': 'The options are electron, neutron, and proton. Which particle has positive electric charge? Answer:', 'source_correct': ' electron', 'target_correct': ' proton', 'target_incorrect': ' neutron', 'selected_by_diff': True, 'candidate_pool_size': 6, 'source_margin': 6.25, 'target_margin': 9.125, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,2,19,"[39488, 54110, 74293, 74497]",9.125,9.25,0.125,0.125,0.013698630121974103,False,"{'source_prompt': 'Which particle has negative electric charge? Answer:', 'target_prompt': 'The options are electron, neutron, and proton. Which particle has positive electric charge? Answer:', 'source_correct': ' electron', 'target_correct': ' proton', 'target_incorrect': ' neutron', 'selected_by_diff': True, 'candidate_pool_size': 4, 'source_margin': 6.25, 'target_margin': 9.125, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,2,20,"[112825, 120456, 56357, 71973, 107702]",9.125,7.875,-1.25,1.25,0.13698630121974104,False,"{'source_prompt': 'Which particle has negative electric charge? Answer:', 'target_prompt': 'The options are electron, neutron, and proton. Which particle has positive electric charge? Answer:', 'source_correct': ' electron', 'target_correct': ' proton', 'target_incorrect': ' neutron', 'selected_by_diff': True, 'candidate_pool_size': 5, 'source_margin': 6.25, 'target_margin': 9.125, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,3,15,"[127839, 150216, 38259]",8.875,8.25,-0.625,0.625,0.07042253513191826,False,"{'source_prompt': 'Consider these particles: the proton, the electron, the neutron. Among them, which one has positive ', 'target_prompt': 'Which particle has positive electric charge — the electron, the proton, or the neutron? Answer:', 'source_correct': ' proton', 'target_correct': ' proton', 'target_incorrect': ' neutron', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 9.75, 'target_margin': 8.875, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
