experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index,meta.prompt,meta.correct_token,meta.incorrect_token,meta.mode,meta.source_prompt,meta.target_prompt,meta.source_correct,meta.target_correct,meta.target_incorrect,meta.selected_by_diff,meta.candidate_pool_size,meta.source_margin,meta.target_margin,meta.source_number,meta.target_number,meta.source_orig_idx,meta.target_orig_idx,meta.concept_index,meta.template_idx,meta.behaviour,meta.coefficient,meta.n_features,behaviour,split,model_size,graph_n_prompts,run_id,prep_timestamp,in_common_prompt_set,in_common_layer_set
ablation_zero,0,15,"[127839, 38259]",12.125,12.3125,0.1875,0.1875,0.0154639175130194,False,graph,,True,,-1,"The options are proton, neutron, and electron. Which particle has negative electric charge? Answer:", electron, proton,zero,,,,,,,,,,,,,,,,,,,physics_particle_candidate_selection,train,4b,311,20260505-113154_physics_particle_candidate_selection_train_n311,2026-05-05T11:31:54.274077,True,True
ablation_zero,0,16,[75293],12.125,12.125,0.0,0.0,0.0,False,graph,,True,,-1,"The options are proton, neutron, and electron. Which particle has negative electric charge? Answer:", electron, proton,zero,,,,,,,,,,,,,,,,,,,physics_particle_candidate_selection,train,4b,311,20260505-113154_physics_particle_candidate_selection_train_n311,2026-05-05T11:31:54.274077,True,True
ablation_zero,0,17,[108105],12.125,12.0,-0.125,0.125,0.0103092783420129,False,graph,,True,,-1,"The options are proton, neutron, and electron. Which particle has negative electric charge? Answer:", electron, proton,zero,,,,,,,,,,,,,,,,,,,physics_particle_candidate_selection,train,4b,311,20260505-113154_physics_particle_candidate_selection_train_n311,2026-05-05T11:31:54.274077,True,True
ablation_zero,0,18,"[20958, 132539]",12.125,11.6875,-0.4375,0.4375,0.0360824741970453,False,graph,,True,,-1,"The options are proton, neutron, and electron. Which particle has negative electric charge? Answer:", electron, proton,zero,,,,,,,,,,,,,,,,,,,physics_particle_candidate_selection,train,4b,311,20260505-113154_physics_particle_candidate_selection_train_n311,2026-05-05T11:31:54.274077,True,True
ablation_zero,0,19,[54110],12.125,11.625,-0.5,0.5,0.0412371133680518,False,graph,,True,,-1,"The options are proton, neutron, and electron. Which particle has negative electric charge? Answer:", electron, proton,zero,,,,,,,,,,,,,,,,,,,physics_particle_candidate_selection,train,4b,311,20260505-113154_physics_particle_candidate_selection_train_n311,2026-05-05T11:31:54.274077,True,True
ablation_zero,0,20,"[112825, 107702]",12.125,12.375,0.25,0.25,0.0206185566840259,False,graph,,True,,-1,"The options are proton, neutron, and electron. Which particle has negative electric charge? Answer:", electron, proton,zero,,,,,,,,,,,,,,,,,,,physics_particle_candidate_selection,train,4b,311,20260505-113154_physics_particle_candidate_selection_train_n311,2026-05-05T11:31:54.274077,True,True
ablation_zero,1,15,"[38259, 127839]",8.6875,8.9375,0.25,0.25,0.0287769783841416,False,graph,,True,,-1,"Consider these particles: the electron, the proton, the neutron. Among them, which one has negative ", electron, proton,zero,,,,,,,,,,,,,,,,,,,physics_particle_candidate_selection,train,4b,311,20260505-113154_physics_particle_candidate_selection_train_n311,2026-05-05T11:31:54.274077,True,True
ablation_zero,1,16,[75293],8.6875,7.4375,-1.25,1.25,0.143884891920708,False,graph,,True,,-1,"Consider these particles: the electron, the proton, the neutron. Among them, which one has negative ", electron, proton,zero,,,,,,,,,,,,,,,,,,,physics_particle_candidate_selection,train,4b,311,20260505-113154_physics_particle_candidate_selection_train_n311,2026-05-05T11:31:54.274077,True,True
ablation_zero,1,17,[108105],8.6875,8.625,-0.0625,0.0625,0.0071942445960354,False,graph,,True,,-1,"Consider these particles: the electron, the proton, the neutron. Among them, which one has negative ", electron, proton,zero,,,,,,,,,,,,,,,,,,,physics_particle_candidate_selection,train,4b,311,20260505-113154_physics_particle_candidate_selection_train_n311,2026-05-05T11:31:54.274077,True,True
ablation_zero,1,18,"[20958, 132539]",8.6875,7.59375,-1.09375,1.09375,0.1258992804306195,False,graph,,True,,-1,"Consider these particles: the electron, the proton, the neutron. Among them, which one has negative ", electron, proton,zero,,,,,,,,,,,,,,,,,,,physics_particle_candidate_selection,train,4b,311,20260505-113154_physics_particle_candidate_selection_train_n311,2026-05-05T11:31:54.274077,True,True
