experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index
ablation_zero,0,10,[59805],5.125,5.1875,0.0625,0.0625,0.012195121927424153,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F59805,-1
ablation_zero,0,10,[126447],5.125,5.1875,0.0625,0.0625,0.012195121927424153,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F126447,-1
ablation_zero,0,10,[68612],5.125,5.125,0.0,0.0,0.0,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F68612,-1
ablation_zero,0,10,[40520],5.125,5.0,-0.125,0.125,0.024390243854848306,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F40520,-1
ablation_zero,0,10,[148569],5.125,5.125,0.0,0.0,0.0,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F148569,-1
ablation_zero,0,10,[104215],5.125,5.0625,-0.0625,0.0625,0.012195121927424153,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F104215,-1
ablation_zero,0,11,[77813],5.125,4.5625,-0.5625,0.5625,0.10975609734681738,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L11_F77813,-1
ablation_zero,0,11,[33438],5.125,4.65625,-0.46875,0.46875,0.09146341445568114,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L11_F33438,-1
ablation_zero,0,11,[59878],5.125,4.59375,-0.53125,0.53125,0.10365853638310529,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L11_F59878,-1
ablation_zero,0,12,[146578],5.125,2.9375,-2.1875,2.1875,0.42682926745984534,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L12_F146578,-1
ablation_zero,0,12,[83869],5.125,3.4375,-1.6875,1.6875,0.3292682920404521,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L12_F83869,-1
ablation_zero,0,12,[71563],5.125,3.5625,-1.5625,1.5625,0.3048780481856038,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L12_F71563,-1
ablation_zero,0,12,[40178],5.125,3.5,-1.625,1.625,0.317073170113028,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L12_F40178,-1
