experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features
ablation_zero,0,10,"[59805, 102028, 68612, 40520, 101190, 148569, 104215]",5.125,5.03125,-0.09375,0.09375,0.01829268289113623,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,0,11,"[22932, 77813, 33438, 59878, 107358]",5.125,4.8125,-0.3125,0.3125,0.06097560963712076,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,0,12,"[146578, 4447, 83869, 115685, 71563]",5.125,3.25,-1.875,1.875,0.36585365782272455,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,0,13,"[136136, 108154, 70603, 72758]",5.125,4.4375,-0.6875,0.6875,0.1341463412016657,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,0,14,[41052],5.125,4.28125,-0.84375,0.84375,0.16463414602022605,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,0,15,"[125632, 39942, 27553]",5.125,5.96875,0.84375,0.84375,0.16463414602022605,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,0,16,[45664],5.125,5.5625,0.4375,0.4375,0.08536585349196907,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,0,17,[151157],5.125,5.75,0.625,0.625,0.12195121927424152,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,0,18,[152973],5.125,5.90625,0.78125,0.78125,0.1524390240928019,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,0,19,[135640],5.125,4.84375,-0.28125,0.28125,0.05487804867340869,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,0,20,"[145235, 89162, 115627]",5.125,4.65625,-0.46875,0.46875,0.09146341445568114,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,0,21,"[45934, 23114]",5.125,5.40625,0.28125,0.28125,0.05487804867340869,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,0,22,"[41906, 78043, 156288, 99330]",5.125,4.65625,-0.46875,0.46875,0.09146341445568114,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,0,23,"[5853, 61192, 90775, 40170, 70485, 23708, 92411, 83865]",5.125,5.5,0.375,0.375,0.07317073156454491,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,0,24,"[60321, 119196, 118673]",5.125,4.28125,-0.84375,0.84375,0.16463414602022605,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,0,25,"[43384, 9878, 19816, 90133]",5.125,4.1875,-0.9375,0.9375,0.18292682891136228,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,1,10,"[68612, 59805, 148569, 101190, 104215, 40520, 102028]",6.65625,6.1875,-0.46875,0.46875,0.07042253510546849,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,1,11,"[22932, 33438, 77813, 59878, 107358]",6.65625,6.46875,-0.1875,0.1875,0.0281690140421874,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,1,12,"[146578, 83869, 4447, 115685, 71563]",6.65625,5.71875,-0.9375,0.9375,0.14084507021093698,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,1,13,"[136136, 70603, 72758, 108154]",6.65625,6.09375,-0.5625,0.5625,0.0845070421265622,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,1,14,[41052],6.65625,6.5,-0.15625,0.15625,0.023474178368489498,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,1,15,"[27553, 39942, 125632]",6.65625,6.78125,0.125,0.125,0.018779342694791597,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,1,16,[45664],6.65625,6.3125,-0.34375,0.34375,0.05164319241067689,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,1,17,[151157],6.65625,7.84375,1.1875,1.1875,0.1784037556005202,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,1,18,[152973],6.65625,6.5,-0.15625,0.15625,0.023474178368489498,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,1,19,[135640],6.65625,7.0,0.34375,0.34375,0.05164319241067689,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,1,20,"[145235, 89162, 115627]",6.65625,6.9375,0.28125,0.28125,0.0422535210632811,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,1,21,"[45934, 23114]",6.65625,7.0,0.34375,0.34375,0.05164319241067689,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,1,22,"[41906, 78043, 99330, 156288]",6.65625,4.65625,-2.0,2.0,0.30046948311666555,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,1,23,"[5853, 40170, 90775, 70485, 61192, 23708, 83865, 92411]",6.65625,5.5,-1.15625,1.15625,0.17370891992682228,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,1,24,"[119196, 60321, 118673]",6.65625,4.71875,-1.9375,1.9375,0.2910798117692698,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,1,25,"[43384, 19816, 9878, 90133]",6.65625,4.625,-2.03125,2.03125,0.3051643187903635,False,"{'prompt': 'The antonym of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,2,10,"[68612, 101190, 102028, 59805, 40520, 104215, 148569]",4.875,5.9375,1.0625,1.0625,0.21794871750164366,False,"{'prompt': '""small"" is the antonym of', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,2,11,"[22932, 107358, 59878, 77813, 33438]",4.875,4.90625,0.03125,0.03125,0.006410256397107166,False,"{'prompt': '""small"" is the antonym of', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,2,12,"[83869, 146578, 115685, 4447, 71563]",4.875,5.28125,0.40625,0.40625,0.08333333316239316,False,"{'prompt': '""small"" is the antonym of', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,2,13,"[136136, 70603, 72758, 108154]",4.875,4.6875,-0.1875,0.1875,0.038461538382643,False,"{'prompt': '""small"" is the antonym of', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,2,14,[41052],4.875,5.625,0.75,0.75,0.153846153530572,False,"{'prompt': '""small"" is the antonym of', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,2,15,"[125632, 39942, 27553]",4.875,5.21875,0.34375,0.34375,0.07051282036817882,False,"{'prompt': '""small"" is the antonym of', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,2,16,[45664],4.875,5.3125,0.4375,0.4375,0.08974358955950033,False,"{'prompt': '""small"" is the antonym of', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,2,17,[151157],4.875,5.3125,0.4375,0.4375,0.08974358955950033,False,"{'prompt': '""small"" is the antonym of', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,2,18,[152973],4.875,5.40625,0.53125,0.53125,0.10897435875082183,False,"{'prompt': '""small"" is the antonym of', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,2,19,[135640],4.875,4.59375,-0.28125,0.28125,0.0576923075739645,False,"{'prompt': '""small"" is the antonym of', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,2,20,"[145235, 89162, 115627]",4.875,4.75,-0.125,0.125,0.025641025588428665,False,"{'prompt': '""small"" is the antonym of', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,2,21,"[45934, 23114]",4.875,5.03125,0.15625,0.15625,0.032051281985535834,False,"{'prompt': '""small"" is the antonym of', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,2,22,"[41906, 78043, 156288, 99330]",4.875,4.96875,0.09375,0.09375,0.0192307691913215,False,"{'prompt': '""small"" is the antonym of', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,2,23,"[90775, 5853, 61192, 40170, 70485, 23708, 92411, 83865]",4.875,4.09375,-0.78125,0.78125,0.16025640992767917,False,"{'prompt': '""small"" is the antonym of', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,2,24,"[60321, 119196, 118673]",4.875,5.03125,0.15625,0.15625,0.032051281985535834,False,"{'prompt': '""small"" is the antonym of', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,2,25,"[43384, 90133, 19816, 9878]",4.875,4.90625,0.03125,0.03125,0.006410256397107166,False,"{'prompt': '""small"" is the antonym of', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,3,10,"[59805, 68612, 102028, 40520, 101190, 104215, 148569]",5.34375,5.875,0.53125,0.53125,0.09941520449232243,False,"{'prompt': 'The opposite of ""fast"" is', 'correct_token': ' slow', 'incorrect_token': ' fast', 'mode': 'zero'}",graph,,True
ablation_zero,3,11,"[22932, 33438, 77813, 107358, 59878]",5.34375,5.03125,-0.3125,0.3125,0.05847953205430731,False,"{'prompt': 'The opposite of ""fast"" is', 'correct_token': ' slow', 'incorrect_token': ' fast', 'mode': 'zero'}",graph,,True
ablation_zero,3,12,"[146578, 4447, 83869, 71563, 115685]",5.34375,4.8125,-0.53125,0.53125,0.09941520449232243,False,"{'prompt': 'The opposite of ""fast"" is', 'correct_token': ' slow', 'incorrect_token': ' fast', 'mode': 'zero'}",graph,,True
ablation_zero,3,13,"[136136, 70603, 72758, 108154]",5.34375,4.5625,-0.78125,0.78125,0.14619883013576826,False,"{'prompt': 'The opposite of ""fast"" is', 'correct_token': ' slow', 'incorrect_token': ' fast', 'mode': 'zero'}",graph,,True
ablation_zero,3,14,[41052],5.34375,4.25,-1.09375,1.09375,0.20467836219007557,False,"{'prompt': 'The opposite of ""fast"" is', 'correct_token': ' slow', 'incorrect_token': ' fast', 'mode': 'zero'}",graph,,True
ablation_zero,3,15,"[125632, 27553, 39942]",5.34375,6.03125,0.6875,0.6875,0.12865497051947608,False,"{'prompt': 'The opposite of ""fast"" is', 'correct_token': ' slow', 'incorrect_token': ' fast', 'mode': 'zero'}",graph,,True
ablation_zero,3,16,[45664],5.34375,6.125,0.78125,0.78125,0.14619883013576826,False,"{'prompt': 'The opposite of ""fast"" is', 'correct_token': ' slow', 'incorrect_token': ' fast', 'mode': 'zero'}",graph,,True
