experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index
patching,0,10,[141643],2.5625,3.40625,0.84375,0.84375,0.3292682913979774,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 2.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L10_F141643,0
patching,0,10,[104215],2.5625,3.125,0.5625,0.5625,0.21951219426531826,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 2.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L10_F104215,0
patching,0,10,[148569],2.5625,3.15625,0.59375,0.59375,0.23170731616894708,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 2.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L10_F148569,0
patching,0,10,[131503],2.5625,3.15625,0.59375,0.59375,0.23170731616894708,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 2.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L10_F131503,0
patching,0,10,[59805],2.5625,2.6875,0.125,0.125,0.04878048761451517,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 2.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L10_F59805,0
patching,0,10,[40520],2.5625,3.09375,0.53125,0.53125,0.20731707236168948,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 2.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L10_F40520,0
patching,0,10,[68612],2.5625,3.15625,0.59375,0.59375,0.23170731616894708,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 2.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L10_F68612,0
patching,0,10,[126447],2.5625,3.21875,0.65625,0.65625,0.25609755997620465,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 2.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L10_F126447,0
patching,0,11,[56459],2.5625,1.875,-0.6875,0.6875,0.26829268187983346,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 2.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L11_F56459,0
patching,0,11,[89663],2.5625,1.9375,-0.625,0.625,0.24390243807257586,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 2.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L11_F89663,0
patching,0,11,[33438],2.5625,1.9375,-0.625,0.625,0.24390243807257586,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 2.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L11_F33438,0
patching,0,11,[77813],2.5625,1.875,-0.6875,0.6875,0.26829268187983346,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 2.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L11_F77813,0
patching,0,11,[126143],2.5625,1.9375,-0.625,0.625,0.24390243807257586,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 2.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L11_F126143,0
patching,0,11,[59878],2.5625,1.9375,-0.625,0.625,0.24390243807257586,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 2.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L11_F59878,0
patching,0,12,[28960],2.5625,1.375,-1.1875,1.1875,0.46341463233789415,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 2.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L12_F28960,0
