prompt,correct_answer,incorrect_answer,correct_log_prob,incorrect_log_prob,correct_token_len,incorrect_token_len,logprob_diff,logprob_diff_normalized,success,generated,score_method,success_metric,threshold,threshold_metric,prompt_id,behaviour,behaviour_type,physics_concept,concept_index,template_idx,difficulty,answer_format,surface_family,keyword_free,level,level_label,group_id,level_group,cue_type,cue_set,relation_type,concept_route,wording_variant,test_type,abstraction_level,inference_steps,has_alpha_keyword,has_beta_keyword,has_helium_ref,has_electron_ref,has_isotope,keyword_type,semantic_equivalence_group,ic_concept_group,contrastive_pair_id,contrastive_role,is_anchor,is_kw_variant,is_auxiliary,prompt_format,evidence_completeness,is_uniquely_determining,notes
A nucleus undergoes a decay process. The emitted particle carries a charge of +2e. Is the decay type alpha or beta?, alpha, beta,-16.486433029174805,-17.963991165161133,1,1,1.4775581359863281,1.4775581359863281,True,"Also, what is the",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A1-v01,physics_decay_type_probe,latent_state_probing,alpha_decay,0,1,easy,x_or_y,L1-A1,True,1.0,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,1,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A1,alpha,,,False,False,False,emission,single,True,
A nucleus undergoes a decay process. The particle released has an electric charge of positive 2 elementary units. Is the decay type alpha or beta?, alpha, beta,-16.631938934326172,-17.39295196533203,1,1,0.7610130310058594,0.7610130310058594,True,"Also, what is the",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A1-v02,physics_decay_type_probe,latent_state_probing,alpha_decay,0,2,easy,x_or_y,L1-A1,True,1.0,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,2,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A1,alpha,,,False,False,False,emission,single,True,
A nucleus undergoes a decay process. The emitted particle is doubly positively charged. Is the decay type alpha or beta?, alpha, beta,-16.216825485229492,-17.352020263671875,1,1,1.1351947784423828,1.1351947784423828,True,"Also, what is the",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A1-v03,physics_decay_type_probe,latent_state_probing,alpha_decay,0,3,easy,x_or_y,L1-A1,True,1.0,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,3,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A1,alpha,,,False,False,False,emission,single,True,
A nucleus undergoes a decay process. Two units of positive elementary charge are carried away by the emitted particle. Is the decay type alpha or beta?, alpha, beta,-17.120214462280273,-18.162935256958008,1,1,1.0427207946777344,1.0427207946777344,True,"Also, what is the",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A1-v04,physics_decay_type_probe,latent_state_probing,alpha_decay,0,4,easy,x_or_y,L1-A1,True,1.0,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,4,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A1,alpha,,,False,False,False,emission,single,True,
"A nucleus undergoes a decay process. The emitted particle has an electric charge equal in magnitude to twice that of a proton, and the same sign. Is the decay type alpha or beta?", alpha, beta,-18.324098587036133,-19.650714874267578,1,1,1.3266162872314453,1.3266162872314453,True,"Also, what is the",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A1-v05,physics_decay_type_probe,latent_state_probing,alpha_decay,0,5,easy,x_or_y,L1-A1,True,1.0,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,5,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A1,alpha,,,False,False,False,emission,single,True,
A nucleus undergoes a decay process. The emitted particle has a charge of plus two in units of the elementary charge. Is the decay type alpha or beta?, alpha, beta,-16.385929107666016,-17.694976806640625,1,1,1.3090476989746094,1.3090476989746094,True,"Also, what is the",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A1-v06,physics_decay_type_probe,latent_state_probing,alpha_decay,0,6,easy,x_or_y,L1-A1,True,1.0,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,6,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A1,alpha,,,False,False,False,emission,single,True,
A nucleus undergoes a decay process. The emitted particle carries a positive electric charge of 2e. Is the decay type alpha or beta?, alpha, beta,-17.016515731811523,-18.32215690612793,1,1,1.3056411743164062,1.3056411743164062,True,"Also, what is the",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A1-v07,physics_decay_type_probe,latent_state_probing,alpha_decay,0,7,easy,x_or_y,L1-A1,True,1.0,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,7,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A1,alpha,,,False,False,False,emission,single,True,
A nucleus undergoes a decay process. A doubly positively charged particle is emitted. Is the decay type alpha or beta?, alpha, beta,-14.531718254089355,-15.921592712402344,1,1,1.3898744583129883,1.3898744583129883,True,"Explain.

We are given",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A1-v08,physics_decay_type_probe,latent_state_probing,alpha_decay,0,8,easy,x_or_y,L1-A1,True,1.0,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,8,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A1,alpha,,,False,False,False,emission,single,True,
A nucleus undergoes a decay process. The emitted particle's electric charge is +2e. Is the decay type alpha or beta?, alpha, beta,-16.401594161987305,-17.819408416748047,1,1,1.4178142547607422,1.4178142547607422,True,"Also, what is the",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A1-v09,physics_decay_type_probe,latent_state_probing,alpha_decay,0,9,easy,x_or_y,L1-A1,True,1.0,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,9,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A1,alpha,,,False,False,False,emission,single,True,
"A nucleus undergoes a decay process. The emitted particle bears a charge of twice the proton charge, positive. Is the decay type alpha or beta?", alpha, beta,-16.756629943847656,-18.10826301574707,1,1,1.351633071899414,1.351633071899414,True,"Also, what is the",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,L1-A1-v10,physics_decay_type_probe,latent_state_probing,alpha_decay,0,10,easy,x_or_y,L1-A1,True,1.0,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,10,"['SE', 'IC']",1,1,False,False,False,False,False,,L1-A1,alpha,,,False,False,False,emission,single,True,
