experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index,meta.prompt,meta.correct_token,meta.incorrect_token,meta.mode,behaviour,split,model_size,graph_n_prompts,run_id,prep_timestamp,in_common_prompt_set,in_common_layer_set
ablation_zero,0,10,[128064],1.625,1.1875,-0.4375,0.4375,0.2692307675739645,False,graph,,True,L10_F128064,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,10,[97799],1.625,1.25,-0.375,0.375,0.2307692293491124,False,graph,,True,L10_F97799,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,10,[35580],1.625,1.3125,-0.3125,0.3125,0.1923076911242603,False,graph,,True,L10_F35580,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,11,[151375],1.625,2.0625,0.4375,0.4375,0.2692307675739645,False,graph,,True,L11_F151375,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,11,[35425],1.625,2.0,0.375,0.375,0.2307692293491124,False,graph,,True,L11_F35425,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,11,[114815],1.625,2.125,0.5,0.5,0.3076923057988165,False,graph,,True,L11_F114815,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,12,[2451],1.625,1.4375,-0.1875,0.1875,0.1153846146745562,False,graph,,True,L12_F2451,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,13,[57499],1.625,1.3125,-0.3125,0.3125,0.1923076911242603,False,graph,,True,L13_F57499,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,14,[140141],1.625,1.6875,0.0625,0.0625,0.038461538224852,False,graph,,True,L14_F140141,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,14,[24749],1.625,1.6875,0.0625,0.0625,0.038461538224852,False,graph,,True,L14_F24749,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,15,[15507],1.625,1.625,0.0,0.0,0.0,False,graph,,True,L15_F15507,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,16,[46637],1.625,2.0,0.375,0.375,0.2307692293491124,False,graph,,True,L16_F46637,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,16,[14097],1.625,2.0,0.375,0.375,0.2307692293491124,False,graph,,True,L16_F14097,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,16,[82587],1.625,1.875,0.25,0.25,0.1538461528994082,False,graph,,True,L16_F82587,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,17,[6720],1.625,1.5,-0.125,0.125,0.0769230764497041,False,graph,,True,L17_F6720,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,17,[153539],1.625,1.5625,-0.0625,0.0625,0.038461538224852,False,graph,,True,L17_F153539,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,18,[100148],1.625,2.0625,0.4375,0.4375,0.2692307675739645,False,graph,,True,L18_F100148,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,19,[94584],1.625,1.5,-0.125,0.125,0.0769230764497041,False,graph,,True,L19_F94584,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,19,[44438],1.625,1.4375,-0.1875,0.1875,0.1153846146745562,False,graph,,True,L19_F44438,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,19,[130590],1.625,1.4375,-0.1875,0.1875,0.1153846146745562,False,graph,,True,L19_F130590,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,20,[74959],1.625,2.125,0.5,0.5,0.3076923057988165,False,graph,,True,L20_F74959,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,20,[93472],1.625,2.1875,0.5625,0.5625,0.3461538440236686,False,graph,,True,L20_F93472,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,21,[101234],1.625,1.875,0.25,0.25,0.1538461528994082,False,graph,,True,L21_F101234,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,22,[133148],1.625,2.0625,0.4375,0.4375,0.2692307675739645,False,graph,,True,L22_F133148,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
ablation_zero,0,22,[110496],1.625,2.375,0.75,0.75,0.4615384586982249,False,graph,,True,L22_F110496,-1,A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?, alpha, beta,zero,physics_decay_type,train,4b,108,20260425-093125_physics_decay_type_train_n108,2026-04-25T09:31:25.069483,True,True
