experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index,meta.prompt,meta.correct_token,meta.incorrect_token,meta.mode,meta.source_prompt,meta.target_prompt,meta.source_correct,meta.target_correct,meta.target_incorrect,meta.selected_by_diff,meta.candidate_pool_size,meta.source_margin,meta.target_margin,meta.source_number,meta.target_number,meta.source_orig_idx,meta.target_orig_idx,meta.concept_index,meta.template_idx,behaviour,split,model_size,graph_n_prompts,run_id,prep_timestamp,in_common_prompt_set,in_common_layer_set
ablation_zero,0,10,[59805],5.125,5.1875,0.0625,0.0625,0.0121951219274241,False,graph,,True,L10_F59805,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits_b1,train,4b,96,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T03:28:32.040762,True,True
ablation_zero,0,10,[25281],5.125,5.03125,-0.09375,0.09375,0.0182926828911362,False,graph,,True,L10_F25281,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits_b1,train,4b,96,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T03:28:32.040762,True,True
ablation_zero,0,10,[68612],5.125,5.125,0.0,0.0,0.0,False,graph,,True,L10_F68612,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits_b1,train,4b,96,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T03:28:32.040762,True,True
ablation_zero,0,10,[101190],5.125,5.0,-0.125,0.125,0.0243902438548483,False,graph,,True,L10_F101190,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits_b1,train,4b,96,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T03:28:32.040762,True,True
ablation_zero,0,10,[104215],5.125,5.0625,-0.0625,0.0625,0.0121951219274241,False,graph,,True,L10_F104215,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits_b1,train,4b,96,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T03:28:32.040762,True,True
ablation_zero,0,11,[22932],5.125,4.75,-0.375,0.375,0.0731707315645449,False,graph,,True,L11_F22932,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits_b1,train,4b,96,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T03:28:32.040762,True,True
ablation_zero,0,11,[123551],5.125,4.5625,-0.5625,0.5625,0.1097560973468173,False,graph,,True,L11_F123551,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits_b1,train,4b,96,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T03:28:32.040762,True,True
ablation_zero,0,11,[59878],5.125,4.59375,-0.53125,0.53125,0.1036585363831052,False,graph,,True,L11_F59878,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits_b1,train,4b,96,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T03:28:32.040762,True,True
ablation_zero,0,12,[4447],5.125,3.5625,-1.5625,1.5625,0.3048780481856038,False,graph,,True,L12_F4447,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits_b1,train,4b,96,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T03:28:32.040762,True,True
ablation_zero,0,12,[83869],5.125,3.4375,-1.6875,1.6875,0.3292682920404521,False,graph,,True,L12_F83869,-1,"The opposite of ""small"" is", large, small,zero,,,,,,,,,,,,,,,,multilingual_circuits_b1,train,4b,96,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T03:28:32.040762,True,True
