experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index,meta.prompt,meta.correct_token,meta.incorrect_token,meta.mode,behaviour,split,model_size,graph_n_prompts,run_id,prep_timestamp,in_common_prompt_set,in_common_layer_set
ablation_zero,0,10,[53921],15.9375,16.625,0.6875,0.6875,0.0431372548748942,False,graph,,True,L10_F53921,-1,"A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch", same, different,zero,physics_gauge_equivalence,train,4b,5,20260409-212106_physics_gauge_equivalence_train_n5,2026-04-09T21:21:06.252267,True,True
ablation_zero,0,10,[19118],15.9375,16.625,0.6875,0.6875,0.0431372548748942,False,graph,,True,L10_F19118,-1,"A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch", same, different,zero,physics_gauge_equivalence,train,4b,5,20260409-212106_physics_gauge_equivalence_train_n5,2026-04-09T21:21:06.252267,True,True
ablation_zero,0,11,[112540],15.9375,16.125,0.1875,0.1875,0.0117647058749711,False,graph,,True,L11_F112540,-1,"A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch", same, different,zero,physics_gauge_equivalence,train,4b,5,20260409-212106_physics_gauge_equivalence_train_n5,2026-04-09T21:21:06.252267,True,True
ablation_zero,0,12,[73956],15.9375,16.125,0.1875,0.1875,0.0117647058749711,False,graph,,True,L12_F73956,-1,"A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch", same, different,zero,physics_gauge_equivalence,train,4b,5,20260409-212106_physics_gauge_equivalence_train_n5,2026-04-09T21:21:06.252267,True,True
ablation_zero,0,12,[39989],15.9375,18.0,2.0625,2.0625,0.1294117646246828,False,graph,,True,L12_F39989,-1,"A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch", same, different,zero,physics_gauge_equivalence,train,4b,5,20260409-212106_physics_gauge_equivalence_train_n5,2026-04-09T21:21:06.252267,True,True
ablation_zero,0,12,[102670],15.9375,19.125,3.1875,3.1875,0.1999999998745097,False,graph,,True,L12_F102670,-1,"A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch", same, different,zero,physics_gauge_equivalence,train,4b,5,20260409-212106_physics_gauge_equivalence_train_n5,2026-04-09T21:21:06.252267,True,True
ablation_zero,0,13,[140686],15.9375,16.25,0.3125,0.3125,0.0196078431249519,False,graph,,True,L13_F140686,-1,"A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch", same, different,zero,physics_gauge_equivalence,train,4b,5,20260409-212106_physics_gauge_equivalence_train_n5,2026-04-09T21:21:06.252267,True,True
ablation_zero,0,14,[96297],15.9375,0.9375,-15.0,15.0,0.9411764699976932,False,graph,,True,L14_F96297,-1,"A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch", same, different,zero,physics_gauge_equivalence,train,4b,5,20260409-212106_physics_gauge_equivalence_train_n5,2026-04-09T21:21:06.252267,True,True
ablation_zero,0,14,[77869],15.9375,2.25,-13.6875,13.6875,0.858823528872895,False,graph,,True,L14_F77869,-1,"A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch", same, different,zero,physics_gauge_equivalence,train,4b,5,20260409-212106_physics_gauge_equivalence_train_n5,2026-04-09T21:21:06.252267,True,True
ablation_zero,0,14,[32925],15.9375,2.4375,-13.5,13.5,0.8470588229979238,False,graph,,True,L14_F32925,-1,"A gauge transformation leaves all physical observables — electric field, magnetic field, force on ch", same, different,zero,physics_gauge_equivalence,train,4b,5,20260409-212106_physics_gauge_equivalence_train_n5,2026-04-09T21:21:06.252267,True,True
