orig_idx,prompt,margin,correct_token,incorrect_token,number,subject
0,The dogs,2.96875, sleep, sleeps,plural,dogs
69,The dog,0.5, sits, sit,singular,dog
58,The phone,1.90625, walks, walk,singular,phone
1,The flowers,2.734375, think, thinks,plural,flowers
25,The chair,1.4375, writes, write,singular,chair
74,The dogs,2.78125, stand, stands,plural,dogs
30,The car,2.53125, knows, know,singular,car
54,The flowers,2.734375, think, thinks,plural,flowers
75,The computer,1.75, stands, stand,singular,computer
66,The chair,1.375, walks, walk,singular,chair
38,The tree,2.25, plays, play,singular,tree
11,The books,2.53125, know, knows,plural,books
28,The flower,1.9375, knows, know,singular,flower
77,The flower,0.625, sleeps, sleep,singular,flower
56,The artists,2.78125, play, plays,plural,artists
32,The tree,2.8125, stands, stand,singular,tree
19,The phone,1.875, plays, play,singular,phone
29,The chair,2.5625, plays, play,singular,chair
47,The doctor,2.75, works, work,singular,doctor
6,The scientist,0.25, sleeps, sleep,singular,scientist
