experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index
ablation_zero,0,10,[128064],1.625,1.1875,-0.4375,0.4375,0.2692307675739645,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L10_F128064,-1
ablation_zero,0,10,[35580],1.625,1.3125,-0.3125,0.3125,0.19230769112426038,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L10_F35580,-1
ablation_zero,0,10,[83063],1.625,1.3125,-0.3125,0.3125,0.19230769112426038,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L10_F83063,-1
ablation_zero,0,10,[80002],1.625,1.3125,-0.3125,0.3125,0.19230769112426038,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L10_F80002,-1
ablation_zero,0,11,[35425],1.625,2.0,0.375,0.375,0.23076922934911245,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L11_F35425,-1
ablation_zero,0,11,[144890],1.625,2.0625,0.4375,0.4375,0.2692307675739645,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L11_F144890,-1
ablation_zero,0,12,[2451],1.625,1.4375,-0.1875,0.1875,0.11538461467455623,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L12_F2451,-1
ablation_zero,0,13,[45942],1.625,1.375,-0.25,0.25,0.15384615289940828,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L13_F45942,-1
ablation_zero,0,13,[57499],1.625,1.3125,-0.3125,0.3125,0.19230769112426038,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L13_F57499,-1
ablation_zero,0,14,[140141],1.625,1.6875,0.0625,0.0625,0.03846153822485207,False,"{'prompt': 'A nucleus emits a particle with charge +2e and mass number 4. Is the decay type alpha or beta?', 'correct_token': ' alpha', 'incorrect_token': ' beta', 'mode': 'zero'}",graph,,True,L14_F140141,-1
