experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index
patching,0,10,[104215],5.5,5.875,0.375,0.375,0.06818181805785124,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de petit est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 5.5, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L10_F104215,0
patching,0,10,[59805],5.5,5.6875,0.1875,0.1875,0.03409090902892562,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de petit est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 5.5, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L10_F59805,0
patching,0,10,[101190],5.5,5.875,0.375,0.375,0.06818181805785124,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de petit est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 5.5, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L10_F101190,0
patching,0,10,[25281],5.5,5.9375,0.4375,0.4375,0.07954545440082644,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de petit est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 5.5, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L10_F25281,0
patching,0,10,[68612],5.5,5.875,0.375,0.375,0.06818181805785124,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de petit est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 5.5, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L10_F68612,0
patching,0,11,[89663],5.5,5.5,0.0,0.0,0.0,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de petit est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 5.5, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L11_F89663,0
patching,0,11,[123551],5.5,5.5,0.0,0.0,0.0,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de petit est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 5.5, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L11_F123551,0
patching,0,11,[155466],5.5,5.4375,-0.0625,0.0625,0.011363636342975207,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de petit est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 5.5, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L11_F155466,0
patching,0,11,[59878],5.5,5.5,0.0,0.0,0.0,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de petit est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 5.5, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L11_F59878,0
patching,0,11,[22932],5.5,5.5,0.0,0.0,0.0,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de petit est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 5.5, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L11_F22932,0
patching,0,12,[22710],5.5,5.875,0.375,0.375,0.06818181805785124,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de petit est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 5.5, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L12_F22710,0
patching,0,12,[71563],5.5,5.875,0.375,0.375,0.06818181805785124,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de petit est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 5.5, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L12_F71563,0
patching,0,12,[4447],5.5,6.0,0.5,0.5,0.09090909074380166,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de petit est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 5.5, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L12_F4447,0
patching,0,12,[83869],5.5,5.875,0.375,0.375,0.06818181805785124,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de petit est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 5.5, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L12_F83869,0
patching,0,13,[72758],5.5,5.5625,0.0625,0.0625,0.011363636342975207,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de petit est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 5.5, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L13_F72758,0
patching,0,13,[136136],5.5,5.5,0.0,0.0,0.0,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de petit est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 5.5, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L13_F136136,0
patching,0,13,[50574],5.5,5.5,0.0,0.0,0.0,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de petit est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 5.5, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L13_F50574,0
patching,0,13,[70603],5.5,5.625,0.125,0.125,0.022727272685950414,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de petit est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 5.5, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L13_F70603,0
patching,0,14,[111183],5.5,6.25,0.75,0.75,0.13636363611570249,False,"{'source_prompt': 'The opposite of ""small"" is', 'target_prompt': 'Le contraire de petit est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': False, 'candidate_pool_size': 0, 'source_margin': 5.125, 'target_margin': 5.5, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': 0, 'template_idx': 0}",graph,,True,L14_F111183,0
