experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index
ablation_zero,0,10,[59805],5.125,5.1875,0.0625,0.0625,0.012195121927424153,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F59805,-1
ablation_zero,0,10,[79308],5.125,4.9375,-0.1875,0.1875,0.03658536578227246,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F79308,-1
ablation_zero,0,10,[102028],5.125,5.15625,0.03125,0.03125,0.006097560963712076,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F102028,-1
ablation_zero,0,10,[68612],5.125,5.125,0.0,0.0,0.0,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F68612,-1
ablation_zero,0,10,[143891],5.125,5.125,0.0,0.0,0.0,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F143891,-1
ablation_zero,0,10,[40520],5.125,5.0,-0.125,0.125,0.024390243854848306,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F40520,-1
ablation_zero,0,10,[101190],5.125,5.0,-0.125,0.125,0.024390243854848306,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F101190,-1
ablation_zero,0,10,[148569],5.125,5.125,0.0,0.0,0.0,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F148569,-1
ablation_zero,0,10,[104215],5.125,5.0625,-0.0625,0.0625,0.012195121927424153,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F104215,-1
ablation_zero,0,10,[135728],5.125,5.125,0.0,0.0,0.0,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L10_F135728,-1
ablation_zero,0,11,[148703],5.125,4.71875,-0.40625,0.40625,0.079268292528257,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L11_F148703,-1
ablation_zero,0,11,[77813],5.125,4.5625,-0.5625,0.5625,0.10975609734681738,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L11_F77813,-1
ablation_zero,0,11,[33438],5.125,4.65625,-0.46875,0.46875,0.09146341445568114,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L11_F33438,-1
ablation_zero,0,11,[59878],5.125,4.59375,-0.53125,0.53125,0.10365853638310529,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L11_F59878,-1
ablation_zero,0,11,[107358],5.125,4.65625,-0.46875,0.46875,0.09146341445568114,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L11_F107358,-1
ablation_zero,0,12,[146578],5.125,2.9375,-2.1875,2.1875,0.42682926745984534,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L12_F146578,-1
ablation_zero,0,12,[83869],5.125,3.4375,-1.6875,1.6875,0.3292682920404521,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L12_F83869,-1
ablation_zero,0,12,[115685],5.125,3.5,-1.625,1.625,0.317073170113028,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L12_F115685,-1
ablation_zero,0,12,[71563],5.125,3.5625,-1.5625,1.5625,0.3048780481856038,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L12_F71563,-1
ablation_zero,0,13,[108154],5.125,4.53125,-0.59375,0.59375,0.11585365831052945,False,"{'prompt': 'The opposite of ""small"" is', 'correct_token': ' large', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True,L13_F108154,-1
