experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index
patching,1,15,"[150216, 45839, 130314]",10.375,10.625,0.25,0.25,0.02409638551894324,False,"{'source_prompt': 'The options are the photon, the proton, and the neutron. Which is massless (has zero rest mass)? Ans', 'target_prompt': 'Given the particles the electron, the proton, and the neutron, which has negative electric charge? A', 'source_correct': ' photon', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 6.90625, 'target_margin': 10.375, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,1,16,"[45664, 136591, 126692]",10.375,10.375,0.0,0.0,0.0,False,"{'source_prompt': 'The options are the photon, the proton, and the neutron. Which is massless (has zero rest mass)? Ans', 'target_prompt': 'Given the particles the electron, the proton, and the neutron, which has negative electric charge? A', 'source_correct': ' photon', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 6.90625, 'target_margin': 10.375, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,1,17,"[111317, 42201, 39571]",10.375,10.4375,0.0625,0.0625,0.00602409637973581,False,"{'source_prompt': 'The options are the photon, the proton, and the neutron. Which is massless (has zero rest mass)? Ans', 'target_prompt': 'Given the particles the electron, the proton, and the neutron, which has negative electric charge? A', 'source_correct': ' photon', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 6.90625, 'target_margin': 10.375, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,1,18,"[160254, 149556, 48134]",10.375,10.5625,0.1875,0.1875,0.018072289139207432,False,"{'source_prompt': 'The options are the photon, the proton, and the neutron. Which is massless (has zero rest mass)? Ans', 'target_prompt': 'Given the particles the electron, the proton, and the neutron, which has negative electric charge? A', 'source_correct': ' photon', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 6.90625, 'target_margin': 10.375, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,1,19,"[126231, 81443, 25077]",10.375,8.5625,-1.8125,1.8125,0.1746987950123385,False,"{'source_prompt': 'The options are the photon, the proton, and the neutron. Which is massless (has zero rest mass)? Ans', 'target_prompt': 'Given the particles the electron, the proton, and the neutron, which has negative electric charge? A', 'source_correct': ' photon', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 6.90625, 'target_margin': 10.375, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,1,20,"[92769, 73876, 101109]",10.375,9.125,-1.25,1.25,0.12048192759471621,False,"{'source_prompt': 'The options are the photon, the proton, and the neutron. Which is massless (has zero rest mass)? Ans', 'target_prompt': 'Given the particles the electron, the proton, and the neutron, which has negative electric charge? A', 'source_correct': ' photon', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 6.90625, 'target_margin': 10.375, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,3,15,"[45839, 130314, 150216]",2.75,4.25,1.5,1.5,0.5454545434710744,False,"{'source_prompt': 'Some particles carry zero net electric charge despite containing charged constituents. Among the neu', 'target_prompt': 'Consider these particles: the neutron, the proton, and the electron. Among them, which one has no el', 'source_correct': ' neutron', 'target_correct': ' neutron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 4.8125, 'target_margin': 2.75, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,3,16,"[136591, 126692, 45664]",2.75,2.875,0.125,0.125,0.0454545452892562,False,"{'source_prompt': 'Some particles carry zero net electric charge despite containing charged constituents. Among the neu', 'target_prompt': 'Consider these particles: the neutron, the proton, and the electron. Among them, which one has no el', 'source_correct': ' neutron', 'target_correct': ' neutron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 4.8125, 'target_margin': 2.75, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,3,17,"[111317, 42201, 39571]",2.75,3.234375,0.484375,0.484375,0.17613636299586777,False,"{'source_prompt': 'Some particles carry zero net electric charge despite containing charged constituents. Among the neu', 'target_prompt': 'Consider these particles: the neutron, the proton, and the electron. Among them, which one has no el', 'source_correct': ' neutron', 'target_correct': ' neutron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 4.8125, 'target_margin': 2.75, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,3,18,"[48134, 160254, 149556]",2.75,2.734375,-0.015625,0.015625,0.005681818161157025,False,"{'source_prompt': 'Some particles carry zero net electric charge despite containing charged constituents. Among the neu', 'target_prompt': 'Consider these particles: the neutron, the proton, and the electron. Among them, which one has no el', 'source_correct': ' neutron', 'target_correct': ' neutron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 4.8125, 'target_margin': 2.75, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,3,19,"[25077, 126231, 81443]",2.75,1.625,-1.125,1.125,0.4090909076033058,False,"{'source_prompt': 'Some particles carry zero net electric charge despite containing charged constituents. Among the neu', 'target_prompt': 'Consider these particles: the neutron, the proton, and the electron. Among them, which one has no el', 'source_correct': ' neutron', 'target_correct': ' neutron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 4.8125, 'target_margin': 2.75, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,3,20,"[92769, 73876, 101109]",2.75,1.875,-0.875,0.875,0.3181818170247934,False,"{'source_prompt': 'Some particles carry zero net electric charge despite containing charged constituents. Among the neu', 'target_prompt': 'Consider these particles: the neutron, the proton, and the electron. Among them, which one has no el', 'source_correct': ' neutron', 'target_correct': ' neutron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 4.8125, 'target_margin': 2.75, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,4,15,"[150216, 130314, 45839]",6.9375,8.25,1.3125,1.3125,0.18918918891648406,False,"{'source_prompt': 'Consider these particles: the electron, the neutron, and the photon. Among them, which one is a lept', 'target_prompt': 'Which particle has no electric charge? Answer:', 'source_correct': ' electron', 'target_correct': ' neutron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 9.625, 'target_margin': 6.9375, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,4,16,"[45664, 136591, 126692]",6.9375,5.625,-1.3125,1.3125,0.18918918891648406,False,"{'source_prompt': 'Consider these particles: the electron, the neutron, and the photon. Among them, which one is a lept', 'target_prompt': 'Which particle has no electric charge? Answer:', 'source_correct': ' electron', 'target_correct': ' neutron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 9.625, 'target_margin': 6.9375, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,4,17,"[111317, 42201, 39571]",6.9375,6.875,-0.0625,0.0625,0.00900900899602305,False,"{'source_prompt': 'Consider these particles: the electron, the neutron, and the photon. Among them, which one is a lept', 'target_prompt': 'Which particle has no electric charge? Answer:', 'source_correct': ' electron', 'target_correct': ' neutron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 9.625, 'target_margin': 6.9375, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,4,18,"[160254, 149556, 48134]",6.9375,9.75,2.8125,2.8125,0.40540540482103726,False,"{'source_prompt': 'Consider these particles: the electron, the neutron, and the photon. Among them, which one is a lept', 'target_prompt': 'Which particle has no electric charge? Answer:', 'source_correct': ' electron', 'target_correct': ' neutron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 9.625, 'target_margin': 6.9375, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,4,19,"[126231, 81443, 25077]",6.9375,5.75,-1.1875,1.1875,0.17117117092443795,False,"{'source_prompt': 'Consider these particles: the electron, the neutron, and the photon. Among them, which one is a lept', 'target_prompt': 'Which particle has no electric charge? Answer:', 'source_correct': ' electron', 'target_correct': ' neutron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 9.625, 'target_margin': 6.9375, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,4,20,"[92769, 73876, 101109]",6.9375,4.0625,-2.875,2.875,0.4144144138170603,False,"{'source_prompt': 'Consider these particles: the electron, the neutron, and the photon. Among them, which one is a lept', 'target_prompt': 'Which particle has no electric charge? Answer:', 'source_correct': ' electron', 'target_correct': ' neutron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 9.625, 'target_margin': 6.9375, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,8,15,"[45839, 150216, 130314]",7.96875,7.15625,-0.8125,0.8125,0.1019607841857747,False,"{'source_prompt': 'electron, proton, or neutron — which has the smallest mass? Answer:', 'target_prompt': 'The options are the electron, the proton, and the neutron. Which is a lepton? Answer:', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 0.25, 'target_margin': 7.96875, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,8,16,"[136591, 45664, 126692]",7.96875,6.375,-1.59375,1.59375,0.1999999997490196,False,"{'source_prompt': 'electron, proton, or neutron — which has the smallest mass? Answer:', 'target_prompt': 'The options are the electron, the proton, and the neutron. Which is a lepton? Answer:', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 0.25, 'target_margin': 7.96875, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,8,17,"[111317, 42201, 39571]",7.96875,9.1875,1.21875,1.21875,0.15294117627866205,False,"{'source_prompt': 'electron, proton, or neutron — which has the smallest mass? Answer:', 'target_prompt': 'The options are the electron, the proton, and the neutron. Which is a lepton? Answer:', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 0.25, 'target_margin': 7.96875, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,8,18,"[160254, 48134, 149556]",7.96875,7.46875,-0.5,0.5,0.06274509796047674,False,"{'source_prompt': 'electron, proton, or neutron — which has the smallest mass? Answer:', 'target_prompt': 'The options are the electron, the proton, and the neutron. Which is a lepton? Answer:', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 0.25, 'target_margin': 7.96875, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,8,19,"[81443, 126231, 25077]",7.96875,4.9375,-3.03125,3.03125,0.38039215638539026,False,"{'source_prompt': 'electron, proton, or neutron — which has the smallest mass? Answer:', 'target_prompt': 'The options are the electron, the proton, and the neutron. Which is a lepton? Answer:', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 0.25, 'target_margin': 7.96875, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
patching,8,20,"[73876, 92769, 101109]",7.96875,6.0,-1.96875,1.96875,0.24705882321937717,False,"{'source_prompt': 'electron, proton, or neutron — which has the smallest mass? Answer:', 'target_prompt': 'The options are the electron, the proton, and the neutron. Which is a lepton? Answer:', 'source_correct': ' electron', 'target_correct': ' electron', 'target_incorrect': ' proton', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 0.25, 'target_margin': 7.96875, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1, 'concept_index': -1, 'template_idx': -1}",graph,,True,,-1
