experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index
ablation_zero,2,15,"[45839, 130314, 150216]",6.90625,7.3125,0.40625,0.40625,0.058823529326590365,False,"{'prompt': 'The options are the photon, the proton, and the neutron. Which is massless (has zero rest mass)? Ans', 'correct_token': ' photon', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,2,16,"[126692, 45664]",6.90625,6.6875,-0.21875,0.21875,0.031674208098933274,False,"{'prompt': 'The options are the photon, the proton, and the neutron. Which is massless (has zero rest mass)? Ans', 'correct_token': ' photon', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,2,17,"[111317, 39571, 42201]",6.90625,7.84375,0.9375,0.9375,0.13574660613828546,False,"{'prompt': 'The options are the photon, the proton, and the neutron. Which is massless (has zero rest mass)? Ans', 'correct_token': ' photon', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,2,18,"[48134, 160254, 149556]",6.90625,7.0625,0.15625,0.15625,0.02262443435638091,False,"{'prompt': 'The options are the photon, the proton, and the neutron. Which is massless (has zero rest mass)? Ans', 'correct_token': ' photon', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,2,19,"[81443, 126231, 25077]",6.90625,7.09375,0.1875,0.1875,0.02714932122765709,False,"{'prompt': 'The options are the photon, the proton, and the neutron. Which is massless (has zero rest mass)? Ans', 'correct_token': ' photon', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,2,20,"[73876, 101109, 92769]",6.90625,5.6875,-1.21875,1.21875,0.1764705879797711,False,"{'prompt': 'The options are the photon, the proton, and the neutron. Which is massless (has zero rest mass)? Ans', 'correct_token': ' photon', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,3,15,"[45839, 130314, 150216]",10.375,11.1875,0.8125,0.8125,0.07831325293656553,False,"{'prompt': 'Given the particles the electron, the proton, and the neutron, which has negative electric charge? A', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,3,16,"[126692, 45664]",10.375,10.5,0.125,0.125,0.01204819275947162,False,"{'prompt': 'Given the particles the electron, the proton, and the neutron, which has negative electric charge? A', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,3,17,"[111317, 39571, 42201]",10.375,10.5625,0.1875,0.1875,0.018072289139207432,False,"{'prompt': 'Given the particles the electron, the proton, and the neutron, which has negative electric charge? A', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,3,18,"[48134, 160254, 149556]",10.375,10.125,-0.25,0.25,0.02409638551894324,False,"{'prompt': 'Given the particles the electron, the proton, and the neutron, which has negative electric charge? A', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,3,19,"[81443, 25077, 126231]",10.375,9.125,-1.25,1.25,0.12048192759471621,False,"{'prompt': 'Given the particles the electron, the proton, and the neutron, which has negative electric charge? A', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,3,20,"[92769, 73876, 101109]",10.375,8.9375,-1.4375,1.4375,0.13855421673392362,False,"{'prompt': 'Given the particles the electron, the proton, and the neutron, which has negative electric charge? A', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,4,15,"[45839, 130314, 150216]",10.6875,10.75,0.0625,0.0625,0.0058479532109025,False,"{'prompt': 'Identify the lepton from the following: the electron, the proton, and the neutron. Which is it? Answ', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,4,16,"[126692, 45664]",10.6875,10.4375,-0.25,0.25,0.02339181284361,False,"{'prompt': 'Identify the lepton from the following: the electron, the proton, and the neutron. Which is it? Answ', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,4,17,"[111317, 39571, 42201]",10.6875,11.5625,0.875,0.875,0.081871344952635,False,"{'prompt': 'Identify the lepton from the following: the electron, the proton, and the neutron. Which is it? Answ', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,4,18,"[48134, 149556, 160254]",10.6875,10.5,-0.1875,0.1875,0.0175438596327075,False,"{'prompt': 'Identify the lepton from the following: the electron, the proton, and the neutron. Which is it? Answ', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,4,19,"[81443, 126231, 25077]",10.6875,8.375,-2.3125,2.3125,0.21637426880339247,False,"{'prompt': 'Identify the lepton from the following: the electron, the proton, and the neutron. Which is it? Answ', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
