feature_id,layer,ranking_metric,rank,metric_value,community,role_label,prompt_idx,prompt_id,prompt_short,level,group_id,cue_label,latent_state_target,correct_answer,is_anchor,is_kw_variant,is_auxiliary,baseline_sign_diff,sign_correct
L10_F128064,10,abs_effect_size,1,0.875,3,β-discrim,229,L2-BR1-v02,"A nucleus undergoes a decay process. After the decay, Z increases by 1 and A rem",2,L2-BR1,z_plus1_a_unchanged,beta,beta,False,False,False,0.7489938735961914,True
L10_F128064,10,abs_effect_size,2,0.8125,3,β-discrim,81,L1-B2-v08,"A nucleus undergoes a decay process. After this decay, the element moves 1 posit",1,L1-B2,daughter_z_plus1,beta,beta,False,False,False,-0.1432151794433593,False
L10_F128064,10,abs_effect_size,3,0.8125,3,β-discrim,218,L2-AR7-v05,"A nucleus undergoes a decay process. A bound nuclear cluster leaves the nucleus,",2,L2-AR7,narrative_ejection,alpha,alpha,False,False,False,1.1344728469848633,True
L10_F128064,10,abs_effect_size,4,0.8125,3,β-discrim,259,L2-BR4-v04,A nucleus undergoes a decay process. The emitted particle has charge −1e and the,2,L2-BR4,charge_plus_z_change,beta,beta,False,False,False,0.2100200653076172,True
L10_F128064,10,abs_effect_size,5,0.78125,3,β-discrim,339,L3-A1-v06,A nucleus undergoes a decay process. The emitted particle is equivalent to the h,3,L3-A1,helium4_equivalence,alpha,alpha,False,False,False,1.5593786239624023,True
L10_F128064,10,abs_effect_size,6,0.75,3,β-discrim,233,L2-BR1-v06,A nucleus undergoes a decay process. The decay shifts the element one place to t,2,L2-BR1,z_plus1_a_unchanged,beta,beta,False,False,False,0.6579227447509766,True
L10_F128064,10,abs_effect_size,7,0.75,3,β-discrim,267,L2-BR5-v04,A nucleus undergoes a decay process. The particle released carries −1e of charge,2,L2-BR5,charge_plus_a_unchanged,beta,beta,False,False,False,0.8398571014404297,True
L10_F128064,10,abs_effect_size,8,0.75,3,β-discrim,432,AUX-B9-v01,"A nucleus undergoes a decay process. The emitted particle leaves a longer, thinn",AUX,AUX-B9,,beta,beta,False,False,True,-0.1743030548095703,False
L10_F128064,10,abs_effect_size,9,0.6875,3,β-discrim,104,L1-B4-v07,A nucleus undergoes a decay process. An antineutrino is one of the particles pro,1,L1-B4,antineutrino_emitted,beta,beta,False,False,False,0.6475362777709961,True
L10_F128064,10,abs_effect_size,10,0.6875,3,β-discrim,258,L2-BR4-v03,A nucleus undergoes a decay process. A negatively charged particle is emitted an,2,L2-BR4,charge_plus_z_change,beta,beta,False,False,False,0.9925098419189452,True
L10_F35580,10,abs_effect_size,1,0.9375,3,β-discrim,462,AUX-P5-v01,A nucleus undergoes a decay process. The emitted particle contains multiple nucl,AUX,AUX-P5,,alpha,alpha,False,False,True,1.894887924194336,True
L10_F35580,10,abs_effect_size,2,0.75,3,β-discrim,81,L1-B2-v08,"A nucleus undergoes a decay process. After this decay, the element moves 1 posit",1,L1-B2,daughter_z_plus1,beta,beta,False,False,False,-0.1432151794433593,False
L10_F35580,10,abs_effect_size,3,0.75,3,β-discrim,229,L2-BR1-v02,"A nucleus undergoes a decay process. After the decay, Z increases by 1 and A rem",2,L2-BR1,z_plus1_a_unchanged,beta,beta,False,False,False,0.7489938735961914,True
L10_F35580,10,abs_effect_size,4,0.75,3,β-discrim,258,L2-BR4-v03,A nucleus undergoes a decay process. A negatively charged particle is emitted an,2,L2-BR4,charge_plus_z_change,beta,beta,False,False,False,0.9925098419189452,True
L10_F35580,10,abs_effect_size,5,0.75,3,β-discrim,267,L2-BR5-v04,A nucleus undergoes a decay process. The particle released carries −1e of charge,2,L2-BR5,charge_plus_a_unchanged,beta,beta,False,False,False,0.8398571014404297,True
