experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features
ablation_zero,0,10,"[25281, 148569]",8.125,8.625,0.5,0.5,0.061538461462721884,False,"{'prompt': '""open"" is the opposite of', 'correct_token': ' closed', 'incorrect_token': ' open', 'mode': 'zero'}",graph,,True
ablation_zero,0,11,"[59878, 46537, 107914]",8.125,7.25,-0.875,0.875,0.1076923075597633,False,"{'prompt': '""open"" is the opposite of', 'correct_token': ' closed', 'incorrect_token': ' open', 'mode': 'zero'}",graph,,True
ablation_zero,0,12,"[4447, 39488, 40178, 71563]",8.125,7.46875,-0.65625,0.65625,0.08076923066982247,False,"{'prompt': '""open"" is the opposite of', 'correct_token': ' closed', 'incorrect_token': ' open', 'mode': 'zero'}",graph,,True
ablation_zero,0,13,"[72758, 74172, 145452, 54591, 132137]",8.125,7.1875,-0.9375,0.9375,0.11538461524260354,False,"{'prompt': '""open"" is the opposite of', 'correct_token': ' closed', 'incorrect_token': ' open', 'mode': 'zero'}",graph,,True
ablation_zero,0,14,"[57525, 111183, 59886, 106824]",8.125,7.8125,-0.3125,0.3125,0.03846153841420118,False,"{'prompt': '""open"" is the opposite of', 'correct_token': ' closed', 'incorrect_token': ' open', 'mode': 'zero'}",graph,,True
ablation_zero,0,15,"[24958, 28063, 16555]",8.125,8.25,0.125,0.125,0.015384615365680471,False,"{'prompt': '""open"" is the opposite of', 'correct_token': ' closed', 'incorrect_token': ' open', 'mode': 'zero'}",graph,,True
ablation_zero,0,16,[101500],8.125,7.59375,-0.53125,0.53125,0.06538461530414201,False,"{'prompt': '""open"" is the opposite of', 'correct_token': ' closed', 'incorrect_token': ' open', 'mode': 'zero'}",graph,,True
ablation_zero,0,17,"[108538, 124447]",8.125,8.0,-0.125,0.125,0.015384615365680471,False,"{'prompt': '""open"" is the opposite of', 'correct_token': ' closed', 'incorrect_token': ' open', 'mode': 'zero'}",graph,,True
ablation_zero,0,18,"[149556, 106139]",8.125,8.1875,0.0625,0.0625,0.0076923076828402355,False,"{'prompt': '""open"" is the opposite of', 'correct_token': ' closed', 'incorrect_token': ' open', 'mode': 'zero'}",graph,,True
ablation_zero,0,19,"[107296, 135640, 135988, 34170, 124778]",8.125,7.90625,-0.21875,0.21875,0.026923076889940827,False,"{'prompt': '""open"" is the opposite of', 'correct_token': ' closed', 'incorrect_token': ' open', 'mode': 'zero'}",graph,,True
ablation_zero,0,20,"[145235, 8575, 97102]",8.125,8.75,0.625,0.625,0.07692307682840235,False,"{'prompt': '""open"" is the opposite of', 'correct_token': ' closed', 'incorrect_token': ' open', 'mode': 'zero'}",graph,,True
ablation_zero,0,21,"[45934, 75521]",8.125,7.34375,-0.78125,0.78125,0.09615384603550295,False,"{'prompt': '""open"" is the opposite of', 'correct_token': ' closed', 'incorrect_token': ' open', 'mode': 'zero'}",graph,,True
ablation_zero,0,22,[41906],8.125,7.375,-0.75,0.75,0.09230769219408283,False,"{'prompt': '""open"" is the opposite of', 'correct_token': ' closed', 'incorrect_token': ' open', 'mode': 'zero'}",graph,,True
ablation_zero,0,23,"[40170, 83865]",8.125,7.5625,-0.5625,0.5625,0.06923076914556213,False,"{'prompt': '""open"" is the opposite of', 'correct_token': ' closed', 'incorrect_token': ' open', 'mode': 'zero'}",graph,,True
ablation_zero,0,24,"[34943, 49489]",8.125,8.0,-0.125,0.125,0.015384615365680471,False,"{'prompt': '""open"" is the opposite of', 'correct_token': ' closed', 'incorrect_token': ' open', 'mode': 'zero'}",graph,,True
ablation_zero,0,25,"[27813, 121673]",8.125,8.5,0.375,0.375,0.046153846097041415,False,"{'prompt': '""open"" is the opposite of', 'correct_token': ' closed', 'incorrect_token': ' open', 'mode': 'zero'}",graph,,True
ablation_zero,1,10,"[25281, 148569]",9.375,9.1875,-0.1875,0.1875,0.019999999978666666,False,"{'prompt': 'The antonym of ""open"" is', 'correct_token': ' closed', 'incorrect_token': ' open', 'mode': 'zero'}",graph,,True
ablation_zero,1,11,"[59878, 46537, 107914]",9.375,8.9375,-0.4375,0.4375,0.04666666661688888,False,"{'prompt': 'The antonym of ""open"" is', 'correct_token': ' closed', 'incorrect_token': ' open', 'mode': 'zero'}",graph,,True
ablation_zero,1,12,"[4447, 39488, 40178, 71563]",9.375,8.875,-0.5,0.5,0.05333333327644444,False,"{'prompt': 'The antonym of ""open"" is', 'correct_token': ' closed', 'incorrect_token': ' open', 'mode': 'zero'}",graph,,True
ablation_zero,1,13,"[54591, 74172, 72758, 132137, 145452]",9.375,8.625,-0.75,0.75,0.07999999991466666,False,"{'prompt': 'The antonym of ""open"" is', 'correct_token': ' closed', 'incorrect_token': ' open', 'mode': 'zero'}",graph,,True
ablation_zero,1,14,"[57525, 111183, 106824, 59886]",9.375,9.5,0.125,0.125,0.01333333331911111,False,"{'prompt': 'The antonym of ""open"" is', 'correct_token': ' closed', 'incorrect_token': ' open', 'mode': 'zero'}",graph,,True
