experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features
patching,0,10,"[141643, 68612, 59805, 148569, 131503, 101190, 104215, 40520, 102028]",0.5625,0.5,-0.0625,0.0625,0.1111111091358025,False,"{'source_prompt': 'The antonym of ""small"" is', 'target_prompt': 'L\'antonyme de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': True, 'candidate_pool_size': 9, 'source_margin': 6.65625, 'target_margin': 0.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,11,"[89663, 56459, 33438, 22932, 59878, 77813, 107358, 8348]",0.5625,0.25,-0.3125,0.3125,0.5555555456790124,False,"{'source_prompt': 'The antonym of ""small"" is', 'target_prompt': 'L\'antonyme de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': True, 'candidate_pool_size': 8, 'source_margin': 6.65625, 'target_margin': 0.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,12,"[22710, 146578, 83869, 39488, 4447, 115685, 71563]",0.5625,0.375,-0.1875,0.1875,0.3333333274074075,False,"{'source_prompt': 'The antonym of ""small"" is', 'target_prompt': 'L\'antonyme de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': True, 'candidate_pool_size': 7, 'source_margin': 6.65625, 'target_margin': 0.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,13,"[70603, 136136, 5837, 13612, 72758, 108154]",0.5625,0.875,0.3125,0.3125,0.5555555456790124,False,"{'source_prompt': 'The antonym of ""small"" is', 'target_prompt': 'L\'antonyme de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': True, 'candidate_pool_size': 6, 'source_margin': 6.65625, 'target_margin': 0.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,14,[41052],0.5625,0.1875,-0.375,0.375,0.666666654814815,False,"{'source_prompt': 'The antonym of ""small"" is', 'target_prompt': 'L\'antonyme de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': True, 'candidate_pool_size': 1, 'source_margin': 6.65625, 'target_margin': 0.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,15,"[27553, 39942, 125632]",0.5625,1.5,0.9375,0.9375,1.6666666370370373,False,"{'source_prompt': 'The antonym of ""small"" is', 'target_prompt': 'L\'antonyme de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 6.65625, 'target_margin': 0.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,16,[45664],0.5625,0.625,0.0625,0.0625,0.1111111091358025,False,"{'source_prompt': 'The antonym of ""small"" is', 'target_prompt': 'L\'antonyme de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': True, 'candidate_pool_size': 1, 'source_margin': 6.65625, 'target_margin': 0.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,17,"[110833, 151157]",0.5625,1.0625,0.5,0.5,0.88888887308642,False,"{'source_prompt': 'The antonym of ""small"" is', 'target_prompt': 'L\'antonyme de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': True, 'candidate_pool_size': 2, 'source_margin': 6.65625, 'target_margin': 0.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,18,[152973],0.5625,1.25,0.6875,0.6875,1.2222222004938275,False,"{'source_prompt': 'The antonym of ""small"" is', 'target_prompt': 'L\'antonyme de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': True, 'candidate_pool_size': 1, 'source_margin': 6.65625, 'target_margin': 0.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,19,"[90730, 135640, 107296, 21132]",0.5625,1.0625,0.5,0.5,0.88888887308642,False,"{'source_prompt': 'The antonym of ""small"" is', 'target_prompt': 'L\'antonyme de ""petit"" est', 'source_correct': ' large', 'target_correct': ' grand', 'target_incorrect': ' petit', 'selected_by_diff': True, 'candidate_pool_size': 4, 'source_margin': 6.65625, 'target_margin': 0.5625, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
