experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features
ablation_zero,0,10,"[68612, 79430, 101190, 79308]",-2.25,-0.3125,1.9375,1.9375,0.8611111072839507,False,"{'prompt': 'A synonym of ""high"" is', 'correct_token': ' tall', 'incorrect_token': ' high', 'mode': 'zero'}",graph,,True
ablation_zero,0,11,"[148703, 77813, 22932, 59878, 33438]",-2.25,-0.6875,1.5625,1.5625,0.6944444413580247,False,"{'prompt': 'A synonym of ""high"" is', 'correct_token': ' tall', 'incorrect_token': ' high', 'mode': 'zero'}",graph,,True
ablation_zero,0,12,"[83869, 4447, 97987]",-2.25,-2.0625,0.1875,0.1875,0.08333333296296297,False,"{'prompt': 'A synonym of ""high"" is', 'correct_token': ' tall', 'incorrect_token': ' high', 'mode': 'zero'}",graph,,True
ablation_zero,0,13,"[70603, 84047, 117585, 136136, 140003, 46123]",-2.25,-1.6875,0.5625,0.5625,0.2499999988888889,False,"{'prompt': 'A synonym of ""high"" is', 'correct_token': ' tall', 'incorrect_token': ' high', 'mode': 'zero'}",graph,,True
ablation_zero,0,14,"[41052, 111183, 66871, 54906, 28821]",-2.25,-1.9375,0.3125,0.3125,0.13888888827160495,False,"{'prompt': 'A synonym of ""high"" is', 'correct_token': ' tall', 'incorrect_token': ' high', 'mode': 'zero'}",graph,,True
ablation_zero,0,15,"[127839, 24958, 41361]",-2.25,-1.875,0.375,0.375,0.16666666592592594,False,"{'prompt': 'A synonym of ""high"" is', 'correct_token': ' tall', 'incorrect_token': ' high', 'mode': 'zero'}",graph,,True
ablation_zero,0,16,"[88149, 80755]",-2.25,-1.5,0.75,0.75,0.3333333318518519,False,"{'prompt': 'A synonym of ""high"" is', 'correct_token': ' tall', 'incorrect_token': ' high', 'mode': 'zero'}",graph,,True
ablation_zero,0,17,"[151157, 19808]",-2.25,-0.78125,1.46875,1.46875,0.6527777748765432,False,"{'prompt': 'A synonym of ""high"" is', 'correct_token': ' tall', 'incorrect_token': ' high', 'mode': 'zero'}",graph,,True
ablation_zero,0,18,"[152973, 162386, 36517]",-2.25,-1.3125,0.9375,0.9375,0.41666666481481485,False,"{'prompt': 'A synonym of ""high"" is', 'correct_token': ' tall', 'incorrect_token': ' high', 'mode': 'zero'}",graph,,True
ablation_zero,0,19,"[161546, 132248, 73008]",-2.25,-2.625,-0.375,0.375,0.16666666592592594,False,"{'prompt': 'A synonym of ""high"" is', 'correct_token': ' tall', 'incorrect_token': ' high', 'mode': 'zero'}",graph,,True
ablation_zero,0,20,"[16317, 8203, 145235, 41532]",-2.25,-2.9375,-0.6875,0.6875,0.3055555541975309,False,"{'prompt': 'A synonym of ""high"" is', 'correct_token': ' tall', 'incorrect_token': ' high', 'mode': 'zero'}",graph,,True
ablation_zero,0,21,"[27974, 45934, 107804, 105016]",-2.25,-2.25,0.0,0.0,0.0,False,"{'prompt': 'A synonym of ""high"" is', 'correct_token': ' tall', 'incorrect_token': ' high', 'mode': 'zero'}",graph,,True
ablation_zero,0,22,"[41906, 156288, 78043]",-2.25,-2.375,-0.125,0.125,0.05555555530864198,False,"{'prompt': 'A synonym of ""high"" is', 'correct_token': ' tall', 'incorrect_token': ' high', 'mode': 'zero'}",graph,,True
ablation_zero,0,23,"[6889, 83865, 61192, 70485, 40170]",-2.25,-4.28125,-2.03125,2.03125,0.9027777737654321,False,"{'prompt': 'A synonym of ""high"" is', 'correct_token': ' tall', 'incorrect_token': ' high', 'mode': 'zero'}",graph,,True
ablation_zero,0,24,"[35447, 60321, 145590]",-2.25,-3.0625,-0.8125,0.8125,0.36111110950617287,False,"{'prompt': 'A synonym of ""high"" is', 'correct_token': ' tall', 'incorrect_token': ' high', 'mode': 'zero'}",graph,,True
ablation_zero,0,25,"[15948, 19816]",-2.25,-3.34375,-1.09375,1.09375,0.4861111089506173,False,"{'prompt': 'A synonym of ""high"" is', 'correct_token': ' tall', 'incorrect_token': ' high', 'mode': 'zero'}",graph,,True
ablation_zero,1,10,"[79430, 79308, 68612, 101190]",-1.875,-2.1875,-0.3125,0.3125,0.16666666577777778,False,"{'prompt': '""new"" means roughly the same as', 'correct_token': ' fresh', 'incorrect_token': ' new', 'mode': 'zero'}",graph,,True
ablation_zero,1,11,"[148703, 77813, 22932, 59878, 33438]",-1.875,-1.8125,0.0625,0.0625,0.033333333155555554,False,"{'prompt': '""new"" means roughly the same as', 'correct_token': ' fresh', 'incorrect_token': ' new', 'mode': 'zero'}",graph,,True
ablation_zero,1,12,"[4447, 83869, 97987]",-1.875,-1.8125,0.0625,0.0625,0.033333333155555554,False,"{'prompt': '""new"" means roughly the same as', 'correct_token': ' fresh', 'incorrect_token': ' new', 'mode': 'zero'}",graph,,True
ablation_zero,1,13,"[84047, 117585, 46123, 140003, 136136, 70603]",-1.875,-2.1875,-0.3125,0.3125,0.16666666577777778,False,"{'prompt': '""new"" means roughly the same as', 'correct_token': ' fresh', 'incorrect_token': ' new', 'mode': 'zero'}",graph,,True
ablation_zero,1,14,"[41052, 66871, 28821, 54906, 111183]",-1.875,-1.625,0.25,0.25,0.13333333262222222,False,"{'prompt': '""new"" means roughly the same as', 'correct_token': ' fresh', 'incorrect_token': ' new', 'mode': 'zero'}",graph,,True
ablation_zero,1,15,"[127839, 24958, 41361]",-1.875,-1.3125,0.5625,0.5625,0.2999999984,False,"{'prompt': '""new"" means roughly the same as', 'correct_token': ' fresh', 'incorrect_token': ' new', 'mode': 'zero'}",graph,,True
ablation_zero,1,16,"[80755, 88149]",-1.875,-1.8125,0.0625,0.0625,0.033333333155555554,False,"{'prompt': '""new"" means roughly the same as', 'correct_token': ' fresh', 'incorrect_token': ' new', 'mode': 'zero'}",graph,,True
ablation_zero,1,17,"[151157, 19808]",-1.875,-2.25,-0.375,0.375,0.19999999893333334,False,"{'prompt': '""new"" means roughly the same as', 'correct_token': ' fresh', 'incorrect_token': ' new', 'mode': 'zero'}",graph,,True
ablation_zero,1,18,"[152973, 162386, 36517]",-1.875,-1.3125,0.5625,0.5625,0.2999999984,False,"{'prompt': '""new"" means roughly the same as', 'correct_token': ' fresh', 'incorrect_token': ' new', 'mode': 'zero'}",graph,,True
ablation_zero,1,19,"[161546, 132248, 73008]",-1.875,-2.375,-0.5,0.5,0.26666666524444443,False,"{'prompt': '""new"" means roughly the same as', 'correct_token': ' fresh', 'incorrect_token': ' new', 'mode': 'zero'}",graph,,True
ablation_zero,1,20,"[16317, 41532, 8203, 145235]",-1.875,-2.6875,-0.8125,0.8125,0.43333333102222227,False,"{'prompt': '""new"" means roughly the same as', 'correct_token': ' fresh', 'incorrect_token': ' new', 'mode': 'zero'}",graph,,True
ablation_zero,1,21,"[105016, 107804, 45934, 27974]",-1.875,-2.375,-0.5,0.5,0.26666666524444443,False,"{'prompt': '""new"" means roughly the same as', 'correct_token': ' fresh', 'incorrect_token': ' new', 'mode': 'zero'}",graph,,True
ablation_zero,1,22,"[156288, 78043, 41906]",-1.875,-2.9375,-1.0625,1.0625,0.5666666636444445,False,"{'prompt': '""new"" means roughly the same as', 'correct_token': ' fresh', 'incorrect_token': ' new', 'mode': 'zero'}",graph,,True
ablation_zero,1,23,"[40170, 61192, 83865, 70485, 6889]",-1.875,-2.1875,-0.3125,0.3125,0.16666666577777778,False,"{'prompt': '""new"" means roughly the same as', 'correct_token': ' fresh', 'incorrect_token': ' new', 'mode': 'zero'}",graph,,True
ablation_zero,1,24,"[60321, 35447, 145590]",-1.875,-1.875,0.0,0.0,0.0,False,"{'prompt': '""new"" means roughly the same as', 'correct_token': ' fresh', 'incorrect_token': ' new', 'mode': 'zero'}",graph,,True
ablation_zero,1,25,"[15948, 19816]",-1.875,-2.625,-0.75,0.75,0.3999999978666667,False,"{'prompt': '""new"" means roughly the same as', 'correct_token': ' fresh', 'incorrect_token': ' new', 'mode': 'zero'}",graph,,True
ablation_zero,2,10,"[68612, 79308, 101190, 79430]",5.6875,7.96875,2.28125,2.28125,0.40109890039367224,False,"{'prompt': '""hot"" is the antonym of', 'correct_token': ' cold', 'incorrect_token': ' hot', 'mode': 'zero'}",graph,,True
ablation_zero,2,11,"[22932, 148703, 77813, 59878, 33438]",5.6875,5.40625,-0.28125,0.28125,0.04945054936360343,False,"{'prompt': '""hot"" is the antonym of', 'correct_token': ' cold', 'incorrect_token': ' hot', 'mode': 'zero'}",graph,,True
ablation_zero,2,12,"[83869, 97987, 4447]",5.6875,6.1875,0.5,0.5,0.08791208775751722,False,"{'prompt': '""hot"" is the antonym of', 'correct_token': ' cold', 'incorrect_token': ' hot', 'mode': 'zero'}",graph,,True
ablation_zero,2,13,"[136136, 70603, 84047, 140003, 46123, 117585]",5.6875,5.375,-0.3125,0.3125,0.054945054848448256,False,"{'prompt': '""hot"" is the antonym of', 'correct_token': ' cold', 'incorrect_token': ' hot', 'mode': 'zero'}",graph,,True
ablation_zero,2,14,"[28821, 111183, 41052, 54906, 66871]",5.6875,6.28125,0.59375,0.59375,0.10439560421205168,False,"{'prompt': '""hot"" is the antonym of', 'correct_token': ' cold', 'incorrect_token': ' hot', 'mode': 'zero'}",graph,,True
ablation_zero,2,15,"[127839, 41361, 24958]",5.6875,4.5,-1.1875,1.1875,0.20879120842410337,False,"{'prompt': '""hot"" is the antonym of', 'correct_token': ' cold', 'incorrect_token': ' hot', 'mode': 'zero'}",graph,,True
ablation_zero,2,16,"[80755, 88149]",5.6875,5.53125,-0.15625,0.15625,0.027472527424224128,False,"{'prompt': '""hot"" is the antonym of', 'correct_token': ' cold', 'incorrect_token': ' hot', 'mode': 'zero'}",graph,,True
ablation_zero,2,17,"[19808, 151157]",5.6875,5.125,-0.5625,0.5625,0.09890109872720686,False,"{'prompt': '""hot"" is the antonym of', 'correct_token': ' cold', 'incorrect_token': ' hot', 'mode': 'zero'}",graph,,True
ablation_zero,2,18,"[152973, 36517, 162386]",5.6875,5.0,-0.6875,0.6875,0.12087912066658617,False,"{'prompt': '""hot"" is the antonym of', 'correct_token': ' cold', 'incorrect_token': ' hot', 'mode': 'zero'}",graph,,True
ablation_zero,2,19,"[132248, 161546, 73008]",5.6875,5.46875,-0.21875,0.21875,0.03846153839391378,False,"{'prompt': '""hot"" is the antonym of', 'correct_token': ' cold', 'incorrect_token': ' hot', 'mode': 'zero'}",graph,,True
ablation_zero,2,20,"[145235, 8203, 16317, 41532]",5.6875,6.125,0.4375,0.4375,0.07692307678782756,False,"{'prompt': '""hot"" is the antonym of', 'correct_token': ' cold', 'incorrect_token': ' hot', 'mode': 'zero'}",graph,,True
ablation_zero,2,21,"[27974, 105016, 107804, 45934]",5.6875,5.3125,-0.375,0.375,0.0659340658181379,False,"{'prompt': '""hot"" is the antonym of', 'correct_token': ' cold', 'incorrect_token': ' hot', 'mode': 'zero'}",graph,,True
ablation_zero,2,22,"[78043, 41906, 156288]",5.6875,5.3125,-0.375,0.375,0.0659340658181379,False,"{'prompt': '""hot"" is the antonym of', 'correct_token': ' cold', 'incorrect_token': ' hot', 'mode': 'zero'}",graph,,True
ablation_zero,2,23,"[6889, 83865, 40170, 70485, 61192]",5.6875,5.84375,0.15625,0.15625,0.027472527424224128,False,"{'prompt': '""hot"" is the antonym of', 'correct_token': ' cold', 'incorrect_token': ' hot', 'mode': 'zero'}",graph,,True
ablation_zero,2,24,"[35447, 60321, 145590]",5.6875,4.9375,-0.75,0.75,0.1318681316362758,False,"{'prompt': '""hot"" is the antonym of', 'correct_token': ' cold', 'incorrect_token': ' hot', 'mode': 'zero'}",graph,,True
ablation_zero,2,25,"[15948, 19816]",5.6875,5.75,0.0625,0.0625,0.010989010969689652,False,"{'prompt': '""hot"" is the antonym of', 'correct_token': ' cold', 'incorrect_token': ' hot', 'mode': 'zero'}",graph,,True
ablation_zero,3,10,"[79430, 79308, 68612, 101190]",-2.5625,-0.5,2.0625,2.0625,0.8048780456395004,False,"{'prompt': 'A synonym of ""small"" is', 'correct_token': ' tiny', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,3,11,"[148703, 77813, 22932, 59878, 33438]",-2.5625,-1.5625,1.0,1.0,0.3902439009161214,False,"{'prompt': 'A synonym of ""small"" is', 'correct_token': ' tiny', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,3,12,"[83869, 4447, 97987]",-2.5625,-2.15625,0.40625,0.40625,0.1585365847471743,False,"{'prompt': 'A synonym of ""small"" is', 'correct_token': ' tiny', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,3,13,"[70603, 84047, 117585, 136136, 140003, 46123]",-2.5625,0.0,2.5625,2.5625,0.999999996097561,False,"{'prompt': 'A synonym of ""small"" is', 'correct_token': ' tiny', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,3,14,"[41052, 111183, 66871, 54906, 28821]",-2.5625,-2.28125,0.28125,0.28125,0.10975609713265913,False,"{'prompt': 'A synonym of ""small"" is', 'correct_token': ' tiny', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,3,15,"[127839, 24958, 41361]",-2.5625,-2.375,0.1875,0.1875,0.07317073142177276,False,"{'prompt': 'A synonym of ""small"" is', 'correct_token': ' tiny', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,3,16,"[88149, 80755]",-2.5625,-2.09375,0.46875,0.46875,0.1829268285544319,False,"{'prompt': 'A synonym of ""small"" is', 'correct_token': ' tiny', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,3,17,"[151157, 19808]",-2.5625,-1.0625,1.5,1.5,0.5853658513741821,False,"{'prompt': 'A synonym of ""small"" is', 'correct_token': ' tiny', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,3,18,"[152973, 162386, 36517]",-2.5625,-0.8125,1.75,1.75,0.6829268266032124,False,"{'prompt': 'A synonym of ""small"" is', 'correct_token': ' tiny', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,3,19,"[161546, 132248, 73008]",-2.5625,-2.6875,-0.125,0.125,0.04878048761451517,False,"{'prompt': 'A synonym of ""small"" is', 'correct_token': ' tiny', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,3,20,"[16317, 8203, 145235, 41532]",-2.5625,-2.8125,-0.25,0.25,0.09756097522903034,False,"{'prompt': 'A synonym of ""small"" is', 'correct_token': ' tiny', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,3,21,"[27974, 107804, 105016, 45934]",-2.5625,-2.875,-0.3125,0.3125,0.12195121903628793,False,"{'prompt': 'A synonym of ""small"" is', 'correct_token': ' tiny', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,3,22,"[41906, 156288, 78043]",-2.5625,-3.125,-0.5625,0.5625,0.21951219426531826,False,"{'prompt': 'A synonym of ""small"" is', 'correct_token': ' tiny', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,3,23,"[6889, 83865, 61192, 70485, 40170]",-2.5625,-3.125,-0.5625,0.5625,0.21951219426531826,False,"{'prompt': 'A synonym of ""small"" is', 'correct_token': ' tiny', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,3,24,"[35447, 60321, 145590]",-2.5625,-3.25,-0.6875,0.6875,0.26829268187983346,False,"{'prompt': 'A synonym of ""small"" is', 'correct_token': ' tiny', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,3,25,"[15948, 19816]",-2.5625,-3.875,-1.3125,1.3125,0.5121951199524093,False,"{'prompt': 'A synonym of ""small"" is', 'correct_token': ' tiny', 'incorrect_token': ' small', 'mode': 'zero'}",graph,,True
ablation_zero,4,10,"[68612, 79308, 101190, 79430]",1.4375,1.1875,-0.25,0.25,0.17391304226843102,False,"{'prompt': '""facile"" est le contraire de', 'correct_token': ' difficile', 'incorrect_token': ' facile', 'mode': 'zero'}",graph,,True
ablation_zero,4,11,"[22932, 77813, 59878, 148703, 33438]",1.4375,1.5,0.0625,0.0625,0.043478260567107754,False,"{'prompt': '""facile"" est le contraire de', 'correct_token': ' difficile', 'incorrect_token': ' facile', 'mode': 'zero'}",graph,,True
ablation_zero,4,12,"[97987, 83869, 4447]",1.4375,1.125,-0.3125,0.3125,0.21739130283553879,False,"{'prompt': '""facile"" est le contraire de', 'correct_token': ' difficile', 'incorrect_token': ' facile', 'mode': 'zero'}",graph,,True
ablation_zero,4,13,"[136136, 70603, 46123, 117585, 84047, 140003]",1.4375,1.625,0.1875,0.1875,0.13043478170132328,False,"{'prompt': '""facile"" est le contraire de', 'correct_token': ' difficile', 'incorrect_token': ' facile', 'mode': 'zero'}",graph,,True
