experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features
patching,0,10,"[59805, 25281, 148569, 15096]",8.125,8.5,0.375,0.375,0.046153846097041415,False,"{'source_prompt': 'The antonym of ""open"" is', 'target_prompt': '""open"" is the opposite of', 'source_correct': ' closed', 'target_correct': ' closed', 'target_incorrect': ' open', 'selected_by_diff': True, 'candidate_pool_size': 4, 'source_margin': 9.375, 'target_margin': 8.125, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,11,"[46537, 148703, 59878, 107914, 36396]",8.125,7.15625,-0.96875,0.96875,0.11923076908402366,False,"{'source_prompt': 'The antonym of ""open"" is', 'target_prompt': '""open"" is the opposite of', 'source_correct': ' closed', 'target_correct': ' closed', 'target_incorrect': ' open', 'selected_by_diff': True, 'candidate_pool_size': 5, 'source_margin': 9.375, 'target_margin': 8.125, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,12,"[4447, 40178, 39488, 71563, 68142]",8.125,7.28125,-0.84375,0.84375,0.10384615371834319,False,"{'source_prompt': 'The antonym of ""open"" is', 'target_prompt': '""open"" is the opposite of', 'source_correct': ' closed', 'target_correct': ' closed', 'target_incorrect': ' open', 'selected_by_diff': True, 'candidate_pool_size': 5, 'source_margin': 9.375, 'target_margin': 8.125, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,13,"[72758, 54591, 145452, 74172, 132137]",8.125,7.09375,-1.03125,1.03125,0.1269230767668639,False,"{'source_prompt': 'The antonym of ""open"" is', 'target_prompt': '""open"" is the opposite of', 'source_correct': ' closed', 'target_correct': ' closed', 'target_incorrect': ' open', 'selected_by_diff': True, 'candidate_pool_size': 5, 'source_margin': 9.375, 'target_margin': 8.125, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,14,"[57525, 111183, 106824, 114892, 59886]",8.125,7.9375,-0.1875,0.1875,0.023076923048520707,False,"{'source_prompt': 'The antonym of ""open"" is', 'target_prompt': '""open"" is the opposite of', 'source_correct': ' closed', 'target_correct': ' closed', 'target_incorrect': ' open', 'selected_by_diff': True, 'candidate_pool_size': 7, 'source_margin': 9.375, 'target_margin': 8.125, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,15,"[28063, 24958, 16555]",8.125,8.375,0.25,0.25,0.030769230731360942,False,"{'source_prompt': 'The antonym of ""open"" is', 'target_prompt': '""open"" is the opposite of', 'source_correct': ' closed', 'target_correct': ' closed', 'target_incorrect': ' open', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 9.375, 'target_margin': 8.125, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,16,"[101500, 88149]",8.125,7.53125,-0.59375,0.59375,0.07307692298698223,False,"{'source_prompt': 'The antonym of ""open"" is', 'target_prompt': '""open"" is the opposite of', 'source_correct': ' closed', 'target_correct': ' closed', 'target_incorrect': ' open', 'selected_by_diff': True, 'candidate_pool_size': 2, 'source_margin': 9.375, 'target_margin': 8.125, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,17,"[108538, 11599, 124447]",8.125,8.0,-0.125,0.125,0.015384615365680471,False,"{'source_prompt': 'The antonym of ""open"" is', 'target_prompt': '""open"" is the opposite of', 'source_correct': ' closed', 'target_correct': ' closed', 'target_incorrect': ' open', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 9.375, 'target_margin': 8.125, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,18,"[36517, 106139, 149556, 152305]",8.125,8.1875,0.0625,0.0625,0.0076923076828402355,False,"{'source_prompt': 'The antonym of ""open"" is', 'target_prompt': '""open"" is the opposite of', 'source_correct': ' closed', 'target_correct': ' closed', 'target_incorrect': ' open', 'selected_by_diff': True, 'candidate_pool_size': 4, 'source_margin': 9.375, 'target_margin': 8.125, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,19,"[107296, 34170, 135988, 135640, 124778]",8.125,8.125,0.0,0.0,0.0,False,"{'source_prompt': 'The antonym of ""open"" is', 'target_prompt': '""open"" is the opposite of', 'source_correct': ' closed', 'target_correct': ' closed', 'target_incorrect': ' open', 'selected_by_diff': True, 'candidate_pool_size': 6, 'source_margin': 9.375, 'target_margin': 8.125, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
