prompt_idx,prompt_id,prompt_text,prompt_short,level,level_label,group_id,surface_family,cue_type,cue_set,relation_type,concept_route,cue_label,latent_state_target,correct_answer,incorrect_answer,physics_concept,difficulty,inference_steps,wording_variant,semantic_equiv_group,contrastive_pair_id,contrastive_role,is_anchor,is_kw_variant,is_auxiliary,has_alpha_keyword,has_beta_keyword,keyword_free,evidence_completeness,is_uniquely_determining,baseline_sign_diff,sign_correct,hard_correct
0,p0000,"When ultraviolet light hits a zinc plate, negatively charged particles are ejected from the surface in the photoelectric effect. Which particles are released? Answer:","When ultraviolet light hits a zinc plate, negatively charged particles are eject",AUX,auxiliary,?,,,,,,,,electron,proton,,,,,,,,False,False,False,False,False,True,,True,7.8019633293151855,True,True
1,p0001,"When an atom absorbs a photon, one of its negatively charged particles jumps to a higher energy level. Which particle absorbs the energy? Answer:","When an atom absorbs a photon, one of its negatively charged particles jumps to ",AUX,auxiliary,?,,,,,,,,electron,proton,,,,,,,,False,False,False,False,False,True,,True,4.041893005371094,True,True
2,p0002,"Unlike the proton (which adds both charge and mass to the nucleus), which neutral nuclear particle can be added without changing the element? Answer:","Unlike the proton (which adds both charge and mass to the nucleus), which neutra",AUX,auxiliary,?,,,,,,,,neutron,proton,,,,,,,,False,False,False,False,False,True,,True,11.708845376968384,True,True
3,p0003,"In a fission reactor, the chain reaction is initiated by absorption of a slow neutral nuclear particle. What particle is absorbed? Answer:","In a fission reactor, the chain reaction is initiated by absorption of a slow ne",AUX,auxiliary,?,,,,,,,,neutron,proton,,,,,,,,False,False,False,False,False,True,,True,8.420708656311035,True,True
4,p0004,"The r-process in neutron star mergers rapidly adds many neutral particles to nuclei, far from the stability line. What particles are added? Answer:",The r-process in neutron star mergers rapidly adds many neutral particles to nuc,AUX,auxiliary,?,,,,,,,,neutron,proton,,,,,,,,False,False,False,False,False,True,,True,6.5668816566467285,True,True
5,p0005,"In cavity quantum electrodynamics, a single discrete electromagnetic energy packet is trapped between mirrors and coupled to a single atom. What is trapped? Answer:","In cavity quantum electrodynamics, a single discrete electromagnetic energy pack",AUX,auxiliary,?,,,,,,,,photon,electron,,,,,,,,False,False,False,False,False,True,,True,2.307967185974121,True,True
6,p0006,"Which neutral particle, together with protons, forms the atomic nucleus? Answer:","Which neutral particle, together with protons, forms the atomic nucleus? Answer:",AUX,auxiliary,?,,,,,,,,neutron,proton,,,,,,,,False,False,False,False,False,True,,True,7.7687671184539795,True,True
7,p0007,Which particle determines the chemical properties of an atom through its negative charge? Answer:,Which particle determines the chemical properties of an atom through its negativ,AUX,auxiliary,?,,,,,,,,electron,proton,,,,,,,,False,False,False,False,False,True,,True,5.819553852081299,True,True
8,p0008,Synchrotrons accelerate beams of positively charged nuclear particles to nearly the speed of light for collision experiments. What particles are in these beams? Answer:,Synchrotrons accelerate beams of positively charged nuclear particles to nearly ,AUX,auxiliary,?,,,,,,,,proton,neutron,,,,,,,,False,False,False,False,False,True,,True,4.426313877105713,True,True
9,p0009,"During electron capture, a nucleus absorbs an orbital electron and one of its positively charged particles converts to a neutron. What was the positively charged particle? Answer:","During electron capture, a nucleus absorbs an orbital electron and one of its po",AUX,auxiliary,?,,,,,,,,proton,neutron,,,,,,,,False,False,False,False,False,True,,True,2.4067630767822266,True,True
