prompt,correct_answer,incorrect_answer,correct_log_prob,incorrect_log_prob,correct_token_len,incorrect_token_len,logprob_diff,logprob_diff_normalized,success,generated,score_method,success_metric,threshold,threshold_metric,word,antonym,language,concept_index,template_idx,cross_lang_valid
"The opposite of ""small"" is", large, small,-8.737210273742676,-16.32022476196289,1,1,7.583014488220215,7.583014488220215,True,"(　　)
A",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,small,large,en,0,0,True
"The antonym of ""small"" is", large, small,-7.150479793548584,-17.956140518188477,1,1,10.805660724639893,10.805660724639893,True,"""large."" This means",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,small,large,en,0,1,True
"""small"" is the opposite of", large, small,-4.34613561630249,-10.221186637878418,1,1,5.875051021575928,5.875051021575928,True,"what?

The word **",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,small,large,en,0,2,True
"""small"" is the contrary of", large, small,-3.5870206356048584,-9.456899642944336,1,1,5.8698790073394775,5.8698790073394775,True,"what?

The word **",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,small,large,en,0,5,True
"The word opposite to ""small"" is", large, small,-4.521059989929199,-10.936606407165527,1,1,6.415546417236328,6.415546417236328,True,"""large"". What is",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,small,large,en,0,6,True
"""small"" is an antonym of", large, small,-5.085211277008057,-11.970593452453613,1,1,6.885382175445557,6.885382175445557,True,"""large"" and """,teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,small,large,en,0,7,True
Le contraire de petit est, grand, petit,-0.28897711634635925,-7.357107639312744,1,1,7.068130522966385,7.068130522966385,True,"grand.

Translate to English",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,petit,grand,fr,0,0,True
L'antonyme de petit est, grand, petit,-0.707766056060791,-6.544758319854736,1,1,5.836992263793945,5.836992263793945,True,"grand.

Réponse:",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,petit,grand,fr,0,1,True
L'opposé de petit est, grand, petit,-0.31918424367904663,-4.448763370513916,1,1,4.129579126834869,4.129579126834869,True,"grand.

Which language is",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,petit,grand,fr,0,2,True
"En français, le contraire de petit est", grand, petit,-0.2958040237426758,-7.734747409820557,1,1,7.438943386077881,7.438943386077881,True,grand. Cependant,teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,petit,grand,fr,0,5,True
