experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index,meta.prompt,meta.correct_token,meta.incorrect_token,meta.mode,meta.source_prompt,meta.target_prompt,meta.source_correct,meta.target_correct,meta.target_incorrect,meta.selected_by_diff,meta.candidate_pool_size,meta.source_margin,meta.target_margin,meta.source_number,meta.target_number,meta.source_orig_idx,meta.target_orig_idx,meta.concept_index,meta.template_idx,meta.behaviour,meta.coefficient,meta.n_features,behaviour,split,model_size,graph_n_prompts,run_id,prep_timestamp,in_common_prompt_set,in_common_layer_set
ablation_zero,2,15,"[45839, 130314, 150216]",6.90625,7.3125,0.40625,0.40625,0.0588235293265903,False,graph,,True,,-1,"The options are the photon, the proton, and the neutron. Which is massless (has zero rest mass)? Ans", photon, proton,zero,,,,,,,,,,,,,,,,,,,physics_particle_candidate_selection_v2,train,4b,100,20260505-172449_physics_particle_candidate_selection_v2_train_n100,2026-05-05T17:24:49.128562,False,True
ablation_zero,2,16,"[126692, 45664]",6.90625,6.6875,-0.21875,0.21875,0.0316742080989332,False,graph,,True,,-1,"The options are the photon, the proton, and the neutron. Which is massless (has zero rest mass)? Ans", photon, proton,zero,,,,,,,,,,,,,,,,,,,physics_particle_candidate_selection_v2,train,4b,100,20260505-172449_physics_particle_candidate_selection_v2_train_n100,2026-05-05T17:24:49.128562,False,True
ablation_zero,2,17,"[111317, 39571, 42201]",6.90625,7.84375,0.9375,0.9375,0.1357466061382854,False,graph,,True,,-1,"The options are the photon, the proton, and the neutron. Which is massless (has zero rest mass)? Ans", photon, proton,zero,,,,,,,,,,,,,,,,,,,physics_particle_candidate_selection_v2,train,4b,100,20260505-172449_physics_particle_candidate_selection_v2_train_n100,2026-05-05T17:24:49.128562,False,True
ablation_zero,2,18,"[48134, 160254, 149556]",6.90625,7.0625,0.15625,0.15625,0.0226244343563809,False,graph,,True,,-1,"The options are the photon, the proton, and the neutron. Which is massless (has zero rest mass)? Ans", photon, proton,zero,,,,,,,,,,,,,,,,,,,physics_particle_candidate_selection_v2,train,4b,100,20260505-172449_physics_particle_candidate_selection_v2_train_n100,2026-05-05T17:24:49.128562,False,True
ablation_zero,2,19,"[81443, 126231, 25077]",6.90625,7.09375,0.1875,0.1875,0.027149321227657,False,graph,,True,,-1,"The options are the photon, the proton, and the neutron. Which is massless (has zero rest mass)? Ans", photon, proton,zero,,,,,,,,,,,,,,,,,,,physics_particle_candidate_selection_v2,train,4b,100,20260505-172449_physics_particle_candidate_selection_v2_train_n100,2026-05-05T17:24:49.128562,False,True
ablation_zero,2,20,"[73876, 101109, 92769]",6.90625,5.6875,-1.21875,1.21875,0.1764705879797711,False,graph,,True,,-1,"The options are the photon, the proton, and the neutron. Which is massless (has zero rest mass)? Ans", photon, proton,zero,,,,,,,,,,,,,,,,,,,physics_particle_candidate_selection_v2,train,4b,100,20260505-172449_physics_particle_candidate_selection_v2_train_n100,2026-05-05T17:24:49.128562,False,True
ablation_zero,3,15,"[45839, 130314, 150216]",10.375,11.1875,0.8125,0.8125,0.0783132529365655,False,graph,,True,,-1,"Given the particles the electron, the proton, and the neutron, which has negative electric charge? A", electron, proton,zero,,,,,,,,,,,,,,,,,,,physics_particle_candidate_selection_v2,train,4b,100,20260505-172449_physics_particle_candidate_selection_v2_train_n100,2026-05-05T17:24:49.128562,True,True
ablation_zero,3,16,"[126692, 45664]",10.375,10.5,0.125,0.125,0.0120481927594716,False,graph,,True,,-1,"Given the particles the electron, the proton, and the neutron, which has negative electric charge? A", electron, proton,zero,,,,,,,,,,,,,,,,,,,physics_particle_candidate_selection_v2,train,4b,100,20260505-172449_physics_particle_candidate_selection_v2_train_n100,2026-05-05T17:24:49.128562,True,True
ablation_zero,3,17,"[111317, 39571, 42201]",10.375,10.5625,0.1875,0.1875,0.0180722891392074,False,graph,,True,,-1,"Given the particles the electron, the proton, and the neutron, which has negative electric charge? A", electron, proton,zero,,,,,,,,,,,,,,,,,,,physics_particle_candidate_selection_v2,train,4b,100,20260505-172449_physics_particle_candidate_selection_v2_train_n100,2026-05-05T17:24:49.128562,True,True
ablation_zero,3,18,"[48134, 160254, 149556]",10.375,10.125,-0.25,0.25,0.0240963855189432,False,graph,,True,,-1,"Given the particles the electron, the proton, and the neutron, which has negative electric charge? A", electron, proton,zero,,,,,,,,,,,,,,,,,,,physics_particle_candidate_selection_v2,train,4b,100,20260505-172449_physics_particle_candidate_selection_v2_train_n100,2026-05-05T17:24:49.128562,True,True
