experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,meta.prompt,meta.correct_token,meta.incorrect_token,meta.mode,meta.source_prompt,meta.target_prompt,meta.source_correct,meta.target_correct,meta.target_incorrect,meta.selected_by_diff,meta.candidate_pool_size,meta.source_margin,meta.target_margin,meta.source_number,meta.target_number,meta.source_orig_idx,meta.target_orig_idx,meta.behaviour,meta.coefficient,meta.n_features,behaviour,split,model_size,graph_n_prompts,run_id,prep_timestamp,in_common_prompt_set,in_common_layer_set
ablation_zero,0,10,"[126287, 159221, 154631]",3.0,3.375,0.375,0.375,0.1249999995833333,False,The dogs, sleep, sleeps,zero,,,,,,,nan,nan,nan,,,nan,nan,,nan,nan,grammar_agreement,train,4b,80,20260221-193008_grammar_agreement_train_n80,2026-02-21T19:30:08.894970,True,True
ablation_zero,0,11,[1564],3.0,2.4375,-0.5625,0.5625,0.187499999375,False,The dogs, sleep, sleeps,zero,,,,,,,nan,nan,nan,,,nan,nan,,nan,nan,grammar_agreement,train,4b,80,20260221-193008_grammar_agreement_train_n80,2026-02-21T19:30:08.894970,True,True
ablation_zero,0,12,"[146578, 43835, 1302]",3.0,3.125,0.125,0.125,0.0416666665277777,False,The dogs, sleep, sleeps,zero,,,,,,,nan,nan,nan,,,nan,nan,,nan,nan,grammar_agreement,train,4b,80,20260221-193008_grammar_agreement_train_n80,2026-02-21T19:30:08.894970,True,True
ablation_zero,0,13,"[50574, 3203, 12706]",3.0,2.9375,-0.0625,0.0625,0.0208333332638888,False,The dogs, sleep, sleeps,zero,,,,,,,nan,nan,nan,,,nan,nan,,nan,nan,grammar_agreement,train,4b,80,20260221-193008_grammar_agreement_train_n80,2026-02-21T19:30:08.894970,True,True
ablation_zero,0,14,[57525],3.0,2.9375,-0.0625,0.0625,0.0208333332638888,False,The dogs, sleep, sleeps,zero,,,,,,,nan,nan,nan,,,nan,nan,,nan,nan,grammar_agreement,train,4b,80,20260221-193008_grammar_agreement_train_n80,2026-02-21T19:30:08.894970,True,True
ablation_zero,0,15,"[127839, 135551, 32893]",3.0,2.75,-0.25,0.25,0.0833333330555555,False,The dogs, sleep, sleeps,zero,,,,,,,nan,nan,nan,,,nan,nan,,nan,nan,grammar_agreement,train,4b,80,20260221-193008_grammar_agreement_train_n80,2026-02-21T19:30:08.894970,True,True
ablation_zero,0,16,[33604],3.0,3.0,0.0,0.0,0.0,False,The dogs, sleep, sleeps,zero,,,,,,,nan,nan,nan,,,nan,nan,,nan,nan,grammar_agreement,train,4b,80,20260221-193008_grammar_agreement_train_n80,2026-02-21T19:30:08.894970,True,True
ablation_zero,0,17,"[3637, 65581]",3.0,2.8125,-0.1875,0.1875,0.0624999997916666,False,The dogs, sleep, sleeps,zero,,,,,,,nan,nan,nan,,,nan,nan,,nan,nan,grammar_agreement,train,4b,80,20260221-193008_grammar_agreement_train_n80,2026-02-21T19:30:08.894970,True,True
ablation_zero,0,18,[143489],3.0,3.625,0.625,0.625,0.2083333326388889,False,The dogs, sleep, sleeps,zero,,,,,,,nan,nan,nan,,,nan,nan,,nan,nan,grammar_agreement,train,4b,80,20260221-193008_grammar_agreement_train_n80,2026-02-21T19:30:08.894970,True,True
ablation_zero,0,19,"[68247, 103010, 135661]",3.0,2.6875,-0.3125,0.3125,0.1041666663194444,False,The dogs, sleep, sleeps,zero,,,,,,,nan,nan,nan,,,nan,nan,,nan,nan,grammar_agreement,train,4b,80,20260221-193008_grammar_agreement_train_n80,2026-02-21T19:30:08.894970,True,True
ablation_zero,0,20,"[58760, 146302, 26284, 99485]",3.0,2.75,-0.25,0.25,0.0833333330555555,False,The dogs, sleep, sleeps,zero,,,,,,,nan,nan,nan,,,nan,nan,,nan,nan,grammar_agreement,train,4b,80,20260221-193008_grammar_agreement_train_n80,2026-02-21T19:30:08.894970,True,True
ablation_zero,0,21,[98305],3.0,2.9375,-0.0625,0.0625,0.0208333332638888,False,The dogs, sleep, sleeps,zero,,,,,,,nan,nan,nan,,,nan,nan,,nan,nan,grammar_agreement,train,4b,80,20260221-193008_grammar_agreement_train_n80,2026-02-21T19:30:08.894970,True,True
