prompt,correct_answer,incorrect_answer,correct_log_prob,incorrect_log_prob,correct_token_len,incorrect_token_len,logprob_diff,logprob_diff_normalized,success,generated,score_method,success_metric,threshold,threshold_metric,word,antonym,language,concept_index,template_idx,cross_lang_valid
"The opposite of ""small"" is", large, small,-8.737210273742676,-16.32022476196289,1,1,7.583014488220215,7.583014488220215,True,"(　　)
A",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,small,large,en,0,0,True
"The antonym of ""small"" is", large, small,-7.150479793548584,-17.956140518188477,1,1,10.805660724639893,10.805660724639893,True,"""large."" This means",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,small,large,en,0,1,True
"""small"" is the antonym of", large, small,-4.69633674621582,-11.173906326293945,1,1,6.477569580078125,6.477569580078125,True,"what word?

The ant",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,small,large,en,0,3,True
"Le contraire de ""petit"" est", grand, petit,-9.283722877502441,-11.350011825561523,1,1,2.066288948059082,2.066288948059082,True,"""grand"".

Translate to",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,petit,grand,fr,0,0,True
"L'antonyme de ""petit"" est", grand, petit,-11.667967796325684,-12.973495483398438,1,1,1.305527687072754,1.305527687072754,True,"""grand"".

Réponse",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,petit,grand,fr,0,1,True
"""petit"" est l'antonyme de", grand, petit,-8.552209854125977,-10.945521354675293,1,1,2.3933115005493164,2.3933115005493164,True,"""grand"" dans le",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,petit,grand,fr,0,3,True
"The opposite of ""fast"" is", slow, fast,-7.464738845825195,-12.881595611572266,1,1,5.41685676574707,5.41685676574707,True,"(　　)
A",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,fast,slow,en,2,0,True
"The antonym of ""fast"" is", slow, fast,-6.044665336608887,-16.685161590576172,1,1,10.640496253967285,10.640496253967285,True,"""slow"". The ant",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,fast,slow,en,2,1,True
"""fast"" is the opposite of", slow, fast,-4.74387788772583,-10.905302047729492,1,1,6.161424160003662,6.161424160003662,True,"what?

The word **",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,fast,slow,en,2,2,True
"Le contraire de ""rapide"" est", lent, rapide,-14.242974281311035,-16.235254287719727,1,1,1.9922800064086914,1.9922800064086914,True,"quoi ?

Le contraire",teacher_forced_logprob,normalized_per_token,0.5,logprob_diff_normalized,rapide,lent,fr,2,0,True
