experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features
patching,0,10,"[79308, 68612, 79430, 101190]",1.4375,1.1875,-0.25,0.25,0.17391304226843102,False,"{'source_prompt': 'The opposite of ""easy"" is', 'target_prompt': '""facile"" est le contraire de', 'source_correct': ' hard', 'target_correct': ' difficile', 'target_incorrect': ' facile', 'selected_by_diff': True, 'candidate_pool_size': 4, 'source_margin': 3.0625, 'target_margin': 1.4375, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,11,"[148703, 22932, 33438, 59878, 77813, 86428]",1.4375,1.6875,0.25,0.25,0.17391304226843102,False,"{'source_prompt': 'The opposite of ""easy"" is', 'target_prompt': '""facile"" est le contraire de', 'source_correct': ' hard', 'target_correct': ' difficile', 'target_incorrect': ' facile', 'selected_by_diff': True, 'candidate_pool_size': 6, 'source_margin': 3.0625, 'target_margin': 1.4375, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,12,"[97987, 39488, 83869, 4447]",1.4375,1.1875,-0.25,0.25,0.17391304226843102,False,"{'source_prompt': 'The opposite of ""easy"" is', 'target_prompt': '""facile"" est le contraire de', 'source_correct': ' hard', 'target_correct': ' difficile', 'target_incorrect': ' facile', 'selected_by_diff': True, 'candidate_pool_size': 4, 'source_margin': 3.0625, 'target_margin': 1.4375, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,13,"[117585, 136136, 70603, 140003, 46123, 84047, 86889]",1.4375,1.4375,0.0,0.0,0.0,False,"{'source_prompt': 'The opposite of ""easy"" is', 'target_prompt': '""facile"" est le contraire de', 'source_correct': ' hard', 'target_correct': ' difficile', 'target_incorrect': ' facile', 'selected_by_diff': True, 'candidate_pool_size': 7, 'source_margin': 3.0625, 'target_margin': 1.4375, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,14,"[28821, 111183, 66871, 41052, 54906]",1.4375,2.4375,1.0,1.0,0.6956521690737241,False,"{'source_prompt': 'The opposite of ""easy"" is', 'target_prompt': '""facile"" est le contraire de', 'source_correct': ' hard', 'target_correct': ' difficile', 'target_incorrect': ' facile', 'selected_by_diff': True, 'candidate_pool_size': 5, 'source_margin': 3.0625, 'target_margin': 1.4375, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,15,"[41361, 106898, 24958, 127839, 28822]",1.4375,1.625,0.1875,0.1875,0.13043478170132328,False,"{'source_prompt': 'The opposite of ""easy"" is', 'target_prompt': '""facile"" est le contraire de', 'source_correct': ' hard', 'target_correct': ' difficile', 'target_incorrect': ' facile', 'selected_by_diff': True, 'candidate_pool_size': 5, 'source_margin': 3.0625, 'target_margin': 1.4375, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,16,"[80755, 88149]",1.4375,1.0625,-0.375,0.375,0.26086956340264655,False,"{'source_prompt': 'The opposite of ""easy"" is', 'target_prompt': '""facile"" est le contraire de', 'source_correct': ' hard', 'target_correct': ' difficile', 'target_incorrect': ' facile', 'selected_by_diff': True, 'candidate_pool_size': 2, 'source_margin': 3.0625, 'target_margin': 1.4375, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,17,"[19808, 151157, 117109]",1.4375,2.0625,0.625,0.625,0.43478260567107757,False,"{'source_prompt': 'The opposite of ""easy"" is', 'target_prompt': '""facile"" est le contraire de', 'source_correct': ' hard', 'target_correct': ' difficile', 'target_incorrect': ' facile', 'selected_by_diff': True, 'candidate_pool_size': 3, 'source_margin': 3.0625, 'target_margin': 1.4375, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,18,"[152973, 36517, 151254, 67226, 162386, 74631]",1.4375,0.25,-1.1875,1.1875,0.8260869507750473,False,"{'source_prompt': 'The opposite of ""easy"" is', 'target_prompt': '""facile"" est le contraire de', 'source_correct': ' hard', 'target_correct': ' difficile', 'target_incorrect': ' facile', 'selected_by_diff': True, 'candidate_pool_size': 6, 'source_margin': 3.0625, 'target_margin': 1.4375, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
patching,0,19,"[114972, 132248, 73008, 161546]",1.4375,1.5,0.0625,0.0625,0.043478260567107754,False,"{'source_prompt': 'The opposite of ""easy"" is', 'target_prompt': '""facile"" est le contraire de', 'source_correct': ' hard', 'target_correct': ' difficile', 'target_incorrect': ' facile', 'selected_by_diff': True, 'candidate_pool_size': 4, 'source_margin': 3.0625, 'target_margin': 1.4375, 'source_number': 'unknown', 'target_number': 'unknown', 'source_orig_idx': -1, 'target_orig_idx': -1}",graph,,True
