experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index,meta.prompt,meta.correct_token,meta.incorrect_token,meta.mode,source_script,meta.template_idx,meta.language,behaviour,split,model_size,run_id,prep_timestamp
ablation_zero,0,16,[45664],5.043326377868652,5.568819046020508,0.5254926681518555,0.5254926681518555,0.10419564940629049,False,graph,,True,L16_F45664,0,"The opposite of ""small"" is", large, small,zero,11_ablation_supplement,0,en,multilingual_circuits_b1,train,4b,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T05:54:49.169476
ablation_zero,1,16,[45664],6.57059907913208,6.213807582855225,-0.35679149627685547,0.35679149627685547,0.05430121233039415,False,graph,,True,L16_F45664,0,"The antonym of ""small"" is", large, small,zero,11_ablation_supplement,1,en,multilingual_circuits_b1,train,4b,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T05:54:49.169476
ablation_zero,2,16,[45664],4.638215065002441,4.688728332519531,0.050513267517089844,0.050513267517089844,0.01089066951408312,False,graph,,True,L16_F45664,0,"""small"" is the opposite of", large, small,zero,11_ablation_supplement,2,en,multilingual_circuits_b1,train,4b,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T05:54:49.169476
ablation_zero,3,16,[45664],4.928729057312012,4.799898147583008,-0.1288309097290039,0.1288309097290039,0.02613876883260386,False,graph,,True,L16_F45664,0,"""small"" is the contrary of", large, small,zero,11_ablation_supplement,5,en,multilingual_circuits_b1,train,4b,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T05:54:49.169476
ablation_zero,4,16,[45664],5.141201019287109,4.601443767547607,-0.539757251739502,0.539757251739502,0.10498660695521293,False,graph,,True,L16_F45664,0,"The word opposite to ""small"" is", large, small,zero,11_ablation_supplement,6,en,multilingual_circuits_b1,train,4b,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T05:54:49.169476
ablation_zero,5,16,[45664],5.379977703094482,5.824368476867676,0.44439077377319336,0.44439077377319336,0.0826008577492018,False,graph,,True,L16_F45664,0,"""small"" is an antonym of", large, small,zero,11_ablation_supplement,7,en,multilingual_circuits_b1,train,4b,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T05:54:49.169476
ablation_zero,6,16,[45664],5.60990047454834,5.562103271484375,-0.047797203063964844,0.047797203063964844,0.008520151684618173,False,graph,,True,L16_F45664,0,Le contraire de petit est, grand, petit,zero,11_ablation_supplement,0,fr,multilingual_circuits_b1,train,4b,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T05:54:49.169476
ablation_zero,7,16,[45664],3.5335464477539062,3.292490005493164,-0.2410564422607422,0.2410564422607422,0.06821940652054406,False,graph,,True,L16_F45664,0,L'antonyme de petit est, grand, petit,zero,11_ablation_supplement,1,fr,multilingual_circuits_b1,train,4b,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T05:54:49.169476
ablation_zero,8,16,[45664],4.09709358215332,3.627779245376587,-0.4693143367767334,0.4693143367767334,0.11454811227050213,False,graph,,True,L16_F45664,0,L'opposé de petit est, grand, petit,zero,11_ablation_supplement,2,fr,multilingual_circuits_b1,train,4b,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T05:54:49.169476
ablation_zero,9,16,[45664],5.469900131225586,5.236732482910156,-0.2331676483154297,0.2331676483154297,0.04262740494256741,False,graph,,True,L16_F45664,0,"En français, le contraire de petit est", grand, petit,zero,11_ablation_supplement,5,fr,multilingual_circuits_b1,train,4b,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T05:54:49.169476
ablation_zero,10,16,[45664],4.70780086517334,4.484994888305664,-0.22280597686767578,0.22280597686767578,0.04732697554024566,False,graph,,True,L16_F45664,0,Le contraire de petit :, grand, petit,zero,11_ablation_supplement,6,fr,multilingual_circuits_b1,train,4b,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T05:54:49.169476
ablation_zero,11,16,[45664],3.2128067016601562,2.9546127319335938,-0.2581939697265625,0.2581939697265625,0.08036399102053224,False,graph,,True,L16_F45664,0,L'antonyme de petit :, grand, petit,zero,11_ablation_supplement,7,fr,multilingual_circuits_b1,train,4b,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T05:54:49.169476
ablation_zero,12,16,[45664],5.34269905090332,6.065372943878174,0.7226738929748535,0.7226738929748535,0.1352638216633274,False,graph,,True,L16_F45664,2,"The opposite of ""fast"" is", slow, fast,zero,11_ablation_supplement,0,en,multilingual_circuits_b1,train,4b,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T05:54:49.169476
ablation_zero,13,16,[45664],6.310973167419434,6.033840179443359,-0.2771329879760742,0.2771329879760742,0.04391287685513414,False,graph,,True,L16_F45664,2,"The antonym of ""fast"" is", slow, fast,zero,11_ablation_supplement,1,en,multilingual_circuits_b1,train,4b,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T05:54:49.169476
ablation_zero,14,16,[45664],6.953227996826172,7.192409038543701,0.2391810417175293,0.2391810417175293,0.03439856157208117,False,graph,,True,L16_F45664,2,"""fast"" is the opposite of", slow, fast,zero,11_ablation_supplement,2,en,multilingual_circuits_b1,train,4b,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T05:54:49.169476
ablation_zero,15,16,[45664],6.455448150634766,6.845205783843994,0.3897576332092285,0.3897576332092285,0.06037654141287436,False,graph,,True,L16_F45664,2,"The contrary of ""fast"" is", slow, fast,zero,11_ablation_supplement,4,en,multilingual_circuits_b1,train,4b,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T05:54:49.169476
ablation_zero,16,16,[45664],7.882109642028809,7.220038414001465,-0.6620712280273438,0.6620712280273438,0.08399670358010441,False,graph,,True,L16_F45664,2,"""fast"" is the contrary of", slow, fast,zero,11_ablation_supplement,5,en,multilingual_circuits_b1,train,4b,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T05:54:49.169476
ablation_zero,17,16,[45664],4.845642566680908,4.6604766845703125,-0.1851658821105957,0.1851658821105957,0.03821286427556275,False,graph,,True,L16_F45664,2,"The word opposite to ""fast"" is", slow, fast,zero,11_ablation_supplement,6,en,multilingual_circuits_b1,train,4b,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T05:54:49.169476
ablation_zero,18,16,[45664],6.617379188537598,7.634313583374023,1.0169343948364258,1.0169343948364258,0.1536763066352858,False,graph,,True,L16_F45664,2,Le contraire de rapide est, lent, rapide,zero,11_ablation_supplement,0,fr,multilingual_circuits_b1,train,4b,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T05:54:49.169476
ablation_zero,19,16,[45664],-0.3522634506225586,1.135160207748413,1.4874236583709717,1.4874236583709717,4.22247500703659,True,graph,,True,L16_F45664,2,L'antonyme de rapide est, lent, rapide,zero,11_ablation_supplement,1,fr,multilingual_circuits_b1,train,4b,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T05:54:49.169476
ablation_zero,20,16,[45664],3.113016128540039,1.6822233200073242,-1.4307928085327148,1.4307928085327148,0.459616251525036,False,graph,,True,L16_F45664,2,L'opposé de rapide est, lent, rapide,zero,11_ablation_supplement,2,fr,multilingual_circuits_b1,train,4b,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T05:54:49.169476
ablation_zero,21,16,[45664],5.547826766967773,5.736623764038086,0.1887969970703125,0.1887969970703125,0.034030802449369485,False,graph,,True,L16_F45664,2,Le terme opposé de rapide est, lent, rapide,zero,11_ablation_supplement,4,fr,multilingual_circuits_b1,train,4b,20260404-032832_multilingual_circuits_b1_train_n96,2026-04-04T05:54:49.169476
