experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features,feature_id,concept_index
ablation_zero,0,15,"[45839, 130314, 150216, 83487]",8.375,8.4375,0.0625,0.0625,0.007462686558253508,False,"{'prompt': 'When ultraviolet light hits a zinc plate, negatively charged particles are ejected from the surface ', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,0,16,[126692],8.375,9.0,0.625,0.625,0.07462686558253508,False,"{'prompt': 'When ultraviolet light hits a zinc plate, negatively charged particles are ejected from the surface ', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,0,17,"[111317, 39571, 39948]",8.375,9.25,0.875,0.875,0.10447761181554911,False,"{'prompt': 'When ultraviolet light hits a zinc plate, negatively charged particles are ejected from the surface ', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,0,18,"[81387, 48134, 71688]",8.375,8.375,0.0,0.0,0.0,False,"{'prompt': 'When ultraviolet light hits a zinc plate, negatively charged particles are ejected from the surface ', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,0,19,"[81443, 25077, 126231]",8.375,6.875,-1.5,1.5,0.1791044773980842,False,"{'prompt': 'When ultraviolet light hits a zinc plate, negatively charged particles are ejected from the surface ', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,0,20,"[101109, 73876, 92769, 24337, 71598]",8.375,6.625,-1.75,1.75,0.20895522363109822,False,"{'prompt': 'When ultraviolet light hits a zinc plate, negatively charged particles are ejected from the surface ', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,1,15,"[45839, 130314, 150216, 83487]",4.78125,4.34375,-0.4375,0.4375,0.09150326778247683,False,"{'prompt': 'When an atom absorbs a photon, one of its negatively charged particles jumps to a higher energy leve', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,1,16,[126692],4.78125,5.1875,0.40625,0.40625,0.08496732008372848,False,"{'prompt': 'When an atom absorbs a photon, one of its negatively charged particles jumps to a higher energy leve', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,1,17,"[111317, 39571, 39948]",4.78125,5.875,1.09375,1.09375,0.22875816945619207,False,"{'prompt': 'When an atom absorbs a photon, one of its negatively charged particles jumps to a higher energy leve', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
ablation_zero,1,18,"[81387, 48134, 71688]",4.78125,5.5625,0.78125,0.78125,0.1633986924687086,False,"{'prompt': 'When an atom absorbs a photon, one of its negatively charged particles jumps to a higher energy leve', 'correct_token': ' electron', 'incorrect_token': ' proton', 'mode': 'zero'}",graph,,True,,-1
