experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,feature_source,skipped_reason,layer_has_graph_features,meta.prompt,meta.correct_token,meta.incorrect_token,meta.mode,meta.source_prompt,meta.target_prompt,meta.source_correct,meta.target_correct,meta.target_incorrect,meta.selected_by_diff,meta.candidate_pool_size,meta.source_margin,meta.target_margin,meta.source_number,meta.target_number,meta.source_orig_idx,meta.target_orig_idx,meta.behaviour,meta.coefficient,meta.n_features,behaviour,split,model_size,graph_n_prompts,run_id,prep_timestamp,in_common_prompt_set,in_common_layer_set
ablation_zero,0,10,"[68612, 79430, 101190, 79308]",-2.25,-0.3125,1.9375,1.9375,0.8611111072839507,False,graph,,True,"A synonym of ""high"" is", tall, high,zero,,,,,,,,,,,,,,,,,multilingual_antonym,train,4b,80,20260305-003715_multilingual_antonym_train_n80,2026-03-05T00:37:15.983412,True,True
ablation_zero,0,11,"[148703, 77813, 22932, 59878, 33438]",-2.25,-0.6875,1.5625,1.5625,0.6944444413580247,False,graph,,True,"A synonym of ""high"" is", tall, high,zero,,,,,,,,,,,,,,,,,multilingual_antonym,train,4b,80,20260305-003715_multilingual_antonym_train_n80,2026-03-05T00:37:15.983412,True,True
ablation_zero,0,12,"[83869, 4447, 97987]",-2.25,-2.0625,0.1875,0.1875,0.0833333329629629,False,graph,,True,"A synonym of ""high"" is", tall, high,zero,,,,,,,,,,,,,,,,,multilingual_antonym,train,4b,80,20260305-003715_multilingual_antonym_train_n80,2026-03-05T00:37:15.983412,True,True
ablation_zero,0,13,"[70603, 84047, 117585, 136136, 140003, 46123]",-2.25,-1.6875,0.5625,0.5625,0.2499999988888889,False,graph,,True,"A synonym of ""high"" is", tall, high,zero,,,,,,,,,,,,,,,,,multilingual_antonym,train,4b,80,20260305-003715_multilingual_antonym_train_n80,2026-03-05T00:37:15.983412,True,True
ablation_zero,0,14,"[41052, 111183, 66871, 54906, 28821]",-2.25,-1.9375,0.3125,0.3125,0.1388888882716049,False,graph,,True,"A synonym of ""high"" is", tall, high,zero,,,,,,,,,,,,,,,,,multilingual_antonym,train,4b,80,20260305-003715_multilingual_antonym_train_n80,2026-03-05T00:37:15.983412,True,True
ablation_zero,0,15,"[127839, 24958, 41361]",-2.25,-1.875,0.375,0.375,0.1666666659259259,False,graph,,True,"A synonym of ""high"" is", tall, high,zero,,,,,,,,,,,,,,,,,multilingual_antonym,train,4b,80,20260305-003715_multilingual_antonym_train_n80,2026-03-05T00:37:15.983412,True,True
ablation_zero,0,16,"[88149, 80755]",-2.25,-1.5,0.75,0.75,0.3333333318518519,False,graph,,True,"A synonym of ""high"" is", tall, high,zero,,,,,,,,,,,,,,,,,multilingual_antonym,train,4b,80,20260305-003715_multilingual_antonym_train_n80,2026-03-05T00:37:15.983412,True,True
ablation_zero,0,17,"[151157, 19808]",-2.25,-0.78125,1.46875,1.46875,0.6527777748765432,False,graph,,True,"A synonym of ""high"" is", tall, high,zero,,,,,,,,,,,,,,,,,multilingual_antonym,train,4b,80,20260305-003715_multilingual_antonym_train_n80,2026-03-05T00:37:15.983412,True,True
ablation_zero,0,18,"[152973, 162386, 36517]",-2.25,-1.3125,0.9375,0.9375,0.4166666648148148,False,graph,,True,"A synonym of ""high"" is", tall, high,zero,,,,,,,,,,,,,,,,,multilingual_antonym,train,4b,80,20260305-003715_multilingual_antonym_train_n80,2026-03-05T00:37:15.983412,True,True
ablation_zero,0,19,"[161546, 132248, 73008]",-2.25,-2.625,-0.375,0.375,0.1666666659259259,False,graph,,True,"A synonym of ""high"" is", tall, high,zero,,,,,,,,,,,,,,,,,multilingual_antonym,train,4b,80,20260305-003715_multilingual_antonym_train_n80,2026-03-05T00:37:15.983412,True,True
ablation_zero,0,20,"[16317, 8203, 145235, 41532]",-2.25,-2.9375,-0.6875,0.6875,0.3055555541975309,False,graph,,True,"A synonym of ""high"" is", tall, high,zero,,,,,,,,,,,,,,,,,multilingual_antonym,train,4b,80,20260305-003715_multilingual_antonym_train_n80,2026-03-05T00:37:15.983412,True,True
ablation_zero,0,21,"[27974, 45934, 107804, 105016]",-2.25,-2.25,0.0,0.0,0.0,False,graph,,True,"A synonym of ""high"" is", tall, high,zero,,,,,,,,,,,,,,,,,multilingual_antonym,train,4b,80,20260305-003715_multilingual_antonym_train_n80,2026-03-05T00:37:15.983412,True,True
ablation_zero,0,22,"[41906, 156288, 78043]",-2.25,-2.375,-0.125,0.125,0.0555555553086419,False,graph,,True,"A synonym of ""high"" is", tall, high,zero,,,,,,,,,,,,,,,,,multilingual_antonym,train,4b,80,20260305-003715_multilingual_antonym_train_n80,2026-03-05T00:37:15.983412,True,True
ablation_zero,0,23,"[6889, 83865, 61192, 70485, 40170]",-2.25,-4.28125,-2.03125,2.03125,0.902777773765432,False,graph,,True,"A synonym of ""high"" is", tall, high,zero,,,,,,,,,,,,,,,,,multilingual_antonym,train,4b,80,20260305-003715_multilingual_antonym_train_n80,2026-03-05T00:37:15.983412,True,True
ablation_zero,0,24,"[35447, 60321, 145590]",-2.25,-3.0625,-0.8125,0.8125,0.3611111095061728,False,graph,,True,"A synonym of ""high"" is", tall, high,zero,,,,,,,,,,,,,,,,,multilingual_antonym,train,4b,80,20260305-003715_multilingual_antonym_train_n80,2026-03-05T00:37:15.983412,True,True
ablation_zero,0,25,"[15948, 19816]",-2.25,-3.34375,-1.09375,1.09375,0.4861111089506173,False,graph,,True,"A synonym of ""high"" is", tall, high,zero,,,,,,,,,,,,,,,,,multilingual_antonym,train,4b,80,20260305-003715_multilingual_antonym_train_n80,2026-03-05T00:37:15.983412,True,True
ablation_zero,1,10,"[79430, 79308, 68612, 101190]",-1.875,-2.1875,-0.3125,0.3125,0.1666666657777777,False,graph,,True,"""new"" means roughly the same as", fresh, new,zero,,,,,,,,,,,,,,,,,multilingual_antonym,train,4b,80,20260305-003715_multilingual_antonym_train_n80,2026-03-05T00:37:15.983412,True,True
ablation_zero,1,11,"[148703, 77813, 22932, 59878, 33438]",-1.875,-1.8125,0.0625,0.0625,0.0333333331555555,False,graph,,True,"""new"" means roughly the same as", fresh, new,zero,,,,,,,,,,,,,,,,,multilingual_antonym,train,4b,80,20260305-003715_multilingual_antonym_train_n80,2026-03-05T00:37:15.983412,True,True
ablation_zero,1,12,"[4447, 83869, 97987]",-1.875,-1.8125,0.0625,0.0625,0.0333333331555555,False,graph,,True,"""new"" means roughly the same as", fresh, new,zero,,,,,,,,,,,,,,,,,multilingual_antonym,train,4b,80,20260305-003715_multilingual_antonym_train_n80,2026-03-05T00:37:15.983412,True,True
ablation_zero,1,13,"[84047, 117585, 46123, 140003, 136136, 70603]",-1.875,-2.1875,-0.3125,0.3125,0.1666666657777777,False,graph,,True,"""new"" means roughly the same as", fresh, new,zero,,,,,,,,,,,,,,,,,multilingual_antonym,train,4b,80,20260305-003715_multilingual_antonym_train_n80,2026-03-05T00:37:15.983412,True,True
ablation_zero,1,14,"[41052, 66871, 28821, 54906, 111183]",-1.875,-1.625,0.25,0.25,0.1333333326222222,False,graph,,True,"""new"" means roughly the same as", fresh, new,zero,,,,,,,,,,,,,,,,,multilingual_antonym,train,4b,80,20260305-003715_multilingual_antonym_train_n80,2026-03-05T00:37:15.983412,True,True
ablation_zero,1,15,"[127839, 24958, 41361]",-1.875,-1.3125,0.5625,0.5625,0.2999999984,False,graph,,True,"""new"" means roughly the same as", fresh, new,zero,,,,,,,,,,,,,,,,,multilingual_antonym,train,4b,80,20260305-003715_multilingual_antonym_train_n80,2026-03-05T00:37:15.983412,True,True
ablation_zero,1,16,"[80755, 88149]",-1.875,-1.8125,0.0625,0.0625,0.0333333331555555,False,graph,,True,"""new"" means roughly the same as", fresh, new,zero,,,,,,,,,,,,,,,,,multilingual_antonym,train,4b,80,20260305-003715_multilingual_antonym_train_n80,2026-03-05T00:37:15.983412,True,True
