experiment_type,prompt_idx,layer,feature_indices,baseline_logit_diff,intervened_logit_diff,effect_size,abs_effect_size,relative_effect,sign_flipped,metadata,feature_source,skipped_reason,layer_has_graph_features
steering,0,10,"[79430, 68612, 101190, 79308]",-2.25,-1.25,1.0,1.0,0.44444444246913584,False,"{'behaviour': 'multilingual_antonym', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,1,10,"[79430, 68612, 101190, 79308]",-1.875,-2.15625,-0.28125,0.28125,0.1499999992,False,"{'behaviour': 'multilingual_antonym', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,2,10,"[79430, 68612, 101190, 79308]",5.6875,3.71875,-1.96875,1.96875,0.346153845545224,False,"{'behaviour': 'multilingual_antonym', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,3,10,"[79430, 68612, 101190, 79308]",-2.5625,-1.5,1.0625,1.0625,0.41463414472337895,False,"{'behaviour': 'multilingual_antonym', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,4,10,"[79430, 68612, 101190, 79308]",1.4375,0.4375,-1.0,1.0,0.6956521690737241,False,"{'behaviour': 'multilingual_antonym', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,5,10,"[79430, 68612, 101190, 79308]",6.75,7.4375,0.6875,0.6875,0.10185185170096023,False,"{'behaviour': 'multilingual_antonym', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,6,10,"[79430, 68612, 101190, 79308]",6.65625,6.78125,0.125,0.125,0.018779342694791597,False,"{'behaviour': 'multilingual_antonym', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,7,10,"[79430, 68612, 101190, 79308]",-1.875,-1.875,0.0,0.0,0.0,False,"{'behaviour': 'multilingual_antonym', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,8,10,"[79430, 68612, 101190, 79308]",-5.03125,-6.375,-1.34375,1.34375,0.2670807448107712,False,"{'behaviour': 'multilingual_antonym', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,9,10,"[79430, 68612, 101190, 79308]",-3.46875,-3.78125,-0.3125,0.3125,0.09009008983037091,False,"{'behaviour': 'multilingual_antonym', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,10,10,"[79430, 68612, 101190, 79308]",-2.875,-4.8125,-1.9375,1.9375,0.6739130411342156,False,"{'behaviour': 'multilingual_antonym', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,11,10,"[79430, 68612, 101190, 79308]",-4.59375,-5.75,-1.15625,1.15625,0.251700679724189,False,"{'behaviour': 'multilingual_antonym', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,12,10,"[79430, 68612, 101190, 79308]",-1.6875,-3.3125,-1.625,1.625,0.9629629572565158,False,"{'behaviour': 'multilingual_antonym', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,13,10,"[79430, 68612, 101190, 79308]",0.75,0.4375,-0.3125,0.3125,0.41666666111111117,False,"{'behaviour': 'multilingual_antonym', 'coefficient': 10.0, 'n_features': 4}",graph,,True
steering,14,10,"[79430, 68612, 101190, 79308]",-4.1875,-3.90625,0.28125,0.28125,0.06716417894408554,False,"{'behaviour': 'multilingual_antonym', 'coefficient': 10.0, 'n_features': 4}",graph,,True
