prompt_idx,prompt_id,prompt_text,prompt_short,level,level_label,group_id,surface_family,cue_type,cue_set,relation_type,concept_route,cue_label,latent_state_target,correct_answer,incorrect_answer,physics_concept,difficulty,inference_steps,wording_variant,semantic_equiv_group,contrastive_pair_id,contrastive_role,is_anchor,is_kw_variant,is_auxiliary,has_alpha_keyword,has_beta_keyword,keyword_free,evidence_completeness,is_uniquely_determining,baseline_sign_diff,sign_correct,hard_correct
0,L1-A1-v01,A nucleus undergoes a decay process. The emitted particle carries a charge of +2e. Is the decay type alpha or beta?,A nucleus undergoes a decay process. The emitted particle carries a charge of +2,1,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,emitted_charge_plus2,alpha,alpha,beta,alpha_decay,easy,1,1,L1-A1,,,False,False,False,False,False,True,single,True,1.477558135986328,True,True
1,L1-A1-v02,A nucleus undergoes a decay process. The particle released has an electric charge of positive 2 elementary units. Is the decay type alpha or beta?,A nucleus undergoes a decay process. The particle released has an electric charg,1,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,emitted_charge_plus2,alpha,alpha,beta,alpha_decay,easy,1,2,L1-A1,,,False,False,False,False,False,True,single,True,0.7610130310058594,True,True
2,L1-A1-v03,A nucleus undergoes a decay process. The emitted particle is doubly positively charged. Is the decay type alpha or beta?,A nucleus undergoes a decay process. The emitted particle is doubly positively c,1,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,emitted_charge_plus2,alpha,alpha,beta,alpha_decay,easy,1,3,L1-A1,,,False,False,False,False,False,True,single,True,1.1351947784423828,True,True
3,L1-A1-v04,A nucleus undergoes a decay process. Two units of positive elementary charge are carried away by the emitted particle. Is the decay type alpha or beta?,A nucleus undergoes a decay process. Two units of positive elementary charge are,1,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,emitted_charge_plus2,alpha,alpha,beta,alpha_decay,easy,1,4,L1-A1,,,False,False,False,False,False,True,single,True,1.0427207946777344,True,True
4,L1-A1-v05,"A nucleus undergoes a decay process. The emitted particle has an electric charge equal in magnitude to twice that of a proton, and the same sign. Is the decay type alpha or beta?",A nucleus undergoes a decay process. The emitted particle has an electric charge,1,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,emitted_charge_plus2,alpha,alpha,beta,alpha_decay,easy,1,5,L1-A1,,,False,False,False,False,False,True,single,True,1.326616287231445,True,True
5,L1-A1-v06,A nucleus undergoes a decay process. The emitted particle has a charge of plus two in units of the elementary charge. Is the decay type alpha or beta?,A nucleus undergoes a decay process. The emitted particle has a charge of plus t,1,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,emitted_charge_plus2,alpha,alpha,beta,alpha_decay,easy,1,6,L1-A1,,,False,False,False,False,False,True,single,True,1.3090476989746094,True,True
6,L1-A1-v07,A nucleus undergoes a decay process. The emitted particle carries a positive electric charge of 2e. Is the decay type alpha or beta?,A nucleus undergoes a decay process. The emitted particle carries a positive ele,1,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,emitted_charge_plus2,alpha,alpha,beta,alpha_decay,easy,1,7,L1-A1,,,False,False,False,False,False,True,single,True,1.3056411743164062,True,True
7,L1-A1-v08,A nucleus undergoes a decay process. A doubly positively charged particle is emitted. Is the decay type alpha or beta?,A nucleus undergoes a decay process. A doubly positively charged particle is emi,1,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,emitted_charge_plus2,alpha,alpha,beta,alpha_decay,easy,1,8,L1-A1,,,False,False,False,False,False,True,single,True,1.3898744583129885,True,True
8,L1-A1-v09,A nucleus undergoes a decay process. The emitted particle's electric charge is +2e. Is the decay type alpha or beta?,A nucleus undergoes a decay process. The emitted particle's electric charge is +,1,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,emitted_charge_plus2,alpha,alpha,beta,alpha_decay,easy,1,9,L1-A1,,,False,False,False,False,False,True,single,True,1.4178142547607422,True,True
9,L1-A1-v10,"A nucleus undergoes a decay process. The emitted particle bears a charge of twice the proton charge, positive. Is the decay type alpha or beta?",A nucleus undergoes a decay process. The emitted particle bears a charge of twic,1,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,emitted_charge_plus2,alpha,alpha,beta,alpha_decay,easy,1,10,L1-A1,,,False,False,False,False,False,True,single,True,1.351633071899414,True,True
10,L1-A1-v11,A nucleus undergoes a decay process. The electric charge carried by the emitted particle is positive and equal to two elementary units. Is the decay type alpha or beta?,A nucleus undergoes a decay process. The electric charge carried by the emitted ,1,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,emitted_charge_plus2,alpha,alpha,beta,alpha_decay,easy,1,11,L1-A1,,,False,False,False,False,False,True,single,True,1.11376953125,True,True
11,L1-A1-v12,A nucleus undergoes a decay process. The emitted particle has a net positive charge of two elementary units. Is the decay type alpha or beta?,A nucleus undergoes a decay process. The emitted particle has a net positive cha,1,atomic_cue,L1-A1,L1-A1,emitted_charge_plus2,['emitted_charge_plus2'],,,emitted_charge_plus2,alpha,alpha,beta,alpha_decay,easy,1,12,L1-A1,,,False,False,False,False,False,True,single,True,0.5897293090820312,True,True
12,L1-A2-v01,A nucleus undergoes a decay process. The emitted particle has a mass number of 4. Is the decay type alpha or beta?,A nucleus undergoes a decay process. The emitted particle has a mass number of 4,1,atomic_cue,L1-A2,L1-A2,emitted_mass4,['emitted_mass4'],,,emitted_mass4,alpha,alpha,beta,alpha_decay,easy,1,1,L1-A2,,,False,False,False,False,False,True,single,True,1.6291208267211914,True,True
